"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,2
"3",2021-06-04,0
"4",2021-06-05,4
"5",2021-06-06,1
"6",2021-06-07,2
"7",2021-06-08,2
"8",2021-06-09,10
"9",2021-06-10,7
"10",2021-06-11,4
"11",2021-06-12,6
"12",2021-06-13,0
"13",2021-06-14,5
"14",2021-06-15,8
"15",2021-06-16,2
"16",2021-06-17,5
"17",2021-06-18,3
"18",2021-06-19,9
"19",2021-06-20,4
"20",2021-06-21,4
"21",2021-06-22,24
"22",2021-06-23,9
"23",2021-06-24,13
"24",2021-06-25,7
"25",2021-06-26,11
"26",2021-06-27,4
"27",2021-06-28,1
"28",2021-06-29,24
"29",2021-06-30,16
"30",2021-07-01,17
"31",2021-07-02,20
"32",2021-07-03,22
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,19
"36",2021-07-07,25
"37",2021-07-08,26
"38",2021-07-09,30
"39",2021-07-10,24
"40",2021-07-11,10
"41",2021-07-12,11
"42",2021-07-13,52
"43",2021-07-14,36
"44",2021-07-15,42
"45",2021-07-16,17
"46",2021-07-17,27
"47",2021-07-18,32
"48",2021-07-19,16
"49",2021-07-20,40
"50",2021-07-21,45
"51",2021-07-22,50
"52",2021-07-23,22
"53",2021-07-24,34
"54",2021-07-25,26
"55",2021-07-26,22
"56",2021-07-27,89
"57",2021-07-28,78
"58",2021-07-29,41
"59",2021-07-30,75
"60",2021-07-31,45
"61",2021-08-01,32
"62",2021-08-02,26
"63",2021-08-03,69
"64",2021-08-04,85
"65",2021-08-05,56
"66",2021-08-06,57
"67",2021-08-07,23
"68",2021-08-08,51
"69",2021-08-09,21
"70",2021-08-10,130
"71",2021-08-11,71
"72",2021-08-12,148
"73",2021-08-13,72
"74",2021-08-14,64
"75",2021-08-15,18
"76",2021-08-16,22
"77",2021-08-17,81
"78",2021-08-18,103
"79",2021-08-19,44
"80",2021-08-20,78
"81",2021-08-21,64
"82",2021-08-22,9
"83",2021-08-23,41
"84",2021-08-24,54
"85",2021-08-25,83
"86",2021-08-26,57
"87",2021-08-27,69
"88",2021-08-28,55
"89",2021-08-29,35
"90",2021-08-30,25
"91",2021-08-31,95
"92",2021-09-01,119
"93",2021-09-02,58
"94",2021-09-03,103
"95",2021-09-04,66
"96",2021-09-05,27
"97",2021-09-06,32
"98",2021-09-07,36
"99",2021-09-08,105
"100",2021-09-09,85
"101",2021-09-10,62
"102",2021-09-11,44
"103",2021-09-12,11
"104",2021-09-13,10
"105",2021-09-14,73
"106",2021-09-15,60
"107",2021-09-16,37
"108",2021-09-17,27
"109",2021-09-18,27
"110",2021-09-19,13
"111",2021-09-20,6
"112",2021-09-21,27
"113",2021-09-22,33
"114",2021-09-23,23
"115",2021-09-24,15
"116",2021-09-25,13
"117",2021-09-26,6
"118",2021-09-27,12
"119",2021-09-28,38
"120",2021-09-29,22
"121",2021-09-30,25
"122",2021-10-01,13
"123",2021-10-02,21
"124",2021-10-03,10
"125",2021-10-04,11
"126",2021-10-05,24
"127",2021-10-06,21
"128",2021-10-07,19
"129",2021-10-08,15
"130",2021-10-09,7
"131",2021-10-10,12
"132",2021-10-11,10
"133",2021-10-12,16
"134",2021-10-13,13
"135",2021-10-14,14
"136",2021-10-15,17
"137",2021-10-16,10
"138",2021-10-17,4
"139",2021-10-18,11
"140",2021-10-19,27
"141",2021-10-20,32
"142",2021-10-21,11
"143",2021-10-22,21
"144",2021-10-23,18
"145",2021-10-24,6
"146",2021-10-25,3
"147",2021-10-26,29
"148",2021-10-27,22
"149",2021-10-28,24
"150",2021-10-29,29
"151",2021-10-30,21
"152",2021-10-31,17
"153",2021-11-01,10
"154",2021-11-02,34
"155",2021-11-03,18
"156",2021-11-04,28
"157",2021-11-05,30
"158",2021-11-06,24
"159",2021-11-07,10
"160",2021-11-08,22
"161",2021-11-09,28
"162",2021-11-10,98
"163",2021-11-11,41
"164",2021-11-12,27
"165",2021-11-13,28
"166",2021-11-14,19
"167",2021-11-15,20
"168",2021-11-16,23
"169",2021-11-17,54
"170",2021-11-18,49
"171",2021-11-19,39
"172",2021-11-20,53
"173",2021-11-21,9
"174",2021-11-22,32
"175",2021-11-23,58
"176",2021-11-24,35
"177",2021-11-25,34
"178",2021-11-26,2
"179",2021-11-27,65
"180",2021-11-28,29
"181",2021-11-29,31
"182",2021-11-30,92
