"","date","new_cases"
"1",2021-06-02,0
"2",2021-06-03,1
"3",2021-06-04,0
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,0
"9",2021-06-10,1
"10",2021-06-11,1
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,1
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,1
"29",2021-06-30,1
"30",2021-07-01,-1
"31",2021-07-02,1
"32",2021-07-03,-1
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,0
"38",2021-07-09,1
"39",2021-07-10,-1
"40",2021-07-11,1
"41",2021-07-12,0
"42",2021-07-13,0
"43",2021-07-14,0
"44",2021-07-15,1
"45",2021-07-16,0
"46",2021-07-17,1
"47",2021-07-18,1
"48",2021-07-19,0
"49",2021-07-20,4
"50",2021-07-21,1
"51",2021-07-22,1
"52",2021-07-23,0
"53",2021-07-24,1
"54",2021-07-25,2
"55",2021-07-26,1
"56",2021-07-27,0
"57",2021-07-28,0
"58",2021-07-29,3
"59",2021-07-30,3
"60",2021-07-31,2
"61",2021-08-01,0
"62",2021-08-02,1
"63",2021-08-03,1
"64",2021-08-04,10
"65",2021-08-05,4
"66",2021-08-06,1
"67",2021-08-07,1
"68",2021-08-08,1
"69",2021-08-09,3
"70",2021-08-10,2
"71",2021-08-11,2
"72",2021-08-12,3
"73",2021-08-13,3
"74",2021-08-14,1
"75",2021-08-15,1
"76",2021-08-16,1
"77",2021-08-17,8
"78",2021-08-18,5
"79",2021-08-19,4
"80",2021-08-20,11
"81",2021-08-21,4
"82",2021-08-22,1
"83",2021-08-23,0
"84",2021-08-24,6
"85",2021-08-25,4
"86",2021-08-26,11
"87",2021-08-27,7
"88",2021-08-28,2
"89",2021-08-29,4
"90",2021-08-30,1
"91",2021-08-31,10
"92",2021-09-01,4
"93",2021-09-02,5
"94",2021-09-03,3
"95",2021-09-04,7
"96",2021-09-05,3
"97",2021-09-06,0
"98",2021-09-07,0
"99",2021-09-08,5
"100",2021-09-09,3
"101",2021-09-10,7
"102",2021-09-11,2
"103",2021-09-12,0
"104",2021-09-13,1
"105",2021-09-14,3
"106",2021-09-15,7
"107",2021-09-16,1
"108",2021-09-17,3
"109",2021-09-18,7
"110",2021-09-19,1
"111",2021-09-20,0
"112",2021-09-21,3
"113",2021-09-22,1
"114",2021-09-23,2
"115",2021-09-24,3
"116",2021-09-25,0
"117",2021-09-26,1
"118",2021-09-27,0
"119",2021-09-28,2
"120",2021-09-29,1
"121",2021-09-30,0
"122",2021-10-01,0
"123",2021-10-02,3
"124",2021-10-03,0
"125",2021-10-04,0
"126",2021-10-05,1
"127",2021-10-06,3
"128",2021-10-07,5
"129",2021-10-08,2
"130",2021-10-09,2
"131",2021-10-10,1
"132",2021-10-11,1
"133",2021-10-12,0
"134",2021-10-13,7
"135",2021-10-14,0
"136",2021-10-15,3
"137",2021-10-16,1
"138",2021-10-17,3
"139",2021-10-18,0
"140",2021-10-19,2
"141",2021-10-20,0
"142",2021-10-21,6
"143",2021-10-22,7
"144",2021-10-23,4
"145",2021-10-24,0
"146",2021-10-25,5
"147",2021-10-26,4
"148",2021-10-27,4
"149",2021-10-28,3
"150",2021-10-29,2
"151",2021-10-30,3
"152",2021-10-31,1
"153",2021-11-01,0
"154",2021-11-02,0
"155",2021-11-03,2
"156",2021-11-04,4
"157",2021-11-05,0
"158",2021-11-06,4
"159",2021-11-07,1
"160",2021-11-08,0
"161",2021-11-09,3
"162",2021-11-10,9
"163",2021-11-11,7
"164",2021-11-12,0
"165",2021-11-13,3
"166",2021-11-14,1
"167",2021-11-15,-1
"168",2021-11-16,2
"169",2021-11-17,2
"170",2021-11-18,3
"171",2021-11-19,0
"172",2021-11-20,2
"173",2021-11-21,0
"174",2021-11-22,0
"175",2021-11-23,0
"176",2021-11-24,0
"177",2021-11-25,1
"178",2021-11-26,0
"179",2021-11-27,1
"180",2021-11-28,-1
"181",2021-11-29,1
"182",2021-11-30,0
