"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,0
"3",2021-06-04,0
"4",2021-06-05,2
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,0
"9",2021-06-10,1
"10",2021-06-11,1
"11",2021-06-12,1
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,-1
"15",2021-06-16,0
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,-1
"29",2021-06-30,1
"30",2021-07-01,4
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,1
"38",2021-07-09,2
"39",2021-07-10,3
"40",2021-07-11,0
"41",2021-07-12,3
"42",2021-07-13,0
"43",2021-07-14,3
"44",2021-07-15,1
"45",2021-07-16,1
"46",2021-07-17,1
"47",2021-07-18,1
"48",2021-07-19,0
"49",2021-07-20,1
"50",2021-07-21,0
"51",2021-07-22,4
"52",2021-07-23,3
"53",2021-07-24,12
"54",2021-07-25,1
"55",2021-07-26,1
"56",2021-07-27,7
"57",2021-07-28,0
"58",2021-07-29,2
"59",2021-07-30,1
"60",2021-07-31,0
"61",2021-08-01,0
"62",2021-08-02,2
"63",2021-08-03,4
"64",2021-08-04,8
"65",2021-08-05,2
"66",2021-08-06,9
"67",2021-08-07,1
"68",2021-08-08,3
"69",2021-08-09,0
"70",2021-08-10,5
"71",2021-08-11,7
"72",2021-08-12,4
"73",2021-08-13,7
"74",2021-08-14,5
"75",2021-08-15,0
"76",2021-08-16,0
"77",2021-08-17,5
"78",2021-08-18,10
"79",2021-08-19,7
"80",2021-08-20,6
"81",2021-08-21,9
"82",2021-08-22,0
"83",2021-08-23,6
"84",2021-08-24,12
"85",2021-08-25,16
"86",2021-08-26,17
"87",2021-08-27,4
"88",2021-08-28,8
"89",2021-08-29,4
"90",2021-08-30,3
"91",2021-08-31,10
"92",2021-09-01,7
"93",2021-09-02,7
"94",2021-09-03,14
"95",2021-09-04,11
"96",2021-09-05,1
"97",2021-09-06,0
"98",2021-09-07,0
"99",2021-09-08,16
"100",2021-09-09,9
"101",2021-09-10,2
"102",2021-09-11,12
"103",2021-09-12,5
"104",2021-09-13,2
"105",2021-09-14,5
"106",2021-09-15,11
"107",2021-09-16,0
"108",2021-09-17,7
"109",2021-09-18,4
"110",2021-09-19,2
"111",2021-09-20,0
"112",2021-09-21,9
"113",2021-09-22,3
"114",2021-09-23,4
"115",2021-09-24,4
"116",2021-09-25,7
"117",2021-09-26,0
"118",2021-09-27,1
"119",2021-09-28,11
"120",2021-09-29,5
"121",2021-09-30,3
"122",2021-10-01,5
"123",2021-10-02,6
"124",2021-10-03,1
"125",2021-10-04,1
"126",2021-10-05,5
"127",2021-10-06,4
"128",2021-10-07,9
"129",2021-10-08,7
"130",2021-10-09,2
"131",2021-10-10,6
"132",2021-10-11,3
"133",2021-10-12,3
"134",2021-10-13,11
"135",2021-10-14,7
"136",2021-10-15,5
"137",2021-10-16,1
"138",2021-10-17,0
"139",2021-10-18,5
"140",2021-10-19,7
"141",2021-10-20,6
"142",2021-10-21,5
"143",2021-10-22,1
"144",2021-10-23,2
"145",2021-10-24,3
"146",2021-10-25,0
"147",2021-10-26,1
"148",2021-10-27,1
"149",2021-10-28,2
"150",2021-10-29,8
"151",2021-10-30,4
"152",2021-10-31,1
"153",2021-11-01,0
"154",2021-11-02,7
"155",2021-11-03,6
"156",2021-11-04,8
"157",2021-11-05,6
"158",2021-11-06,4
"159",2021-11-07,3
"160",2021-11-08,1
"161",2021-11-09,9
"162",2021-11-10,1
"163",2021-11-11,3
"164",2021-11-12,0
"165",2021-11-13,5
"166",2021-11-14,4
"167",2021-11-15,1
"168",2021-11-16,9
"169",2021-11-17,6
"170",2021-11-18,11
"171",2021-11-19,7
"172",2021-11-20,-2
"173",2021-11-21,0
"174",2021-11-22,4
"175",2021-11-23,4
"176",2021-11-24,4
"177",2021-11-25,9
"178",2021-11-26,5
"179",2021-11-27,2
"180",2021-11-28,2
"181",2021-11-29,2
"182",2021-11-30,12
