"","date","new_cases"
"1",2021-06-02,5
"2",2021-06-03,2
"3",2021-06-04,7
"4",2021-06-05,8
"5",2021-06-06,5
"6",2021-06-07,0
"7",2021-06-08,6
"8",2021-06-09,2
"9",2021-06-10,1
"10",2021-06-11,1
"11",2021-06-12,1
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,3
"16",2021-06-17,2
"17",2021-06-18,2
"18",2021-06-19,2
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,-1
"22",2021-06-23,0
"23",2021-06-24,3
"24",2021-06-25,2
"25",2021-06-26,0
"26",2021-06-27,2
"27",2021-06-28,0
"28",2021-06-29,1
"29",2021-06-30,0
"30",2021-07-01,1
"31",2021-07-02,4
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,3
"36",2021-07-07,4
"37",2021-07-08,0
"38",2021-07-09,7
"39",2021-07-10,5
"40",2021-07-11,1
"41",2021-07-12,0
"42",2021-07-13,1
"43",2021-07-14,2
"44",2021-07-15,4
"45",2021-07-16,3
"46",2021-07-17,4
"47",2021-07-18,4
"48",2021-07-19,6
"49",2021-07-20,1
"50",2021-07-21,7
"51",2021-07-22,4
"52",2021-07-23,5
"53",2021-07-24,0
"54",2021-07-25,14
"55",2021-07-26,1
"56",2021-07-27,7
"57",2021-07-28,9
"58",2021-07-29,5
"59",2021-07-30,18
"60",2021-07-31,5
"61",2021-08-01,1
"62",2021-08-02,2
"63",2021-08-03,12
"64",2021-08-04,6
"65",2021-08-05,13
"66",2021-08-06,14
"67",2021-08-07,4
"68",2021-08-08,13
"69",2021-08-09,11
"70",2021-08-10,7
"71",2021-08-11,7
"72",2021-08-12,10
"73",2021-08-13,16
"74",2021-08-14,17
"75",2021-08-15,8
"76",2021-08-16,8
"77",2021-08-17,9
"78",2021-08-18,12
"79",2021-08-19,11
"80",2021-08-20,13
"81",2021-08-21,12
"82",2021-08-22,3
"83",2021-08-23,7
"84",2021-08-24,10
"85",2021-08-25,20
"86",2021-08-26,5
"87",2021-08-27,17
"88",2021-08-28,11
"89",2021-08-29,12
"90",2021-08-30,11
"91",2021-08-31,8
"92",2021-09-01,17
"93",2021-09-02,20
"94",2021-09-03,19
"95",2021-09-04,10
"96",2021-09-05,36
"97",2021-09-06,7
"98",2021-09-07,15
"99",2021-09-08,12
"100",2021-09-09,25
"101",2021-09-10,28
"102",2021-09-11,17
"103",2021-09-12,12
"104",2021-09-13,4
"105",2021-09-14,14
"106",2021-09-15,17
"107",2021-09-16,13
"108",2021-09-17,20
"109",2021-09-18,6
"110",2021-09-19,10
"111",2021-09-20,7
"112",2021-09-21,7
"113",2021-09-22,4
"114",2021-09-23,12
"115",2021-09-24,15
"116",2021-09-25,14
"117",2021-09-26,5
"118",2021-09-27,14
"119",2021-09-28,18
"120",2021-09-29,9
"121",2021-09-30,15
"122",2021-10-01,7
"123",2021-10-02,8
"124",2021-10-03,5
"125",2021-10-04,6
"126",2021-10-05,10
"127",2021-10-06,19
"128",2021-10-07,8
"129",2021-10-08,19
"130",2021-10-09,12
"131",2021-10-10,13
"132",2021-10-11,13
"133",2021-10-12,6
"134",2021-10-13,10
"135",2021-10-14,18
"136",2021-10-15,19
"137",2021-10-16,16
"138",2021-10-17,11
"139",2021-10-18,2
"140",2021-10-19,9
"141",2021-10-20,30
"142",2021-10-21,5
"143",2021-10-22,17
"144",2021-10-23,12
"145",2021-10-24,1
"146",2021-10-25,3
"147",2021-10-26,10
"148",2021-10-27,8
"149",2021-10-28,19
"150",2021-10-29,10
"151",2021-10-30,9
"152",2021-10-31,12
"153",2021-11-01,9
"154",2021-11-02,6
"155",2021-11-03,8
"156",2021-11-04,8
"157",2021-11-05,10
"158",2021-11-06,14
"159",2021-11-07,15
"160",2021-11-08,15
"161",2021-11-09,7
"162",2021-11-10,45
"163",2021-11-11,15
"164",2021-11-12,22
"165",2021-11-13,23
"166",2021-11-14,13
"167",2021-11-15,16
"168",2021-11-16,14
"169",2021-11-17,37
"170",2021-11-18,32
"171",2021-11-19,35
"172",2021-11-20,16
"173",2021-11-21,14
"174",2021-11-22,36
"175",2021-11-23,23
"176",2021-11-24,42
"177",2021-11-25,44
"178",2021-11-26,13
"179",2021-11-27,6
"180",2021-11-28,27
"181",2021-11-29,53
"182",2021-11-30,52
