"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,0
"3",2021-06-04,0
"4",2021-06-05,1
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,0
"9",2021-06-10,0
"10",2021-06-11,1
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,1
"14",2021-06-15,1
"15",2021-06-16,0
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,2
"19",2021-06-20,1
"20",2021-06-21,1
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,4
"24",2021-06-25,2
"25",2021-06-26,3
"26",2021-06-27,0
"27",2021-06-28,-1
"28",2021-06-29,6
"29",2021-06-30,4
"30",2021-07-01,0
"31",2021-07-02,2
"32",2021-07-03,1
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,4
"37",2021-07-08,1
"38",2021-07-09,1
"39",2021-07-10,1
"40",2021-07-11,0
"41",2021-07-12,0
"42",2021-07-13,4
"43",2021-07-14,11
"44",2021-07-15,6
"45",2021-07-16,6
"46",2021-07-17,6
"47",2021-07-18,1
"48",2021-07-19,0
"49",2021-07-20,3
"50",2021-07-21,1
"51",2021-07-22,2
"52",2021-07-23,0
"53",2021-07-24,3
"54",2021-07-25,4
"55",2021-07-26,0
"56",2021-07-27,1
"57",2021-07-28,3
"58",2021-07-29,2
"59",2021-07-30,0
"60",2021-07-31,1
"61",2021-08-01,0
"62",2021-08-02,0
"63",2021-08-03,3
"64",2021-08-04,1
"65",2021-08-05,6
"66",2021-08-06,3
"67",2021-08-07,3
"68",2021-08-08,1
"69",2021-08-09,3
"70",2021-08-10,13
"71",2021-08-11,6
"72",2021-08-12,11
"73",2021-08-13,3
"74",2021-08-14,14
"75",2021-08-15,7
"76",2021-08-16,4
"77",2021-08-17,9
"78",2021-08-18,15
"79",2021-08-19,8
"80",2021-08-20,11
"81",2021-08-21,4
"82",2021-08-22,0
"83",2021-08-23,1
"84",2021-08-24,1
"85",2021-08-25,9
"86",2021-08-26,4
"87",2021-08-27,6
"88",2021-08-28,11
"89",2021-08-29,6
"90",2021-08-30,0
"91",2021-08-31,6
"92",2021-09-01,5
"93",2021-09-02,2
"94",2021-09-03,3
"95",2021-09-04,5
"96",2021-09-05,1
"97",2021-09-06,0
"98",2021-09-07,0
"99",2021-09-08,2
"100",2021-09-09,1
"101",2021-09-10,1
"102",2021-09-11,3
"103",2021-09-12,2
"104",2021-09-13,1
"105",2021-09-14,1
"106",2021-09-15,2
"107",2021-09-16,0
"108",2021-09-17,1
"109",2021-09-18,1
"110",2021-09-19,0
"111",2021-09-20,0
"112",2021-09-21,1
"113",2021-09-22,2
"114",2021-09-23,2
"115",2021-09-24,3
"116",2021-09-25,2
"117",2021-09-26,1
"118",2021-09-27,1
"119",2021-09-28,5
"120",2021-09-29,1
"121",2021-09-30,4
"122",2021-10-01,3
"123",2021-10-02,4
"124",2021-10-03,0
"125",2021-10-04,1
"126",2021-10-05,4
"127",2021-10-06,3
"128",2021-10-07,0
"129",2021-10-08,5
"130",2021-10-09,1
"131",2021-10-10,0
"132",2021-10-11,0
"133",2021-10-12,0
"134",2021-10-13,0
"135",2021-10-14,1
"136",2021-10-15,0
"137",2021-10-16,6
"138",2021-10-17,0
"139",2021-10-18,0
"140",2021-10-19,1
"141",2021-10-20,0
"142",2021-10-21,1
"143",2021-10-22,0
"144",2021-10-23,3
"145",2021-10-24,2
"146",2021-10-25,0
"147",2021-10-26,0
"148",2021-10-27,0
"149",2021-10-28,3
"150",2021-10-29,0
"151",2021-10-30,0
"152",2021-10-31,0
"153",2021-11-01,0
"154",2021-11-02,2
"155",2021-11-03,0
"156",2021-11-04,6
"157",2021-11-05,3
"158",2021-11-06,2
"159",2021-11-07,0
"160",2021-11-08,0
"161",2021-11-09,1
"162",2021-11-10,0
"163",2021-11-11,1
"164",2021-11-12,-1
"165",2021-11-13,0
"166",2021-11-14,0
"167",2021-11-15,0
"168",2021-11-16,2
"169",2021-11-17,2
"170",2021-11-18,0
"171",2021-11-19,0
"172",2021-11-20,1
"173",2021-11-21,0
"174",2021-11-22,0
"175",2021-11-23,3
"176",2021-11-24,1
"177",2021-11-25,2
"178",2021-11-26,1
"179",2021-11-27,0
"180",2021-11-28,3
"181",2021-11-29,7
"182",2021-11-30,3
