"","date","new_cases"
"1",2021-06-02,3
"2",2021-06-03,1
"3",2021-06-04,4
"4",2021-06-05,0
"5",2021-06-06,3
"6",2021-06-07,1
"7",2021-06-08,0
"8",2021-06-09,4
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,0
"12",2021-06-13,2
"13",2021-06-14,0
"14",2021-06-15,-1
"15",2021-06-16,1
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,1
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,2
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,1
"28",2021-06-29,4
"29",2021-06-30,1
"30",2021-07-01,1
"31",2021-07-02,1
"32",2021-07-03,0
"33",2021-07-04,1
"34",2021-07-05,1
"35",2021-07-06,0
"36",2021-07-07,3
"37",2021-07-08,1
"38",2021-07-09,2
"39",2021-07-10,3
"40",2021-07-11,5
"41",2021-07-12,0
"42",2021-07-13,2
"43",2021-07-14,6
"44",2021-07-15,4
"45",2021-07-16,2
"46",2021-07-17,2
"47",2021-07-18,1
"48",2021-07-19,-1
"49",2021-07-20,4
"50",2021-07-21,2
"51",2021-07-22,3
"52",2021-07-23,6
"53",2021-07-24,2
"54",2021-07-25,5
"55",2021-07-26,-1
"56",2021-07-27,2
"57",2021-07-28,12
"58",2021-07-29,3
"59",2021-07-30,2
"60",2021-07-31,4
"61",2021-08-01,4
"62",2021-08-02,1
"63",2021-08-03,2
"64",2021-08-04,6
"65",2021-08-05,2
"66",2021-08-06,5
"67",2021-08-07,6
"68",2021-08-08,5
"69",2021-08-09,1
"70",2021-08-10,7
"71",2021-08-11,6
"72",2021-08-12,5
"73",2021-08-13,5
"74",2021-08-14,11
"75",2021-08-15,6
"76",2021-08-16,9
"77",2021-08-17,7
"78",2021-08-18,11
"79",2021-08-19,5
"80",2021-08-20,11
"81",2021-08-21,12
"82",2021-08-22,2
"83",2021-08-23,5
"84",2021-08-24,4
"85",2021-08-25,6
"86",2021-08-26,5
"87",2021-08-27,3
"88",2021-08-28,18
"89",2021-08-29,3
"90",2021-08-30,3
"91",2021-08-31,10
"92",2021-09-01,21
"93",2021-09-02,19
"94",2021-09-03,12
"95",2021-09-04,12
"96",2021-09-05,5
"97",2021-09-06,10
"98",2021-09-07,1
"99",2021-09-08,14
"100",2021-09-09,13
"101",2021-09-10,11
"102",2021-09-11,13
"103",2021-09-12,7
"104",2021-09-13,2
"105",2021-09-14,9
"106",2021-09-15,11
"107",2021-09-16,4
"108",2021-09-17,10
"109",2021-09-18,13
"110",2021-09-19,4
"111",2021-09-20,1
"112",2021-09-21,5
"113",2021-09-22,18
"114",2021-09-23,12
"115",2021-09-24,8
"116",2021-09-25,2
"117",2021-09-26,2
"118",2021-09-27,3
"119",2021-09-28,5
"120",2021-09-29,3
"121",2021-09-30,8
"122",2021-10-01,11
"123",2021-10-02,10
"124",2021-10-03,2
"125",2021-10-04,1
"126",2021-10-05,6
"127",2021-10-06,3
"128",2021-10-07,14
"129",2021-10-08,0
"130",2021-10-09,6
"131",2021-10-10,13
"132",2021-10-11,0
"133",2021-10-12,4
"134",2021-10-13,11
"135",2021-10-14,12
"136",2021-10-15,4
"137",2021-10-16,5
"138",2021-10-17,3
"139",2021-10-18,2
"140",2021-10-19,4
"141",2021-10-20,1
"142",2021-10-21,5
"143",2021-10-22,11
"144",2021-10-23,6
"145",2021-10-24,3
"146",2021-10-25,3
"147",2021-10-26,8
"148",2021-10-27,4
"149",2021-10-28,12
"150",2021-10-29,8
"151",2021-10-30,13
"152",2021-10-31,3
"153",2021-11-01,8
"154",2021-11-02,17
"155",2021-11-03,11
"156",2021-11-04,19
"157",2021-11-05,19
"158",2021-11-06,12
"159",2021-11-07,4
"160",2021-11-08,8
"161",2021-11-09,18
"162",2021-11-10,17
"163",2021-11-11,17
"164",2021-11-12,11
"165",2021-11-13,11
"166",2021-11-14,12
"167",2021-11-15,1
"168",2021-11-16,13
"169",2021-11-17,13
"170",2021-11-18,15
"171",2021-11-19,30
"172",2021-11-20,9
"173",2021-11-21,8
"174",2021-11-22,12
"175",2021-11-23,18
"176",2021-11-24,8
"177",2021-11-25,15
"178",2021-11-26,4
"179",2021-11-27,10
"180",2021-11-28,6
"181",2021-11-29,3
"182",2021-11-30,30
