"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,-1
"3",2021-06-04,0
"4",2021-06-05,1
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,2
"8",2021-06-09,5
"9",2021-06-10,1
"10",2021-06-11,0
"11",2021-06-12,1
"12",2021-06-13,1
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,0
"16",2021-06-17,0
"17",2021-06-18,1
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,1
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,0
"30",2021-07-01,0
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,0
"38",2021-07-09,0
"39",2021-07-10,1
"40",2021-07-11,0
"41",2021-07-12,0
"42",2021-07-13,0
"43",2021-07-14,0
"44",2021-07-15,0
"45",2021-07-16,0
"46",2021-07-17,0
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,1
"50",2021-07-21,0
"51",2021-07-22,1
"52",2021-07-23,1
"53",2021-07-24,1
"54",2021-07-25,0
"55",2021-07-26,0
"56",2021-07-27,2
"57",2021-07-28,4
"58",2021-07-29,1
"59",2021-07-30,1
"60",2021-07-31,1
"61",2021-08-01,0
"62",2021-08-02,2
"63",2021-08-03,1
"64",2021-08-04,1
"65",2021-08-05,2
"66",2021-08-06,4
"67",2021-08-07,2
"68",2021-08-08,1
"69",2021-08-09,2
"70",2021-08-10,2
"71",2021-08-11,1
"72",2021-08-12,1
"73",2021-08-13,1
"74",2021-08-14,0
"75",2021-08-15,0
"76",2021-08-16,3
"77",2021-08-17,1
"78",2021-08-18,1
"79",2021-08-19,2
"80",2021-08-20,9
"81",2021-08-21,1
"82",2021-08-22,0
"83",2021-08-23,1
"84",2021-08-24,1
"85",2021-08-25,3
"86",2021-08-26,1
"87",2021-08-27,2
"88",2021-08-28,2
"89",2021-08-29,0
"90",2021-08-30,0
"91",2021-08-31,8
"92",2021-09-01,0
"93",2021-09-02,7
"94",2021-09-03,1
"95",2021-09-04,3
"96",2021-09-05,1
"97",2021-09-06,0
"98",2021-09-07,0
"99",2021-09-08,3
"100",2021-09-09,9
"101",2021-09-10,3
"102",2021-09-11,0
"103",2021-09-12,1
"104",2021-09-13,0
"105",2021-09-14,2
"106",2021-09-15,4
"107",2021-09-16,2
"108",2021-09-17,2
"109",2021-09-18,0
"110",2021-09-19,0
"111",2021-09-20,0
"112",2021-09-21,4
"113",2021-09-22,2
"114",2021-09-23,1
"115",2021-09-24,0
"116",2021-09-25,1
"117",2021-09-26,0
"118",2021-09-27,1
"119",2021-09-28,2
"120",2021-09-29,1
"121",2021-09-30,1
"122",2021-10-01,6
"123",2021-10-02,1
"124",2021-10-03,2
"125",2021-10-04,2
"126",2021-10-05,8
"127",2021-10-06,0
"128",2021-10-07,2
"129",2021-10-08,4
"130",2021-10-09,1
"131",2021-10-10,0
"132",2021-10-11,0
"133",2021-10-12,0
"134",2021-10-13,7
"135",2021-10-14,-1
"136",2021-10-15,3
"137",2021-10-16,4
"138",2021-10-17,0
"139",2021-10-18,0
"140",2021-10-19,2
"141",2021-10-20,0
"142",2021-10-21,1
"143",2021-10-22,0
"144",2021-10-23,1
"145",2021-10-24,0
"146",2021-10-25,0
"147",2021-10-26,1
"148",2021-10-27,3
"149",2021-10-28,3
"150",2021-10-29,0
"151",2021-10-30,3
"152",2021-10-31,1
"153",2021-11-01,2
"154",2021-11-02,2
"155",2021-11-03,0
"156",2021-11-04,1
"157",2021-11-05,3
"158",2021-11-06,0
"159",2021-11-07,1
"160",2021-11-08,5
"161",2021-11-09,1
"162",2021-11-10,0
"163",2021-11-11,2
"164",2021-11-12,0
"165",2021-11-13,1
"166",2021-11-14,1
"167",2021-11-15,1
"168",2021-11-16,5
"169",2021-11-17,10
"170",2021-11-18,6
"171",2021-11-19,0
"172",2021-11-20,3
"173",2021-11-21,1
"174",2021-11-22,1
"175",2021-11-23,9
"176",2021-11-24,1
"177",2021-11-25,5
"178",2021-11-26,1
"179",2021-11-27,3
"180",2021-11-28,4
"181",2021-11-29,4
"182",2021-11-30,12
