"","date","new_cases"
"1",2021-06-02,3
"2",2021-06-03,1
"3",2021-06-04,6
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,2
"7",2021-06-08,1
"8",2021-06-09,1
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,1
"15",2021-06-16,1
"16",2021-06-17,0
"17",2021-06-18,3
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,2
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,2
"30",2021-07-01,5
"31",2021-07-02,6
"32",2021-07-03,6
"33",2021-07-04,1
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,1
"37",2021-07-08,6
"38",2021-07-09,6
"39",2021-07-10,3
"40",2021-07-11,0
"41",2021-07-12,1
"42",2021-07-13,1
"43",2021-07-14,3
"44",2021-07-15,4
"45",2021-07-16,2
"46",2021-07-17,0
"47",2021-07-18,1
"48",2021-07-19,2
"49",2021-07-20,1
"50",2021-07-21,1
"51",2021-07-22,5
"52",2021-07-23,1
"53",2021-07-24,3
"54",2021-07-25,1
"55",2021-07-26,0
"56",2021-07-27,4
"57",2021-07-28,4
"58",2021-07-29,4
"59",2021-07-30,4
"60",2021-07-31,5
"61",2021-08-01,0
"62",2021-08-02,0
"63",2021-08-03,10
"64",2021-08-04,7
"65",2021-08-05,1
"66",2021-08-06,8
"67",2021-08-07,23
"68",2021-08-08,1
"69",2021-08-09,1
"70",2021-08-10,12
"71",2021-08-11,5
"72",2021-08-12,4
"73",2021-08-13,9
"74",2021-08-14,10
"75",2021-08-15,-1
"76",2021-08-16,0
"77",2021-08-17,6
"78",2021-08-18,7
"79",2021-08-19,3
"80",2021-08-20,6
"81",2021-08-21,7
"82",2021-08-22,3
"83",2021-08-23,2
"84",2021-08-24,6
"85",2021-08-25,8
"86",2021-08-26,5
"87",2021-08-27,11
"88",2021-08-28,7
"89",2021-08-29,5
"90",2021-08-30,0
"91",2021-08-31,17
"92",2021-09-01,13
"93",2021-09-02,7
"94",2021-09-03,10
"95",2021-09-04,12
"96",2021-09-05,2
"97",2021-09-06,2
"98",2021-09-07,0
"99",2021-09-08,20
"100",2021-09-09,10
"101",2021-09-10,13
"102",2021-09-11,22
"103",2021-09-12,2
"104",2021-09-13,2
"105",2021-09-14,18
"106",2021-09-15,20
"107",2021-09-16,11
"108",2021-09-17,10
"109",2021-09-18,1
"110",2021-09-19,4
"111",2021-09-20,7
"112",2021-09-21,13
"113",2021-09-22,7
"114",2021-09-23,6
"115",2021-09-24,7
"116",2021-09-25,7
"117",2021-09-26,3
"118",2021-09-27,6
"119",2021-09-28,2
"120",2021-09-29,9
"121",2021-09-30,8
"122",2021-10-01,9
"123",2021-10-02,8
"124",2021-10-03,5
"125",2021-10-04,1
"126",2021-10-05,13
"127",2021-10-06,13
"128",2021-10-07,8
"129",2021-10-08,9
"130",2021-10-09,2
"131",2021-10-10,1
"132",2021-10-11,1
"133",2021-10-12,6
"134",2021-10-13,4
"135",2021-10-14,5
"136",2021-10-15,5
"137",2021-10-16,6
"138",2021-10-17,0
"139",2021-10-18,0
"140",2021-10-19,8
"141",2021-10-20,1
"142",2021-10-21,1
"143",2021-10-22,2
"144",2021-10-23,2
"145",2021-10-24,1
"146",2021-10-25,0
"147",2021-10-26,1
"148",2021-10-27,4
"149",2021-10-28,6
"150",2021-10-29,-2
"151",2021-10-30,0
"152",2021-10-31,1
"153",2021-11-01,0
"154",2021-11-02,5
"155",2021-11-03,4
"156",2021-11-04,7
"157",2021-11-05,0
"158",2021-11-06,2
"159",2021-11-07,0
"160",2021-11-08,1
"161",2021-11-09,9
"162",2021-11-10,5
"163",2021-11-11,4
"164",2021-11-12,2
"165",2021-11-13,1
"166",2021-11-14,2
"167",2021-11-15,0
"168",2021-11-16,0
"169",2021-11-17,2
"170",2021-11-18,7
"171",2021-11-19,9
"172",2021-11-20,1
"173",2021-11-21,0
"174",2021-11-22,1
"175",2021-11-23,5
"176",2021-11-24,5
"177",2021-11-25,4
"178",2021-11-26,0
"179",2021-11-27,1
"180",2021-11-28,0
"181",2021-11-29,1
"182",2021-11-30,8
