"","date","new_cases"
"1",2021-06-02,16
"2",2021-06-03,16
"3",2021-06-04,19
"4",2021-06-05,4
"5",2021-06-06,11
"6",2021-06-07,2
"7",2021-06-08,8
"8",2021-06-09,6
"9",2021-06-10,9
"10",2021-06-11,-1
"11",2021-06-12,6
"12",2021-06-13,11
"13",2021-06-14,2
"14",2021-06-15,4
"15",2021-06-16,3
"16",2021-06-17,4
"17",2021-06-18,-1
"18",2021-06-19,7
"19",2021-06-20,5
"20",2021-06-21,0
"21",2021-06-22,4
"22",2021-06-23,2
"23",2021-06-24,4
"24",2021-06-25,5
"25",2021-06-26,10
"26",2021-06-27,3
"27",2021-06-28,5
"28",2021-06-29,3
"29",2021-06-30,5
"30",2021-07-01,4
"31",2021-07-02,6
"32",2021-07-03,5
"33",2021-07-04,3
"34",2021-07-05,0
"35",2021-07-06,2
"36",2021-07-07,7
"37",2021-07-08,13
"38",2021-07-09,4
"39",2021-07-10,15
"40",2021-07-11,10
"41",2021-07-12,7
"42",2021-07-13,5
"43",2021-07-14,16
"44",2021-07-15,9
"45",2021-07-16,14
"46",2021-07-17,11
"47",2021-07-18,31
"48",2021-07-19,13
"49",2021-07-20,33
"50",2021-07-21,10
"51",2021-07-22,54
"52",2021-07-23,21
"53",2021-07-24,46
"54",2021-07-25,14
"55",2021-07-26,11
"56",2021-07-27,49
"57",2021-07-28,35
"58",2021-07-29,67
"59",2021-07-30,37
"60",2021-07-31,47
"61",2021-08-01,44
"62",2021-08-02,31
"63",2021-08-03,64
"64",2021-08-04,53
"65",2021-08-05,78
"66",2021-08-06,68
"67",2021-08-07,86
"68",2021-08-08,53
"69",2021-08-09,74
"70",2021-08-10,81
"71",2021-08-11,80
"72",2021-08-12,64
"73",2021-08-13,92
"74",2021-08-14,77
"75",2021-08-15,61
"76",2021-08-16,60
"77",2021-08-17,65
"78",2021-08-18,145
"79",2021-08-19,43
"80",2021-08-20,98
"81",2021-08-21,108
"82",2021-08-22,60
"83",2021-08-23,81
"84",2021-08-24,68
"85",2021-08-25,110
"86",2021-08-26,71
"87",2021-08-27,96
"88",2021-08-28,94
"89",2021-08-29,87
"90",2021-08-30,93
"91",2021-08-31,112
"92",2021-09-01,168
"93",2021-09-02,119
"94",2021-09-03,162
"95",2021-09-04,89
"96",2021-09-05,46
"97",2021-09-06,58
"98",2021-09-07,55
"99",2021-09-08,107
"100",2021-09-09,119
"101",2021-09-10,115
"102",2021-09-11,75
"103",2021-09-12,63
"104",2021-09-13,12
"105",2021-09-14,76
"106",2021-09-15,65
"107",2021-09-16,75
"108",2021-09-17,48
"109",2021-09-18,68
"110",2021-09-19,38
"111",2021-09-20,47
"112",2021-09-21,34
"113",2021-09-22,74
"114",2021-09-23,61
"115",2021-09-24,44
"116",2021-09-25,49
"117",2021-09-26,35
"118",2021-09-27,39
"119",2021-09-28,40
"120",2021-09-29,59
"121",2021-09-30,57
"122",2021-10-01,42
"123",2021-10-02,46
"124",2021-10-03,27
"125",2021-10-04,21
"126",2021-10-05,78
"127",2021-10-06,37
"128",2021-10-07,40
"129",2021-10-08,43
"130",2021-10-09,22
"131",2021-10-10,58
"132",2021-10-11,37
"133",2021-10-12,37
"134",2021-10-13,52
"135",2021-10-14,31
"136",2021-10-15,42
"137",2021-10-16,32
"138",2021-10-17,25
"139",2021-10-18,15
"140",2021-10-19,29
"141",2021-10-20,38
"142",2021-10-21,36
"143",2021-10-22,53
"144",2021-10-23,31
"145",2021-10-24,5
"146",2021-10-25,27
"147",2021-10-26,28
"148",2021-10-27,40
"149",2021-10-28,44
"150",2021-10-29,56
"151",2021-10-30,44
"152",2021-10-31,20
"153",2021-11-01,25
"154",2021-11-02,46
"155",2021-11-03,55
"156",2021-11-04,98
"157",2021-11-05,74
"158",2021-11-06,64
"159",2021-11-07,45
"160",2021-11-08,40
"161",2021-11-09,80
"162",2021-11-10,93
"163",2021-11-11,109
"164",2021-11-12,73
"165",2021-11-13,82
"166",2021-11-14,67
"167",2021-11-15,50
"168",2021-11-16,70
"169",2021-11-17,86
"170",2021-11-18,130
"171",2021-11-19,120
"172",2021-11-20,115
"173",2021-11-21,69
"174",2021-11-22,60
"175",2021-11-23,96
"176",2021-11-24,96
"177",2021-11-25,108
"178",2021-11-26,63
"179",2021-11-27,56
"180",2021-11-28,91
"181",2021-11-29,125
"182",2021-11-30,213
