"","date","new_cases"
"1",2021-06-02,9
"2",2021-06-03,128
"3",2021-06-04,106
"4",2021-06-05,93
"5",2021-06-06,80
"6",2021-06-07,56
"7",2021-06-08,104
"8",2021-06-09,93
"9",2021-06-10,86
"10",2021-06-11,76
"11",2021-06-12,40
"12",2021-06-13,56
"13",2021-06-14,27
"14",2021-06-15,30
"15",2021-06-16,71
"16",2021-06-17,56
"17",2021-06-18,25
"18",2021-06-19,43
"19",2021-06-20,39
"20",2021-06-21,27
"21",2021-06-22,42
"22",2021-06-23,43
"23",2021-06-24,38
"24",2021-06-25,56
"25",2021-06-26,40
"26",2021-06-27,13
"27",2021-06-28,21
"28",2021-06-29,29
"29",2021-06-30,30
"30",2021-07-01,58
"31",2021-07-02,15
"32",2021-07-03,53
"33",2021-07-04,5
"34",2021-07-05,9
"35",2021-07-06,99
"36",2021-07-07,64
"37",2021-07-08,88
"38",2021-07-09,87
"39",2021-07-10,60
"40",2021-07-11,69
"41",2021-07-12,60
"42",2021-07-13,62
"43",2021-07-14,94
"44",2021-07-15,114
"45",2021-07-16,80
"46",2021-07-17,122
"47",2021-07-18,187
"48",2021-07-19,114
"49",2021-07-20,64
"50",2021-07-21,138
"51",2021-07-22,291
"52",2021-07-23,301
"53",2021-07-24,157
"54",2021-07-25,215
"55",2021-07-26,179
"56",2021-07-27,179
"57",2021-07-28,276
"58",2021-07-29,203
"59",2021-07-30,316
"60",2021-07-31,302
"61",2021-08-01,249
"62",2021-08-02,291
"63",2021-08-03,340
"64",2021-08-04,212
"65",2021-08-05,450
"66",2021-08-06,462
"67",2021-08-07,320
"68",2021-08-08,351
"69",2021-08-09,411
"70",2021-08-10,368
"71",2021-08-11,446
"72",2021-08-12,343
"73",2021-08-13,408
"74",2021-08-14,667
"75",2021-08-15,437
"76",2021-08-16,472
"77",2021-08-17,425
"78",2021-08-18,410
"79",2021-08-19,422
"80",2021-08-20,656
"81",2021-08-21,611
"82",2021-08-22,297
"83",2021-08-23,404
"84",2021-08-24,401
"85",2021-08-25,565
"86",2021-08-26,543
"87",2021-08-27,709
"88",2021-08-28,413
"89",2021-08-29,733
"90",2021-08-30,249
"91",2021-08-31,627
"92",2021-09-01,486
"93",2021-09-02,564
"94",2021-09-03,857
"95",2021-09-04,589
"96",2021-09-05,452
"97",2021-09-06,331
"98",2021-09-07,332
"99",2021-09-08,609
"100",2021-09-09,567
"101",2021-09-10,758
"102",2021-09-11,517
"103",2021-09-12,388
"104",2021-09-13,232
"105",2021-09-14,552
"106",2021-09-15,489
"107",2021-09-16,489
"108",2021-09-17,485
"109",2021-09-18,397
"110",2021-09-19,438
"111",2021-09-20,325
"112",2021-09-21,416
"113",2021-09-22,444
"114",2021-09-23,420
"115",2021-09-24,459
"116",2021-09-25,286
"117",2021-09-26,302
"118",2021-09-27,272
"119",2021-09-28,175
"120",2021-09-29,343
"121",2021-09-30,409
"122",2021-10-01,512
"123",2021-10-02,441
"124",2021-10-03,287
"125",2021-10-04,263
"126",2021-10-05,350
"127",2021-10-06,396
"128",2021-10-07,485
"129",2021-10-08,381
"130",2021-10-09,191
"131",2021-10-10,406
"132",2021-10-11,327
"133",2021-10-12,233
"134",2021-10-13,379
"135",2021-10-14,316
"136",2021-10-15,340
"137",2021-10-16,484
"138",2021-10-17,231
"139",2021-10-18,230
"140",2021-10-19,372
"141",2021-10-20,408
"142",2021-10-21,335
"143",2021-10-22,393
"144",2021-10-23,317
"145",2021-10-24,230
"146",2021-10-25,338
"147",2021-10-26,330
"148",2021-10-27,302
"149",2021-10-28,406
"150",2021-10-29,426
"151",2021-10-30,445
"152",2021-10-31,306
"153",2021-11-01,288
"154",2021-11-02,346
"155",2021-11-03,131
"156",2021-11-04,662
"157",2021-11-05,426
"158",2021-11-06,487
"159",2021-11-07,396
"160",2021-11-08,334
"161",2021-11-09,281
"162",2021-11-10,705
"163",2021-11-11,649
"164",2021-11-12,606
"165",2021-11-13,444
"166",2021-11-14,509
"167",2021-11-15,404
"168",2021-11-16,365
"169",2021-11-17,729
"170",2021-11-18,751
"171",2021-11-19,849
"172",2021-11-20,590
"173",2021-11-21,303
"174",2021-11-22,830
"175",2021-11-23,613
"176",2021-11-24,614
"177",2021-11-25,817
"178",2021-11-26,321
"179",2021-11-27,736
"180",2021-11-28,363
"181",2021-11-29,639
"182",2021-11-30,551
