"","date","new_cases"
"1",2021-06-02,10
"2",2021-06-03,1
"3",2021-06-04,1
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,1
"7",2021-06-08,1
"8",2021-06-09,0
"9",2021-06-10,0
"10",2021-06-11,1
"11",2021-06-12,1
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,2
"15",2021-06-16,0
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,1
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,2
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,2
"29",2021-06-30,1
"30",2021-07-01,0
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,1
"34",2021-07-05,0
"35",2021-07-06,2
"36",2021-07-07,1
"37",2021-07-08,5
"38",2021-07-09,1
"39",2021-07-10,3
"40",2021-07-11,5
"41",2021-07-12,5
"42",2021-07-13,9
"43",2021-07-14,4
"44",2021-07-15,6
"45",2021-07-16,6
"46",2021-07-17,0
"47",2021-07-18,4
"48",2021-07-19,3
"49",2021-07-20,7
"50",2021-07-21,7
"51",2021-07-22,8
"52",2021-07-23,4
"53",2021-07-24,2
"54",2021-07-25,4
"55",2021-07-26,7
"56",2021-07-27,4
"57",2021-07-28,6
"58",2021-07-29,7
"59",2021-07-30,20
"60",2021-07-31,7
"61",2021-08-01,13
"62",2021-08-02,15
"63",2021-08-03,19
"64",2021-08-04,19
"65",2021-08-05,20
"66",2021-08-06,30
"67",2021-08-07,10
"68",2021-08-08,2
"69",2021-08-09,9
"70",2021-08-10,18
"71",2021-08-11,26
"72",2021-08-12,13
"73",2021-08-13,16
"74",2021-08-14,9
"75",2021-08-15,5
"76",2021-08-16,11
"77",2021-08-17,15
"78",2021-08-18,27
"79",2021-08-19,22
"80",2021-08-20,8
"81",2021-08-21,14
"82",2021-08-22,2
"83",2021-08-23,9
"84",2021-08-24,6
"85",2021-08-25,10
"86",2021-08-26,6
"87",2021-08-27,15
"88",2021-08-28,13
"89",2021-08-29,7
"90",2021-08-30,11
"91",2021-08-31,16
"92",2021-09-01,31
"93",2021-09-02,38
"94",2021-09-03,32
"95",2021-09-04,17
"96",2021-09-05,9
"97",2021-09-06,17
"98",2021-09-07,8
"99",2021-09-08,36
"100",2021-09-09,36
"101",2021-09-10,21
"102",2021-09-11,22
"103",2021-09-12,9
"104",2021-09-13,5
"105",2021-09-14,18
"106",2021-09-15,52
"107",2021-09-16,29
"108",2021-09-17,41
"109",2021-09-18,21
"110",2021-09-19,4
"111",2021-09-20,18
"112",2021-09-21,35
"113",2021-09-22,20
"114",2021-09-23,22
"115",2021-09-24,24
"116",2021-09-25,5
"117",2021-09-26,3
"118",2021-09-27,9
"119",2021-09-28,10
"120",2021-09-29,20
"121",2021-09-30,18
"122",2021-10-01,18
"123",2021-10-02,17
"124",2021-10-03,11
"125",2021-10-04,4
"126",2021-10-05,18
"127",2021-10-06,16
"128",2021-10-07,27
"129",2021-10-08,11
"130",2021-10-09,6
"131",2021-10-10,4
"132",2021-10-11,6
"133",2021-10-12,9
"134",2021-10-13,16
"135",2021-10-14,109
"136",2021-10-15,3
"137",2021-10-16,8
"138",2021-10-17,4
"139",2021-10-18,3
"140",2021-10-19,8
"141",2021-10-20,10
"142",2021-10-21,20
"143",2021-10-22,10
"144",2021-10-23,5
"145",2021-10-24,4
"146",2021-10-25,2
"147",2021-10-26,6
"148",2021-10-27,15
"149",2021-10-28,8
"150",2021-10-29,30
"151",2021-10-30,12
"152",2021-10-31,2
"153",2021-11-01,3
"154",2021-11-02,22
"155",2021-11-03,4
"156",2021-11-04,10
"157",2021-11-05,6
"158",2021-11-06,10
"159",2021-11-07,1
"160",2021-11-08,5
"161",2021-11-09,14
"162",2021-11-10,11
"163",2021-11-11,20
"164",2021-11-12,13
"165",2021-11-13,5
"166",2021-11-14,4
"167",2021-11-15,7
"168",2021-11-16,10
"169",2021-11-17,6
"170",2021-11-18,14
"171",2021-11-19,33
"172",2021-11-20,7
"173",2021-11-21,3
"174",2021-11-22,8
"175",2021-11-23,19
"176",2021-11-24,19
"177",2021-11-25,33
"178",2021-11-26,6
"179",2021-11-27,9
"180",2021-11-28,8
"181",2021-11-29,24
"182",2021-11-30,25
