"","date","new_cases"
"1",2021-06-02,1
"2",2021-06-03,1
"3",2021-06-04,1
"4",2021-06-05,2
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,0
"9",2021-06-10,4
"10",2021-06-11,1
"11",2021-06-12,1
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,0
"16",2021-06-17,1
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,2
"20",2021-06-21,0
"21",2021-06-22,1
"22",2021-06-23,0
"23",2021-06-24,1
"24",2021-06-25,4
"25",2021-06-26,1
"26",2021-06-27,1
"27",2021-06-28,0
"28",2021-06-29,1
"29",2021-06-30,2
"30",2021-07-01,1
"31",2021-07-02,1
"32",2021-07-03,7
"33",2021-07-04,0
"34",2021-07-05,6
"35",2021-07-06,1
"36",2021-07-07,1
"37",2021-07-08,3
"38",2021-07-09,2
"39",2021-07-10,4
"40",2021-07-11,-3
"41",2021-07-12,0
"42",2021-07-13,3
"43",2021-07-14,5
"44",2021-07-15,4
"45",2021-07-16,0
"46",2021-07-17,0
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,1
"50",2021-07-21,0
"51",2021-07-22,3
"52",2021-07-23,1
"53",2021-07-24,4
"54",2021-07-25,1
"55",2021-07-26,2
"56",2021-07-27,7
"57",2021-07-28,3
"58",2021-07-29,5
"59",2021-07-30,1
"60",2021-07-31,4
"61",2021-08-01,0
"62",2021-08-02,2
"63",2021-08-03,17
"64",2021-08-04,1
"65",2021-08-05,10
"66",2021-08-06,5
"67",2021-08-07,16
"68",2021-08-08,2
"69",2021-08-09,3
"70",2021-08-10,5
"71",2021-08-11,18
"72",2021-08-12,9
"73",2021-08-13,7
"74",2021-08-14,6
"75",2021-08-15,9
"76",2021-08-16,9
"77",2021-08-17,9
"78",2021-08-18,13
"79",2021-08-19,10
"80",2021-08-20,9
"81",2021-08-21,10
"82",2021-08-22,6
"83",2021-08-23,9
"84",2021-08-24,5
"85",2021-08-25,11
"86",2021-08-26,13
"87",2021-08-27,10
"88",2021-08-28,8
"89",2021-08-29,11
"90",2021-08-30,9
"91",2021-08-31,14
"92",2021-09-01,13
"93",2021-09-02,14
"94",2021-09-03,27
"95",2021-09-04,16
"96",2021-09-05,10
"97",2021-09-06,10
"98",2021-09-07,11
"99",2021-09-08,7
"100",2021-09-09,20
"101",2021-09-10,16
"102",2021-09-11,18
"103",2021-09-12,9
"104",2021-09-13,6
"105",2021-09-14,29
"106",2021-09-15,21
"107",2021-09-16,19
"108",2021-09-17,12
"109",2021-09-18,29
"110",2021-09-19,14
"111",2021-09-20,3
"112",2021-09-21,8
"113",2021-09-22,12
"114",2021-09-23,12
"115",2021-09-24,16
"116",2021-09-25,5
"117",2021-09-26,6
"118",2021-09-27,6
"119",2021-09-28,6
"120",2021-09-29,10
"121",2021-09-30,10
"122",2021-10-01,5
"123",2021-10-02,6
"124",2021-10-03,0
"125",2021-10-04,7
"126",2021-10-05,6
"127",2021-10-06,8
"128",2021-10-07,0
"129",2021-10-08,16
"130",2021-10-09,4
"131",2021-10-10,2
"132",2021-10-11,2
"133",2021-10-12,1
"134",2021-10-13,3
"135",2021-10-14,2
"136",2021-10-15,9
"137",2021-10-16,0
"138",2021-10-17,0
"139",2021-10-18,3
"140",2021-10-19,1
"141",2021-10-20,4
"142",2021-10-21,8
"143",2021-10-22,4
"144",2021-10-23,2
"145",2021-10-24,-1
"146",2021-10-25,2
"147",2021-10-26,8
"148",2021-10-27,7
"149",2021-10-28,5
"150",2021-10-29,5
"151",2021-10-30,3
"152",2021-10-31,0
"153",2021-11-01,3
"154",2021-11-02,6
"155",2021-11-03,9
"156",2021-11-04,13
"157",2021-11-05,12
"158",2021-11-06,10
"159",2021-11-07,2
"160",2021-11-08,2
"161",2021-11-09,19
"162",2021-11-10,12
"163",2021-11-11,23
"164",2021-11-12,11
"165",2021-11-13,10
"166",2021-11-14,3
"167",2021-11-15,6
"168",2021-11-16,5
"169",2021-11-17,12
"170",2021-11-18,9
"171",2021-11-19,4
"172",2021-11-20,11
"173",2021-11-21,1
"174",2021-11-22,3
"175",2021-11-23,11
"176",2021-11-24,9
"177",2021-11-25,12
"178",2021-11-26,0
"179",2021-11-27,10
"180",2021-11-28,3
"181",2021-11-29,2
"182",2021-11-30,32
