"","date","new_cases"
"1",2021-06-02,3
"2",2021-06-03,0
"3",2021-06-04,0
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,0
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,1
"12",2021-06-13,3
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,1
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,1
"20",2021-06-21,0
"21",2021-06-22,2
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,3
"25",2021-06-26,0
"26",2021-06-27,1
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,2
"30",2021-07-01,1
"31",2021-07-02,2
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,1
"36",2021-07-07,3
"37",2021-07-08,2
"38",2021-07-09,2
"39",2021-07-10,0
"40",2021-07-11,1
"41",2021-07-12,-1
"42",2021-07-13,3
"43",2021-07-14,3
"44",2021-07-15,0
"45",2021-07-16,2
"46",2021-07-17,0
"47",2021-07-18,1
"48",2021-07-19,0
"49",2021-07-20,1
"50",2021-07-21,-1
"51",2021-07-22,3
"52",2021-07-23,1
"53",2021-07-24,3
"54",2021-07-25,0
"55",2021-07-26,2
"56",2021-07-27,6
"57",2021-07-28,10
"58",2021-07-29,5
"59",2021-07-30,8
"60",2021-07-31,10
"61",2021-08-01,4
"62",2021-08-02,2
"63",2021-08-03,16
"64",2021-08-04,14
"65",2021-08-05,14
"66",2021-08-06,24
"67",2021-08-07,9
"68",2021-08-08,3
"69",2021-08-09,6
"70",2021-08-10,16
"71",2021-08-11,18
"72",2021-08-12,11
"73",2021-08-13,15
"74",2021-08-14,20
"75",2021-08-15,7
"76",2021-08-16,2
"77",2021-08-17,21
"78",2021-08-18,14
"79",2021-08-19,21
"80",2021-08-20,18
"81",2021-08-21,10
"82",2021-08-22,8
"83",2021-08-23,6
"84",2021-08-24,14
"85",2021-08-25,43
"86",2021-08-26,12
"87",2021-08-27,17
"88",2021-08-28,22
"89",2021-08-29,4
"90",2021-08-30,15
"91",2021-08-31,28
"92",2021-09-01,35
"93",2021-09-02,17
"94",2021-09-03,21
"95",2021-09-04,20
"96",2021-09-05,11
"97",2021-09-06,3
"98",2021-09-07,5
"99",2021-09-08,44
"100",2021-09-09,30
"101",2021-09-10,25
"102",2021-09-11,20
"103",2021-09-12,2
"104",2021-09-13,5
"105",2021-09-14,37
"106",2021-09-15,23
"107",2021-09-16,11
"108",2021-09-17,17
"109",2021-09-18,16
"110",2021-09-19,0
"111",2021-09-20,6
"112",2021-09-21,33
"113",2021-09-22,12
"114",2021-09-23,7
"115",2021-09-24,15
"116",2021-09-25,16
"117",2021-09-26,1
"118",2021-09-27,2
"119",2021-09-28,14
"120",2021-09-29,11
"121",2021-09-30,8
"122",2021-10-01,5
"123",2021-10-02,9
"124",2021-10-03,3
"125",2021-10-04,2
"126",2021-10-05,17
"127",2021-10-06,11
"128",2021-10-07,11
"129",2021-10-08,5
"130",2021-10-09,4
"131",2021-10-10,1
"132",2021-10-11,0
"133",2021-10-12,7
"134",2021-10-13,11
"135",2021-10-14,7
"136",2021-10-15,6
"137",2021-10-16,4
"138",2021-10-17,3
"139",2021-10-18,2
"140",2021-10-19,6
"141",2021-10-20,-1
"142",2021-10-21,5
"143",2021-10-22,6
"144",2021-10-23,4
"145",2021-10-24,2
"146",2021-10-25,0
"147",2021-10-26,7
"148",2021-10-27,9
"149",2021-10-28,3
"150",2021-10-29,0
"151",2021-10-30,11
"152",2021-10-31,5
"153",2021-11-01,3
"154",2021-11-02,9
"155",2021-11-03,6
"156",2021-11-04,5
"157",2021-11-05,0
"158",2021-11-06,8
"159",2021-11-07,3
"160",2021-11-08,1
"161",2021-11-09,7
"162",2021-11-10,3
"163",2021-11-11,7
"164",2021-11-12,2
"165",2021-11-13,11
"166",2021-11-14,2
"167",2021-11-15,4
"168",2021-11-16,11
"169",2021-11-17,8
"170",2021-11-18,6
"171",2021-11-19,13
"172",2021-11-20,13
"173",2021-11-21,0
"174",2021-11-22,7
"175",2021-11-23,23
"176",2021-11-24,17
"177",2021-11-25,18
"178",2021-11-26,2
"179",2021-11-27,7
"180",2021-11-28,6
"181",2021-11-29,7
"182",2021-11-30,40
