"","date","new_cases"
"1",2021-06-02,0
"2",2021-06-03,1
"3",2021-06-04,0
"4",2021-06-05,3
"5",2021-06-06,1
"6",2021-06-07,0
"7",2021-06-08,0
"8",2021-06-09,1
"9",2021-06-10,0
"10",2021-06-11,1
"11",2021-06-12,3
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,0
"16",2021-06-17,1
"17",2021-06-18,1
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,1
"24",2021-06-25,3
"25",2021-06-26,1
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,1
"29",2021-06-30,1
"30",2021-07-01,1
"31",2021-07-02,1
"32",2021-07-03,2
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,1
"36",2021-07-07,2
"37",2021-07-08,4
"38",2021-07-09,0
"39",2021-07-10,1
"40",2021-07-11,4
"41",2021-07-12,2
"42",2021-07-13,3
"43",2021-07-14,-1
"44",2021-07-15,5
"45",2021-07-16,10
"46",2021-07-17,0
"47",2021-07-18,5
"48",2021-07-19,2
"49",2021-07-20,4
"50",2021-07-21,2
"51",2021-07-22,8
"52",2021-07-23,6
"53",2021-07-24,10
"54",2021-07-25,14
"55",2021-07-26,7
"56",2021-07-27,17
"57",2021-07-28,13
"58",2021-07-29,9
"59",2021-07-30,14
"60",2021-07-31,14
"61",2021-08-01,6
"62",2021-08-02,3
"63",2021-08-03,18
"64",2021-08-04,18
"65",2021-08-05,20
"66",2021-08-06,10
"67",2021-08-07,21
"68",2021-08-08,8
"69",2021-08-09,5
"70",2021-08-10,31
"71",2021-08-11,28
"72",2021-08-12,22
"73",2021-08-13,25
"74",2021-08-14,19
"75",2021-08-15,6
"76",2021-08-16,8
"77",2021-08-17,20
"78",2021-08-18,18
"79",2021-08-19,11
"80",2021-08-20,18
"81",2021-08-21,18
"82",2021-08-22,9
"83",2021-08-23,6
"84",2021-08-24,19
"85",2021-08-25,32
"86",2021-08-26,20
"87",2021-08-27,43
"88",2021-08-28,34
"89",2021-08-29,8
"90",2021-08-30,10
"91",2021-08-31,30
"92",2021-09-01,33
"93",2021-09-02,12
"94",2021-09-03,35
"95",2021-09-04,17
"96",2021-09-05,4
"97",2021-09-06,7
"98",2021-09-07,13
"99",2021-09-08,20
"100",2021-09-09,19
"101",2021-09-10,14
"102",2021-09-11,16
"103",2021-09-12,9
"104",2021-09-13,3
"105",2021-09-14,17
"106",2021-09-15,16
"107",2021-09-16,11
"108",2021-09-17,18
"109",2021-09-18,9
"110",2021-09-19,5
"111",2021-09-20,5
"112",2021-09-21,22
"113",2021-09-22,9
"114",2021-09-23,6
"115",2021-09-24,17
"116",2021-09-25,5
"117",2021-09-26,3
"118",2021-09-27,4
"119",2021-09-28,16
"120",2021-09-29,8
"121",2021-09-30,10
"122",2021-10-01,19
"123",2021-10-02,23
"124",2021-10-03,3
"125",2021-10-04,8
"126",2021-10-05,12
"127",2021-10-06,10
"128",2021-10-07,22
"129",2021-10-08,37
"130",2021-10-09,1
"131",2021-10-10,3
"132",2021-10-11,4
"133",2021-10-12,11
"134",2021-10-13,24
"135",2021-10-14,20
"136",2021-10-15,15
"137",2021-10-16,11
"138",2021-10-17,2
"139",2021-10-18,5
"140",2021-10-19,2
"141",2021-10-20,9
"142",2021-10-21,5
"143",2021-10-22,7
"144",2021-10-23,5
"145",2021-10-24,2
"146",2021-10-25,0
"147",2021-10-26,6
"148",2021-10-27,3
"149",2021-10-28,6
"150",2021-10-29,10
"151",2021-10-30,2
"152",2021-10-31,9
"153",2021-11-01,1
"154",2021-11-02,5
"155",2021-11-03,6
"156",2021-11-04,19
"157",2021-11-05,13
"158",2021-11-06,9
"159",2021-11-07,4
"160",2021-11-08,2
"161",2021-11-09,17
"162",2021-11-10,9
"163",2021-11-11,5
"164",2021-11-12,9
"165",2021-11-13,5
"166",2021-11-14,11
"167",2021-11-15,2
"168",2021-11-16,20
"169",2021-11-17,8
"170",2021-11-18,4
"171",2021-11-19,10
"172",2021-11-20,7
"173",2021-11-21,2
"174",2021-11-22,2
"175",2021-11-23,19
"176",2021-11-24,11
"177",2021-11-25,16
"178",2021-11-26,5
"179",2021-11-27,1
"180",2021-11-28,6
"181",2021-11-29,7
"182",2021-11-30,37
