"","date","new_cases"
"1",2021-06-02,3
"2",2021-06-03,5
"3",2021-06-04,8
"4",2021-06-05,1
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,2
"8",2021-06-09,1
"9",2021-06-10,2
"10",2021-06-11,1
"11",2021-06-12,0
"12",2021-06-13,1
"13",2021-06-14,3
"14",2021-06-15,2
"15",2021-06-16,3
"16",2021-06-17,1
"17",2021-06-18,1
"18",2021-06-19,3
"19",2021-06-20,1
"20",2021-06-21,0
"21",2021-06-22,-1
"22",2021-06-23,1
"23",2021-06-24,0
"24",2021-06-25,1
"25",2021-06-26,1
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,3
"29",2021-06-30,0
"30",2021-07-01,0
"31",2021-07-02,0
"32",2021-07-03,2
"33",2021-07-04,0
"34",2021-07-05,4
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,1
"38",2021-07-09,2
"39",2021-07-10,2
"40",2021-07-11,4
"41",2021-07-12,0
"42",2021-07-13,2
"43",2021-07-14,7
"44",2021-07-15,1
"45",2021-07-16,2
"46",2021-07-17,4
"47",2021-07-18,7
"48",2021-07-19,1
"49",2021-07-20,4
"50",2021-07-21,2
"51",2021-07-22,8
"52",2021-07-23,6
"53",2021-07-24,10
"54",2021-07-25,1
"55",2021-07-26,6
"56",2021-07-27,13
"57",2021-07-28,4
"58",2021-07-29,10
"59",2021-07-30,5
"60",2021-07-31,17
"61",2021-08-01,11
"62",2021-08-02,5
"63",2021-08-03,28
"64",2021-08-04,1
"65",2021-08-05,13
"66",2021-08-06,5
"67",2021-08-07,61
"68",2021-08-08,3
"69",2021-08-09,5
"70",2021-08-10,30
"71",2021-08-11,30
"72",2021-08-12,32
"73",2021-08-13,13
"74",2021-08-14,15
"75",2021-08-15,9
"76",2021-08-16,5
"77",2021-08-17,34
"78",2021-08-18,39
"79",2021-08-19,9
"80",2021-08-20,36
"81",2021-08-21,36
"82",2021-08-22,9
"83",2021-08-23,25
"84",2021-08-24,20
"85",2021-08-25,37
"86",2021-08-26,32
"87",2021-08-27,26
"88",2021-08-28,20
"89",2021-08-29,9
"90",2021-08-30,35
"91",2021-08-31,51
"92",2021-09-01,70
"93",2021-09-02,20
"94",2021-09-03,78
"95",2021-09-04,36
"96",2021-09-05,11
"97",2021-09-06,34
"98",2021-09-07,20
"99",2021-09-08,27
"100",2021-09-09,60
"101",2021-09-10,43
"102",2021-09-11,32
"103",2021-09-12,21
"104",2021-09-13,22
"105",2021-09-14,22
"106",2021-09-15,37
"107",2021-09-16,48
"108",2021-09-17,6
"109",2021-09-18,59
"110",2021-09-19,22
"111",2021-09-20,18
"112",2021-09-21,36
"113",2021-09-22,31
"114",2021-09-23,40
"115",2021-09-24,23
"116",2021-09-25,25
"117",2021-09-26,24
"118",2021-09-27,9
"119",2021-09-28,23
"120",2021-09-29,30
"121",2021-09-30,33
"122",2021-10-01,31
"123",2021-10-02,24
"124",2021-10-03,10
"125",2021-10-04,16
"126",2021-10-05,30
"127",2021-10-06,28
"128",2021-10-07,18
"129",2021-10-08,30
"130",2021-10-09,10
"131",2021-10-10,18
"132",2021-10-11,4
"133",2021-10-12,18
"134",2021-10-13,25
"135",2021-10-14,13
"136",2021-10-15,20
"137",2021-10-16,6
"138",2021-10-17,7
"139",2021-10-18,1
"140",2021-10-19,22
"141",2021-10-20,9
"142",2021-10-21,7
"143",2021-10-22,23
"144",2021-10-23,16
"145",2021-10-24,7
"146",2021-10-25,15
"147",2021-10-26,17
"148",2021-10-27,11
"149",2021-10-28,21
"150",2021-10-29,7
"151",2021-10-30,23
"152",2021-10-31,1
"153",2021-11-01,9
"154",2021-11-02,19
"155",2021-11-03,14
"156",2021-11-04,26
"157",2021-11-05,16
"158",2021-11-06,19
"159",2021-11-07,7
"160",2021-11-08,24
"161",2021-11-09,17
"162",2021-11-10,29
"163",2021-11-11,22
"164",2021-11-12,16
"165",2021-11-13,20
"166",2021-11-14,2
"167",2021-11-15,11
"168",2021-11-16,16
"169",2021-11-17,29
"170",2021-11-18,18
"171",2021-11-19,22
"172",2021-11-20,31
"173",2021-11-21,9
"174",2021-11-22,17
"175",2021-11-23,26
"176",2021-11-24,44
"177",2021-11-25,34
"178",2021-11-26,9
"179",2021-11-27,12
"180",2021-11-28,14
"181",2021-11-29,23
"182",2021-11-30,42
