"","date","new_cases"
"1",2021-06-02,189
"2",2021-06-03,138
"3",2021-06-04,108
"4",2021-06-05,116
"5",2021-06-06,69
"6",2021-06-07,42
"7",2021-06-08,31
"8",2021-06-09,56
"9",2021-06-10,58
"10",2021-06-11,82
"11",2021-06-12,48
"12",2021-06-13,60
"13",2021-06-14,25
"14",2021-06-15,44
"15",2021-06-16,60
"16",2021-06-17,16
"17",2021-06-18,-3
"18",2021-06-19,57
"19",2021-06-20,30
"20",2021-06-21,32
"21",2021-06-22,16
"22",2021-06-23,26
"23",2021-06-24,35
"24",2021-06-25,30
"25",2021-06-26,50
"26",2021-06-27,21
"27",2021-06-28,25
"28",2021-06-29,37
"29",2021-06-30,20
"30",2021-07-01,65
"31",2021-07-02,34
"32",2021-07-03,52
"33",2021-07-04,10
"34",2021-07-05,8
"35",2021-07-06,89
"36",2021-07-07,28
"37",2021-07-08,62
"38",2021-07-09,95
"39",2021-07-10,52
"40",2021-07-11,73
"41",2021-07-12,50
"42",2021-07-13,46
"43",2021-07-14,75
"44",2021-07-15,104
"45",2021-07-16,67
"46",2021-07-17,152
"47",2021-07-18,167
"48",2021-07-19,97
"49",2021-07-20,53
"50",2021-07-21,133
"51",2021-07-22,229
"52",2021-07-23,192
"53",2021-07-24,157
"54",2021-07-25,184
"55",2021-07-26,156
"56",2021-07-27,145
"57",2021-07-28,268
"58",2021-07-29,165
"59",2021-07-30,323
"60",2021-07-31,333
"61",2021-08-01,255
"62",2021-08-02,259
"63",2021-08-03,346
"64",2021-08-04,307
"65",2021-08-05,437
"66",2021-08-06,488
"67",2021-08-07,354
"68",2021-08-08,309
"69",2021-08-09,445
"70",2021-08-10,313
"71",2021-08-11,587
"72",2021-08-12,376
"73",2021-08-13,463
"74",2021-08-14,518
"75",2021-08-15,456
"76",2021-08-16,321
"77",2021-08-17,403
"78",2021-08-18,482
"79",2021-08-19,387
"80",2021-08-20,655
"81",2021-08-21,591
"82",2021-08-22,308
"83",2021-08-23,441
"84",2021-08-24,379
"85",2021-08-25,588
"86",2021-08-26,532
"87",2021-08-27,703
"88",2021-08-28,310
"89",2021-08-29,698
"90",2021-08-30,323
"91",2021-08-31,598
"92",2021-09-01,683
"93",2021-09-02,467
"94",2021-09-03,754
"95",2021-09-04,529
"96",2021-09-05,397
"97",2021-09-06,299
"98",2021-09-07,311
"99",2021-09-08,412
"100",2021-09-09,549
"101",2021-09-10,652
"102",2021-09-11,639
"103",2021-09-12,412
"104",2021-09-13,225
"105",2021-09-14,653
"106",2021-09-15,511
"107",2021-09-16,628
"108",2021-09-17,508
"109",2021-09-18,492
"110",2021-09-19,479
"111",2021-09-20,345
"112",2021-09-21,342
"113",2021-09-22,495
"114",2021-09-23,518
"115",2021-09-24,490
"116",2021-09-25,338
"117",2021-09-26,403
"118",2021-09-27,323
"119",2021-09-28,311
"120",2021-09-29,421
"121",2021-09-30,557
"122",2021-10-01,514
"123",2021-10-02,516
"124",2021-10-03,429
"125",2021-10-04,346
"126",2021-10-05,516
"127",2021-10-06,411
"128",2021-10-07,605
"129",2021-10-08,447
"130",2021-10-09,242
"131",2021-10-10,475
"132",2021-10-11,292
"133",2021-10-12,338
"134",2021-10-13,476
"135",2021-10-14,392
"136",2021-10-15,379
"137",2021-10-16,434
"138",2021-10-17,313
"139",2021-10-18,245
"140",2021-10-19,320
"141",2021-10-20,385
"142",2021-10-21,355
"143",2021-10-22,495
"144",2021-10-23,334
"145",2021-10-24,406
"146",2021-10-25,315
"147",2021-10-26,352
"148",2021-10-27,262
"149",2021-10-28,481
"150",2021-10-29,508
"151",2021-10-30,510
"152",2021-10-31,371
"153",2021-11-01,324
"154",2021-11-02,397
"155",2021-11-03,231
"156",2021-11-04,729
"157",2021-11-05,488
"158",2021-11-06,515
"159",2021-11-07,428
"160",2021-11-08,325
"161",2021-11-09,270
"162",2021-11-10,809
"163",2021-11-11,823
"164",2021-11-12,647
"165",2021-11-13,495
"166",2021-11-14,597
"167",2021-11-15,390
"168",2021-11-16,438
"169",2021-11-17,889
"170",2021-11-18,970
"171",2021-11-19,989
"172",2021-11-20,812
"173",2021-11-21,342
"174",2021-11-22,907
"175",2021-11-23,833
"176",2021-11-24,783
"177",2021-11-25,826
"178",2021-11-26,448
"179",2021-11-27,677
"180",2021-11-28,606
"181",2021-11-29,887
"182",2021-11-30,833
