"","date","new_cases"
"1",2021-06-02,0
"2",2021-06-03,1
"3",2021-06-04,3
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,2
"8",2021-06-09,1
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,-1
"15",2021-06-16,0
"16",2021-06-17,1
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,1
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,-1
"30",2021-07-01,0
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,0
"37",2021-07-08,0
"38",2021-07-09,0
"39",2021-07-10,0
"40",2021-07-11,0
"41",2021-07-12,2
"42",2021-07-13,1
"43",2021-07-14,1
"44",2021-07-15,1
"45",2021-07-16,1
"46",2021-07-17,0
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,4
"50",2021-07-21,5
"51",2021-07-22,7
"52",2021-07-23,1
"53",2021-07-24,3
"54",2021-07-25,4
"55",2021-07-26,1
"56",2021-07-27,4
"57",2021-07-28,10
"58",2021-07-29,11
"59",2021-07-30,10
"60",2021-07-31,4
"61",2021-08-01,3
"62",2021-08-02,4
"63",2021-08-03,20
"64",2021-08-04,22
"65",2021-08-05,11
"66",2021-08-06,24
"67",2021-08-07,18
"68",2021-08-08,11
"69",2021-08-09,3
"70",2021-08-10,40
"71",2021-08-11,29
"72",2021-08-12,16
"73",2021-08-13,21
"74",2021-08-14,28
"75",2021-08-15,5
"76",2021-08-16,6
"77",2021-08-17,30
"78",2021-08-18,33
"79",2021-08-19,20
"80",2021-08-20,34
"81",2021-08-21,11
"82",2021-08-22,1
"83",2021-08-23,26
"84",2021-08-24,9
"85",2021-08-25,40
"86",2021-08-26,7
"87",2021-08-27,9
"88",2021-08-28,15
"89",2021-08-29,8
"90",2021-08-30,3
"91",2021-08-31,19
"92",2021-09-01,21
"93",2021-09-02,12
"94",2021-09-03,19
"95",2021-09-04,5
"96",2021-09-05,7
"97",2021-09-06,9
"98",2021-09-07,2
"99",2021-09-08,24
"100",2021-09-09,21
"101",2021-09-10,17
"102",2021-09-11,7
"103",2021-09-12,2
"104",2021-09-13,4
"105",2021-09-14,23
"106",2021-09-15,26
"107",2021-09-16,36
"108",2021-09-17,13
"109",2021-09-18,12
"110",2021-09-19,7
"111",2021-09-20,6
"112",2021-09-21,10
"113",2021-09-22,17
"114",2021-09-23,19
"115",2021-09-24,19
"116",2021-09-25,14
"117",2021-09-26,6
"118",2021-09-27,3
"119",2021-09-28,20
"120",2021-09-29,25
"121",2021-09-30,18
"122",2021-10-01,16
"123",2021-10-02,9
"124",2021-10-03,2
"125",2021-10-04,3
"126",2021-10-05,13
"127",2021-10-06,17
"128",2021-10-07,16
"129",2021-10-08,11
"130",2021-10-09,8
"131",2021-10-10,5
"132",2021-10-11,1
"133",2021-10-12,4
"134",2021-10-13,12
"135",2021-10-14,10
"136",2021-10-15,16
"137",2021-10-16,5
"138",2021-10-17,0
"139",2021-10-18,0
"140",2021-10-19,6
"141",2021-10-20,5
"142",2021-10-21,8
"143",2021-10-22,5
"144",2021-10-23,4
"145",2021-10-24,1
"146",2021-10-25,2
"147",2021-10-26,9
"148",2021-10-27,3
"149",2021-10-28,5
"150",2021-10-29,1
"151",2021-10-30,3
"152",2021-10-31,1
"153",2021-11-01,4
"154",2021-11-02,9
"155",2021-11-03,5
"156",2021-11-04,10
"157",2021-11-05,11
"158",2021-11-06,5
"159",2021-11-07,2
"160",2021-11-08,1
"161",2021-11-09,7
"162",2021-11-10,4
"163",2021-11-11,5
"164",2021-11-12,4
"165",2021-11-13,1
"166",2021-11-14,5
"167",2021-11-15,3
"168",2021-11-16,11
"169",2021-11-17,9
"170",2021-11-18,7
"171",2021-11-19,4
"172",2021-11-20,4
"173",2021-11-21,3
"174",2021-11-22,6
"175",2021-11-23,11
"176",2021-11-24,3
"177",2021-11-25,6
"178",2021-11-26,0
"179",2021-11-27,7
"180",2021-11-28,4
"181",2021-11-29,4
"182",2021-11-30,14
