"","date","new_cases"
"1",2021-06-02,0
"2",2021-06-03,0
"3",2021-06-04,0
"4",2021-06-05,0
"5",2021-06-06,0
"6",2021-06-07,1
"7",2021-06-08,1
"8",2021-06-09,0
"9",2021-06-10,0
"10",2021-06-11,0
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,1
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,1
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,1
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,0
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,0
"30",2021-07-01,1
"31",2021-07-02,0
"32",2021-07-03,0
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,1
"36",2021-07-07,0
"37",2021-07-08,0
"38",2021-07-09,0
"39",2021-07-10,0
"40",2021-07-11,0
"41",2021-07-12,0
"42",2021-07-13,0
"43",2021-07-14,2
"44",2021-07-15,1
"45",2021-07-16,0
"46",2021-07-17,0
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,1
"50",2021-07-21,0
"51",2021-07-22,0
"52",2021-07-23,0
"53",2021-07-24,-1
"54",2021-07-25,1
"55",2021-07-26,0
"56",2021-07-27,1
"57",2021-07-28,1
"58",2021-07-29,0
"59",2021-07-30,3
"60",2021-07-31,2
"61",2021-08-01,3
"62",2021-08-02,1
"63",2021-08-03,2
"64",2021-08-04,0
"65",2021-08-05,1
"66",2021-08-06,0
"67",2021-08-07,8
"68",2021-08-08,1
"69",2021-08-09,0
"70",2021-08-10,3
"71",2021-08-11,4
"72",2021-08-12,4
"73",2021-08-13,1
"74",2021-08-14,1
"75",2021-08-15,1
"76",2021-08-16,3
"77",2021-08-17,5
"78",2021-08-18,5
"79",2021-08-19,2
"80",2021-08-20,7
"81",2021-08-21,9
"82",2021-08-22,3
"83",2021-08-23,5
"84",2021-08-24,9
"85",2021-08-25,14
"86",2021-08-26,5
"87",2021-08-27,12
"88",2021-08-28,11
"89",2021-08-29,6
"90",2021-08-30,18
"91",2021-08-31,26
"92",2021-09-01,39
"93",2021-09-02,23
"94",2021-09-03,16
"95",2021-09-04,22
"96",2021-09-05,8
"97",2021-09-06,15
"98",2021-09-07,11
"99",2021-09-08,18
"100",2021-09-09,24
"101",2021-09-10,12
"102",2021-09-11,6
"103",2021-09-12,4
"104",2021-09-13,9
"105",2021-09-14,13
"106",2021-09-15,18
"107",2021-09-16,16
"108",2021-09-17,1
"109",2021-09-18,7
"110",2021-09-19,8
"111",2021-09-20,5
"112",2021-09-21,14
"113",2021-09-22,8
"114",2021-09-23,10
"115",2021-09-24,5
"116",2021-09-25,0
"117",2021-09-26,5
"118",2021-09-27,3
"119",2021-09-28,6
"120",2021-09-29,10
"121",2021-09-30,4
"122",2021-10-01,4
"123",2021-10-02,7
"124",2021-10-03,1
"125",2021-10-04,4
"126",2021-10-05,8
"127",2021-10-06,11
"128",2021-10-07,4
"129",2021-10-08,1
"130",2021-10-09,3
"131",2021-10-10,2
"132",2021-10-11,0
"133",2021-10-12,7
"134",2021-10-13,2
"135",2021-10-14,2
"136",2021-10-15,3
"137",2021-10-16,2
"138",2021-10-17,2
"139",2021-10-18,6
"140",2021-10-19,1
"141",2021-10-20,4
"142",2021-10-21,2
"143",2021-10-22,-1
"144",2021-10-23,1
"145",2021-10-24,0
"146",2021-10-25,3
"147",2021-10-26,2
"148",2021-10-27,4
"149",2021-10-28,5
"150",2021-10-29,3
"151",2021-10-30,5
"152",2021-10-31,1
"153",2021-11-01,3
"154",2021-11-02,5
"155",2021-11-03,3
"156",2021-11-04,2
"157",2021-11-05,8
"158",2021-11-06,5
"159",2021-11-07,1
"160",2021-11-08,3
"161",2021-11-09,1
"162",2021-11-10,2
"163",2021-11-11,4
"164",2021-11-12,0
"165",2021-11-13,3
"166",2021-11-14,5
"167",2021-11-15,2
"168",2021-11-16,8
"169",2021-11-17,6
"170",2021-11-18,7
"171",2021-11-19,7
"172",2021-11-20,8
"173",2021-11-21,5
"174",2021-11-22,7
"175",2021-11-23,12
"176",2021-11-24,12
"177",2021-11-25,7
"178",2021-11-26,0
"179",2021-11-27,2
"180",2021-11-28,4
"181",2021-11-29,4
"182",2021-11-30,13
