"","date","new_cases"
"1",2021-06-02,3
"2",2021-06-03,2
"3",2021-06-04,-1
"4",2021-06-05,1
"5",2021-06-06,0
"6",2021-06-07,0
"7",2021-06-08,1
"8",2021-06-09,-1
"9",2021-06-10,1
"10",2021-06-11,1
"11",2021-06-12,0
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,2
"15",2021-06-16,-1
"16",2021-06-17,0
"17",2021-06-18,0
"18",2021-06-19,0
"19",2021-06-20,0
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,0
"23",2021-06-24,0
"24",2021-06-25,1
"25",2021-06-26,0
"26",2021-06-27,0
"27",2021-06-28,0
"28",2021-06-29,0
"29",2021-06-30,0
"30",2021-07-01,2
"31",2021-07-02,0
"32",2021-07-03,1
"33",2021-07-04,0
"34",2021-07-05,0
"35",2021-07-06,0
"36",2021-07-07,4
"37",2021-07-08,4
"38",2021-07-09,1
"39",2021-07-10,1
"40",2021-07-11,0
"41",2021-07-12,1
"42",2021-07-13,0
"43",2021-07-14,2
"44",2021-07-15,3
"45",2021-07-16,0
"46",2021-07-17,1
"47",2021-07-18,1
"48",2021-07-19,0
"49",2021-07-20,3
"50",2021-07-21,3
"51",2021-07-22,5
"52",2021-07-23,1
"53",2021-07-24,2
"54",2021-07-25,0
"55",2021-07-26,2
"56",2021-07-27,1
"57",2021-07-28,3
"58",2021-07-29,1
"59",2021-07-30,0
"60",2021-07-31,3
"61",2021-08-01,3
"62",2021-08-02,2
"63",2021-08-03,4
"64",2021-08-04,0
"65",2021-08-05,2
"66",2021-08-06,4
"67",2021-08-07,5
"68",2021-08-08,4
"69",2021-08-09,2
"70",2021-08-10,15
"71",2021-08-11,3
"72",2021-08-12,1
"73",2021-08-13,13
"74",2021-08-14,6
"75",2021-08-15,6
"76",2021-08-16,1
"77",2021-08-17,3
"78",2021-08-18,6
"79",2021-08-19,1
"80",2021-08-20,14
"81",2021-08-21,8
"82",2021-08-22,7
"83",2021-08-23,4
"84",2021-08-24,6
"85",2021-08-25,13
"86",2021-08-26,6
"87",2021-08-27,5
"88",2021-08-28,5
"89",2021-08-29,9
"90",2021-08-30,8
"91",2021-08-31,20
"92",2021-09-01,9
"93",2021-09-02,5
"94",2021-09-03,8
"95",2021-09-04,8
"96",2021-09-05,3
"97",2021-09-06,4
"98",2021-09-07,9
"99",2021-09-08,7
"100",2021-09-09,6
"101",2021-09-10,10
"102",2021-09-11,7
"103",2021-09-12,6
"104",2021-09-13,3
"105",2021-09-14,11
"106",2021-09-15,12
"107",2021-09-16,8
"108",2021-09-17,7
"109",2021-09-18,7
"110",2021-09-19,2
"111",2021-09-20,3
"112",2021-09-21,3
"113",2021-09-22,13
"114",2021-09-23,8
"115",2021-09-24,5
"116",2021-09-25,4
"117",2021-09-26,5
"118",2021-09-27,4
"119",2021-09-28,3
"120",2021-09-29,4
"121",2021-09-30,7
"122",2021-10-01,8
"123",2021-10-02,2
"124",2021-10-03,4
"125",2021-10-04,2
"126",2021-10-05,6
"127",2021-10-06,8
"128",2021-10-07,3
"129",2021-10-08,1
"130",2021-10-09,1
"131",2021-10-10,2
"132",2021-10-11,2
"133",2021-10-12,2
"134",2021-10-13,6
"135",2021-10-14,-1
"136",2021-10-15,1
"137",2021-10-16,4
"138",2021-10-17,2
"139",2021-10-18,1
"140",2021-10-19,3
"141",2021-10-20,3
"142",2021-10-21,7
"143",2021-10-22,3
"144",2021-10-23,2
"145",2021-10-24,5
"146",2021-10-25,3
"147",2021-10-26,6
"148",2021-10-27,4
"149",2021-10-28,7
"150",2021-10-29,14
"151",2021-10-30,3
"152",2021-10-31,3
"153",2021-11-01,2
"154",2021-11-02,7
"155",2021-11-03,6
"156",2021-11-04,9
"157",2021-11-05,4
"158",2021-11-06,15
"159",2021-11-07,7
"160",2021-11-08,4
"161",2021-11-09,3
"162",2021-11-10,21
"163",2021-11-11,14
"164",2021-11-12,12
"165",2021-11-13,9
"166",2021-11-14,9
"167",2021-11-15,8
"168",2021-11-16,9
"169",2021-11-17,12
"170",2021-11-18,13
"171",2021-11-19,20
"172",2021-11-20,10
"173",2021-11-21,9
"174",2021-11-22,7
"175",2021-11-23,12
"176",2021-11-24,15
"177",2021-11-25,8
"178",2021-11-26,3
"179",2021-11-27,7
"180",2021-11-28,6
"181",2021-11-29,15
"182",2021-11-30,10
