"","date","new_cases"
"1",2021-04-17,7
"2",2021-04-18,1
"3",2021-04-19,2
"4",2021-04-20,0
"5",2021-04-21,0
"6",2021-04-22,1
"7",2021-04-23,0
"8",2021-04-24,1
"9",2021-04-25,0
"10",2021-04-26,1
"11",2021-04-27,1
"12",2021-04-28,1
"13",2021-04-29,1
"14",2021-04-30,0
"15",2021-05-01,1
"16",2021-05-02,0
"17",2021-05-03,0
"18",2021-05-04,0
"19",2021-05-05,1
"20",2021-05-06,0
"21",2021-05-07,0
"22",2021-05-08,0
"23",2021-05-09,0
"24",2021-05-10,0
"25",2021-05-11,0
"26",2021-05-12,0
"27",2021-05-13,0
"28",2021-05-14,0
"29",2021-05-15,1
"30",2021-05-16,0
"31",2021-05-17,0
"32",2021-05-18,0
"33",2021-05-19,0
"34",2021-05-20,0
"35",2021-05-21,0
"36",2021-05-22,0
"37",2021-05-23,0
"38",2021-05-24,0
"39",2021-05-25,0
"40",2021-05-26,0
"41",2021-05-27,0
"42",2021-05-28,0
"43",2021-05-29,0
"44",2021-05-30,0
"45",2021-05-31,0
"46",2021-06-01,1
"47",2021-06-02,0
"48",2021-06-03,2
"49",2021-06-04,0
"50",2021-06-05,0
"51",2021-06-06,0
"52",2021-06-07,0
"53",2021-06-08,0
"54",2021-06-09,0
"55",2021-06-10,0
"56",2021-06-11,0
"57",2021-06-12,0
"58",2021-06-13,0
"59",2021-06-14,0
"60",2021-06-15,0
"61",2021-06-16,0
"62",2021-06-17,0
"63",2021-06-18,0
"64",2021-06-19,0
"65",2021-06-20,0
"66",2021-06-21,1
"67",2021-06-22,0
"68",2021-06-23,1
"69",2021-06-24,3
"70",2021-06-25,1
"71",2021-06-26,0
"72",2021-06-27,4
"73",2021-06-28,2
"74",2021-06-29,0
"75",2021-06-30,4
"76",2021-07-01,2
"77",2021-07-02,2
"78",2021-07-03,1
"79",2021-07-04,1
"80",2021-07-05,6
"81",2021-07-06,1
"82",2021-07-07,5
"83",2021-07-08,3
"84",2021-07-09,3
"85",2021-07-10,3
"86",2021-07-11,4
"87",2021-07-12,2
"88",2021-07-13,3
"89",2021-07-14,10
"90",2021-07-15,13
"91",2021-07-16,10
"92",2021-07-17,1
"93",2021-07-18,14
"94",2021-07-19,15
"95",2021-07-20,13
"96",2021-07-21,23
"97",2021-07-22,14
"98",2021-07-23,29
"99",2021-07-24,3
"100",2021-07-25,17
"101",2021-07-26,21
"102",2021-07-27,33
"103",2021-07-28,43
"104",2021-07-29,32
"105",2021-07-30,32
"106",2021-07-31,26
"107",2021-08-01,24
"108",2021-08-02,79
"109",2021-08-03,43
"110",2021-08-04,66
"111",2021-08-05,53
"112",2021-08-06,89
"113",2021-08-07,57
"114",2021-08-08,77
"115",2021-08-09,157
"116",2021-08-10,123
"117",2021-08-11,123
"118",2021-08-12,146
"119",2021-08-13,122
"120",2021-08-14,130
"121",2021-08-15,153
"122",2021-08-16,218
"123",2021-08-17,226
"124",2021-08-18,181
"125",2021-08-19,212
"126",2021-08-20,189
"127",2021-08-21,180
"128",2021-08-22,147
"129",2021-08-23,143
"130",2021-08-24,276
"131",2021-08-25,170
"132",2021-08-26,208
"133",2021-08-27,154
"134",2021-08-28,157
"135",2021-08-29,120
"136",2021-08-30,209
"137",2021-08-31,169
"138",2021-09-01,159
"139",2021-09-02,252
"140",2021-09-03,222
"141",2021-09-04,102
"142",2021-09-05,84
"143",2021-09-06,175
"144",2021-09-07,146
"145",2021-09-08,53
"146",2021-09-09,91
"147",2021-09-10,140
"148",2021-09-11,208
"149",2021-09-12,145
"150",2021-09-13,221
"151",2021-09-14,175
"152",2021-09-15,167
"153",2021-09-16,83
"154",2021-09-17,59
"155",2021-09-18,167
"156",2021-09-19,65
"157",2021-09-20,162
"158",2021-09-21,55
"159",2021-09-22,58
"160",2021-09-23,102
"161",2021-09-24,72
"162",2021-09-25,32
"163",2021-09-26,41
"164",2021-09-27,102
"165",2021-09-28,22
"166",2021-09-29,35
"167",2021-09-30,54
"168",2021-10-01,46
"169",2021-10-02,20
"170",2021-10-03,30
"171",2021-10-04,39
"172",2021-10-05,32
"173",2021-10-06,33
"174",2021-10-07,19
"175",2021-10-08,16
"176",2021-10-09,11
"177",2021-10-10,10
"178",2021-10-11,23
"179",2021-10-12,13
"180",2021-10-13,20
"181",2021-10-14,12
"182",2021-10-15,7
"183",2021-10-16,9
"184",2021-10-17,13
"185",2021-10-18,16
"186",2021-10-19,12
"187",2021-10-20,9
"188",2021-10-21,9
"189",2021-10-22,13
"190",2021-10-23,1
"191",2021-10-24,11
"192",2021-10-25,7
"193",2021-10-26,3
"194",2021-10-27,9
"195",2021-10-28,7
"196",2021-10-29,4
"197",2021-10-30,3
"198",2021-10-31,2
"199",2021-11-01,2
"200",2021-11-02,4
"201",2021-11-03,1
"202",2021-11-04,3
"203",2021-11-05,6
"204",2021-11-06,4
"205",2021-11-07,7
"206",2021-11-08,10
"207",2021-11-09,5
"208",2021-11-10,8
"209",2021-11-11,2
"210",2021-11-12,6
"211",2021-11-13,1
"212",2021-11-14,4
"213",2021-11-15,2
"214",2021-11-16,4
"215",2021-11-17,6
"216",2021-11-18,5
"217",2021-11-19,1
"218",2021-11-20,0
"219",2021-11-21,4
"220",2021-11-22,2
"221",2021-11-23,1
"222",2021-11-24,5
"223",2021-11-25,2
"224",2021-11-26,2
"225",2021-11-27,0
"226",2021-11-28,0
"227",2021-11-29,1
"228",2021-11-30,2
