"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,1
"3",2021-06-28,0
"4",2021-06-27,4
"5",2021-06-26,1
"6",2021-06-25,2
"7",2021-06-24,3
"8",2021-06-23,1
"9",2021-06-22,3
"10",2021-06-21,1
"11",2021-06-20,2
"12",2021-06-19,4
"13",2021-06-18,4
"14",2021-06-17,5
"15",2021-06-16,3
"16",2021-06-15,1
"17",2021-06-14,3
"18",2021-06-13,2
"19",2021-06-12,5
"20",2021-06-11,2
"21",2021-06-10,2
"22",2021-06-09,3
"23",2021-06-08,4
"24",2021-06-07,3
"25",2021-06-06,7
"26",2021-06-05,7
"27",2021-06-04,9
"28",2021-06-03,4
"29",2021-06-02,6
"30",2021-06-01,8
"31",2021-05-31,1
"32",2021-05-30,5
"33",2021-05-29,7
"34",2021-05-28,7
"35",2021-05-27,11
"36",2021-05-26,10
"37",2021-05-25,10
"38",2021-05-24,17
"39",2021-05-23,17
"40",2021-05-22,18
"41",2021-05-21,15
"42",2021-05-20,23
"43",2021-05-19,13
"44",2021-05-18,14
"45",2021-05-17,11
"46",2021-05-16,10
"47",2021-05-15,17
"48",2021-05-14,22
"49",2021-05-13,21
"50",2021-05-12,17
"51",2021-05-11,19
"52",2021-05-10,15
"53",2021-05-09,13
"54",2021-05-08,19
"55",2021-05-07,32
"56",2021-05-06,24
"57",2021-05-05,20
"58",2021-05-04,14
"59",2021-05-03,20
"60",2021-05-02,12
"61",2021-05-01,21
"62",2021-04-30,31
"63",2021-04-29,26
"64",2021-04-28,46
"65",2021-04-27,18
"66",2021-04-26,29
"67",2021-04-25,33
"68",2021-04-24,24
"69",2021-04-23,38
"70",2021-04-22,44
"71",2021-04-21,70
"72",2021-04-20,28
"73",2021-04-19,54
"74",2021-04-18,39
"75",2021-04-17,70
"76",2021-04-16,74
"77",2021-04-15,62
"78",2021-04-14,64
"79",2021-04-13,41
"80",2021-04-12,45
"81",2021-04-11,43
"82",2021-04-10,63
"83",2021-04-09,68
"84",2021-04-08,70
"85",2021-04-07,68
"86",2021-04-06,46
"87",2021-04-05,40
"88",2021-04-04,70
"89",2021-04-03,56
"90",2021-04-02,61
"91",2021-04-01,42
"92",2021-03-31,83
"93",2021-03-30,77
"94",2021-03-29,60
"95",2021-03-28,58
"96",2021-03-27,67
"97",2021-03-26,75
"98",2021-03-25,62
"99",2021-03-24,73
"100",2021-03-23,63
"101",2021-03-22,54
"102",2021-03-21,42
"103",2021-03-20,68
"104",2021-03-19,47
"105",2021-03-18,61
"106",2021-03-17,70
"107",2021-03-16,48
"108",2021-03-15,43
"109",2021-03-14,50
"110",2021-03-13,44
"111",2021-03-12,40
"112",2021-03-11,43
"113",2021-03-10,65
"114",2021-03-09,49
"115",2021-03-08,52
"116",2021-03-07,63
"117",2021-03-06,59
"118",2021-03-05,66
"119",2021-03-04,84
"120",2021-03-03,45
"121",2021-03-02,54
"122",2021-03-01,41
"123",2021-02-28,42
"124",2021-02-27,90
"125",2021-02-26,75
"126",2021-02-25,63
"127",2021-02-24,94
"128",2021-02-23,40
"129",2021-02-22,45
"130",2021-02-21,49
"131",2021-02-20,56
"132",2021-02-19,64
"133",2021-02-18,88
"134",2021-02-17,52
"135",2021-02-16,42
"136",2021-02-15,57
"137",2021-02-14,51
"138",2021-02-13,74
"139",2021-02-12,76
"140",2021-02-11,84
"141",2021-02-10,93
"142",2021-02-09,68
"143",2021-02-08,80
"144",2021-02-07,69
"145",2021-02-06,94
"146",2021-02-05,129
"147",2021-02-04,115
"148",2021-02-03,162
"149",2021-02-02,80
"150",2021-02-01,87
"151",2021-01-31,70
"152",2021-01-30,182
"153",2021-01-29,160
"154",2021-01-28,170
"155",2021-01-27,212
"156",2021-01-26,179
"157",2021-01-25,178
"158",2021-01-24,135
"159",2021-01-23,198
"160",2021-01-22,242
"161",2021-01-21,257
"162",2021-01-20,267
"163",2021-01-19,178
"164",2021-01-18,175
"165",2021-01-17,187
"166",2021-01-16,210
"167",2021-01-15,251
"168",2021-01-14,290
"169",2021-01-13,256
"170",2021-01-12,211
"171",2021-01-11,352
"172",2021-01-10,215
"173",2021-01-09,266
"174",2021-01-08,233
"175",2021-01-07,287
"176",2021-01-06,298
"177",2021-01-05,260
"178",2021-01-04,259
"179",2021-01-03,188
"180",2021-01-02,206
"181",2021-01-01,282
"182",2020-12-31,332
"183",2020-12-30,252
"184",2020-12-29,221
"185",2020-12-28,232
"186",2020-12-27,251
"187",2020-12-26,140
"188",2020-12-25,215
"189",2020-12-24,229
"190",2020-12-23,259
"191",2020-12-22,200
"192",2020-12-21,209
"193",2020-12-20,203
"194",2020-12-19,177
"195",2020-12-18,176
"196",2020-12-17,208
"197",2020-12-16,208
"198",2020-12-15,191
"199",2020-12-14,164
"200",2020-12-13,162
"201",2020-12-12,170
"202",2020-12-11,163
"203",2020-12-10,163
"204",2020-12-09,216
"205",2020-12-08,185
"206",2020-12-07,173
"207",2020-12-06,107
"208",2020-12-05,140
"209",2020-12-04,165
"210",2020-12-03,148
"211",2020-12-02,120
"212",2020-12-01,170
"213",2020-11-30,152
"214",2020-11-29,104
"215",2020-11-28,94
"216",2020-11-27,63
"217",2020-11-26,129
"218",2020-11-25,102
"219",2020-11-24,91
"220",2020-11-23,85
"221",2020-11-22,40
"222",2020-11-21,95
"223",2020-11-20,107
"224",2020-11-19,84
"225",2020-11-18,92
"226",2020-11-17,77
"227",2020-11-16,81
"228",2020-11-15,43
"229",2020-11-14,15
"230",2020-11-13,89
"231",2020-11-12,89
"232",2020-11-11,84
"233",2020-11-10,60
"234",2020-11-09,97
"235",2020-11-08,46
"236",2020-11-07,25
"237",2020-11-06,82
"238",2020-11-05,65
"239",2020-11-04,32
"240",2020-11-03,43
"241",2020-11-02,31
"242",2020-11-01,21
"243",2020-10-31,26
"244",2020-10-30,19
"245",2020-10-29,45
"246",2020-10-28,33
"247",2020-10-27,14
"248",2020-10-26,23
"249",2020-10-25,13
"250",2020-10-24,28
"251",2020-10-23,33
"252",2020-10-22,28
"253",2020-10-21,28
"254",2020-10-20,24
"255",2020-10-19,9
"256",2020-10-18,11
"257",2020-10-17,18
"258",2020-10-16,15
"259",2020-10-15,14
"260",2020-10-14,26
"261",2020-10-13,19
"262",2020-10-12,20
"263",2020-10-11,11
"264",2020-10-10,13
"265",2020-10-09,12
"266",2020-10-08,17
"267",2020-10-07,18
"268",2020-10-06,15
"269",2020-10-05,17
"270",2020-10-04,11
"271",2020-10-03,15
"272",2020-10-02,22
"273",2020-10-01,20
"274",2020-09-30,13
"275",2020-09-29,4
"276",2020-09-28,12
"277",2020-09-27,9
"278",2020-09-26,13
"279",2020-09-25,19
"280",2020-09-24,10
"281",2020-09-23,10
"282",2020-09-22,6
"283",2020-09-21,13
"284",2020-09-20,8
"285",2020-09-19,10
"286",2020-09-18,27
"287",2020-09-17,10
"288",2020-09-16,21
"289",2020-09-15,12
"290",2020-09-14,15
"291",2020-09-13,6
"292",2020-09-12,19
"293",2020-09-11,14
"294",2020-09-10,23
"295",2020-09-09,13
"296",2020-09-08,6
"297",2020-09-07,7
"298",2020-09-06,2
"299",2020-09-05,8
"300",2020-09-04,4
"301",2020-09-03,17
"302",2020-09-02,11
"303",2020-09-01,5
"304",2020-08-31,16
"305",2020-08-30,6
"306",2020-08-29,10
"307",2020-08-28,8
"308",2020-08-27,10
"309",2020-08-26,18
"310",2020-08-25,7
"311",2020-08-24,10
"312",2020-08-23,2
"313",2020-08-22,6
"314",2020-08-21,2
"315",2020-08-20,7
"316",2020-08-19,9
"317",2020-08-18,14
"318",2020-08-17,4
"319",2020-08-16,3
"320",2020-08-15,11
"321",2020-08-14,4
"322",2020-08-13,3
"323",2020-08-12,12
"324",2020-08-11,10
"325",2020-08-10,14
"326",2020-08-09,5
"327",2020-08-08,14
"328",2020-08-07,8
"329",2020-08-06,8
"330",2020-08-05,9
"331",2020-08-04,13
"332",2020-08-03,12
"333",2020-08-02,10
"334",2020-08-01,6
"335",2020-07-31,12
"336",2020-07-30,10
"337",2020-07-29,13
"338",2020-07-28,12
"339",2020-07-27,15
"340",2020-07-26,2
"341",2020-07-25,13
"342",2020-07-24,12
"343",2020-07-23,25
"344",2020-07-22,32
"345",2020-07-21,18
"346",2020-07-20,29
"347",2020-07-19,4
"348",2020-07-18,3
"349",2020-07-17,5
"350",2020-07-16,20
"351",2020-07-15,10
"352",2020-07-14,33
"353",2020-07-13,22
"354",2020-07-12,6
"355",2020-07-11,11
"356",2020-07-10,18
"357",2020-07-09,7
"358",2020-07-08,8
"359",2020-07-07,11
"360",2020-07-06,4
"361",2020-07-05,8
"362",2020-07-04,7
"363",2020-07-03,15
"364",2020-07-02,5
