"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,1
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,0
"10",2021-06-21,2
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,1
"14",2021-06-17,1
"15",2021-06-16,1
"16",2021-06-15,1
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,0
"20",2021-06-11,0
"21",2021-06-10,0
"22",2021-06-09,0
"23",2021-06-08,4
"24",2021-06-07,2
"25",2021-06-06,0
"26",2021-06-05,4
"27",2021-06-04,9
"28",2021-06-03,1
"29",2021-06-02,2
"30",2021-06-01,1
"31",2021-05-31,1
"32",2021-05-30,2
"33",2021-05-29,0
"34",2021-05-28,6
"35",2021-05-27,4
"36",2021-05-26,2
"37",2021-05-25,6
"38",2021-05-24,5
"39",2021-05-23,3
"40",2021-05-22,5
"41",2021-05-21,12
"42",2021-05-20,7
"43",2021-05-19,15
"44",2021-05-18,6
"45",2021-05-17,7
"46",2021-05-16,11
"47",2021-05-15,7
"48",2021-05-14,16
"49",2021-05-13,19
"50",2021-05-12,5
"51",2021-05-11,7
"52",2021-05-10,7
"53",2021-05-09,7
"54",2021-05-08,6
"55",2021-05-07,13
"56",2021-05-06,10
"57",2021-05-05,7
"58",2021-05-04,7
"59",2021-05-03,7
"60",2021-05-02,13
"61",2021-05-01,10
"62",2021-04-30,17
"63",2021-04-29,9
"64",2021-04-28,8
"65",2021-04-27,10
"66",2021-04-26,7
"67",2021-04-25,6
"68",2021-04-24,2
"69",2021-04-23,9
"70",2021-04-22,11
"71",2021-04-21,16
"72",2021-04-20,7
"73",2021-04-19,4
"74",2021-04-18,8
"75",2021-04-17,7
"76",2021-04-16,17
"77",2021-04-15,7
"78",2021-04-14,13
"79",2021-04-13,8
"80",2021-04-12,4
"81",2021-04-11,3
"82",2021-04-10,8
"83",2021-04-09,11
"84",2021-04-08,10
"85",2021-04-07,13
"86",2021-04-06,8
"87",2021-04-05,5
"88",2021-04-04,4
"89",2021-04-03,7
"90",2021-04-02,12
"91",2021-04-01,7
"92",2021-03-31,12
"93",2021-03-30,11
"94",2021-03-29,4
"95",2021-03-28,3
"96",2021-03-27,8
"97",2021-03-26,3
"98",2021-03-25,5
"99",2021-03-24,6
"100",2021-03-23,1
"101",2021-03-22,4
"102",2021-03-21,3
"103",2021-03-20,5
"104",2021-03-19,5
"105",2021-03-18,1
"106",2021-03-17,5
"107",2021-03-16,3
"108",2021-03-15,3
"109",2021-03-14,2
"110",2021-03-13,1
"111",2021-03-12,6
"112",2021-03-11,6
"113",2021-03-10,5
"114",2021-03-09,3
"115",2021-03-08,0
"116",2021-03-07,6
"117",2021-03-06,6
"118",2021-03-05,5
"119",2021-03-04,6
"120",2021-03-03,5
"121",2021-03-02,2
"122",2021-03-01,2
"123",2021-02-28,4
"124",2021-02-27,8
"125",2021-02-26,14
"126",2021-02-25,9
"127",2021-02-24,13
"128",2021-02-23,6
"129",2021-02-22,6
"130",2021-02-21,5
"131",2021-02-20,7
"132",2021-02-19,9
"133",2021-02-18,10
"134",2021-02-17,17
"135",2021-02-16,28
"136",2021-02-15,8
"137",2021-02-14,5
"138",2021-02-13,8
"139",2021-02-12,13
"140",2021-02-11,13
"141",2021-02-10,11
"142",2021-02-09,12
"143",2021-02-08,8
"144",2021-02-07,7
"145",2021-02-06,18
"146",2021-02-05,13
"147",2021-02-04,23
"148",2021-02-03,18
"149",2021-02-02,17
"150",2021-02-01,8
"151",2021-01-31,8
"152",2021-01-30,25
"153",2021-01-29,12
"154",2021-01-28,9
"155",2021-01-27,19
"156",2021-01-26,17
"157",2021-01-25,16
"158",2021-01-24,21
"159",2021-01-23,17
"160",2021-01-22,29
"161",2021-01-21,19
"162",2021-01-20,19
"163",2021-01-19,9
"164",2021-01-18,19
"165",2021-01-17,19
"166",2021-01-16,15
"167",2021-01-15,27
"168",2021-01-14,29
"169",2021-01-13,19
"170",2021-01-12,12
"171",2021-01-11,31
"172",2021-01-10,72
"173",2021-01-09,28
"174",2021-01-08,29
"175",2021-01-07,51
"176",2021-01-06,33
"177",2021-01-05,21
"178",2021-01-04,14
"179",2021-01-03,20
"180",2021-01-02,33
"181",2021-01-01,18
"182",2020-12-31,45
"183",2020-12-30,49
"184",2020-12-29,20
"185",2020-12-28,14
"186",2020-12-27,17
"187",2020-12-26,12
"188",2020-12-25,26
"189",2020-12-24,31
"190",2020-12-23,35
"191",2020-12-22,20
"192",2020-12-21,31
"193",2020-12-20,17
"194",2020-12-19,22
"195",2020-12-18,35
"196",2020-12-17,34
"197",2020-12-16,17
"198",2020-12-15,24
"199",2020-12-14,24
"200",2020-12-13,8
"201",2020-12-12,18
"202",2020-12-11,27
"203",2020-12-10,44
"204",2020-12-09,20
"205",2020-12-08,44
"206",2020-12-07,3
"207",2020-12-06,15
"208",2020-12-05,42
"209",2020-12-04,55
"210",2020-12-03,32
"211",2020-12-02,26
"212",2020-12-01,11
"213",2020-11-30,16
"214",2020-11-29,23
"215",2020-11-28,22
"216",2020-11-27,14
"217",2020-11-26,53
"218",2020-11-25,23
"219",2020-11-24,38
"220",2020-11-23,13
"221",2020-11-22,10
"222",2020-11-21,39
"223",2020-11-20,49
"224",2020-11-19,49
"225",2020-11-18,17
"226",2020-11-17,25
"227",2020-11-16,17
"228",2020-11-15,6
"229",2020-11-14,16
"230",2020-11-13,39
"231",2020-11-12,46
"232",2020-11-11,40
"233",2020-11-10,19
"234",2020-11-09,13
"235",2020-11-08,2
"236",2020-11-07,14
"237",2020-11-06,41
"238",2020-11-05,25
"239",2020-11-04,10
"240",2020-11-03,5
"241",2020-11-02,10
"242",2020-11-01,16
"243",2020-10-31,7
"244",2020-10-30,5
"245",2020-10-29,22
"246",2020-10-28,6
"247",2020-10-27,19
"248",2020-10-26,2
"249",2020-10-25,16
"250",2020-10-24,2
"251",2020-10-23,5
"252",2020-10-22,21
"253",2020-10-21,19
"254",2020-10-20,4
"255",2020-10-19,8
"256",2020-10-18,7
"257",2020-10-17,5
"258",2020-10-16,12
"259",2020-10-15,12
"260",2020-10-14,15
"261",2020-10-13,5
"262",2020-10-12,5
"263",2020-10-11,1
"264",2020-10-10,6
"265",2020-10-09,3
"266",2020-10-08,10
"267",2020-10-07,1
"268",2020-10-06,2
"269",2020-10-05,3
"270",2020-10-04,1
"271",2020-10-03,0
"272",2020-10-02,2
"273",2020-10-01,3
"274",2020-09-30,5
"275",2020-09-29,6
"276",2020-09-28,2
"277",2020-09-27,0
"278",2020-09-26,0
"279",2020-09-25,3
"280",2020-09-24,2
"281",2020-09-23,2
"282",2020-09-22,0
"283",2020-09-21,0
"284",2020-09-20,1
"285",2020-09-19,2
"286",2020-09-18,1
"287",2020-09-17,1
"288",2020-09-16,0
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,0
"293",2020-09-11,1
"294",2020-09-10,0
"295",2020-09-09,1
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,0
"299",2020-09-05,0
"300",2020-09-04,2
"301",2020-09-03,0
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,0
"305",2020-08-30,0
"306",2020-08-29,1
"307",2020-08-28,1
"308",2020-08-27,0
"309",2020-08-26,1
"310",2020-08-25,0
"311",2020-08-24,1
"312",2020-08-23,0
"313",2020-08-22,1
"314",2020-08-21,0
"315",2020-08-20,3
"316",2020-08-19,1
"317",2020-08-18,0
"318",2020-08-17,0
"319",2020-08-16,0
"320",2020-08-15,0
"321",2020-08-14,0
"322",2020-08-13,0
"323",2020-08-12,0
"324",2020-08-11,0
"325",2020-08-10,0
"326",2020-08-09,1
"327",2020-08-08,0
"328",2020-08-07,0
"329",2020-08-06,1
"330",2020-08-05,2
"331",2020-08-04,1
"332",2020-08-03,0
"333",2020-08-02,1
"334",2020-08-01,0
"335",2020-07-31,0
"336",2020-07-30,0
"337",2020-07-29,0
"338",2020-07-28,0
"339",2020-07-27,0
"340",2020-07-26,0
"341",2020-07-25,0
"342",2020-07-24,0
"343",2020-07-23,2
"344",2020-07-22,0
"345",2020-07-21,0
"346",2020-07-20,1
"347",2020-07-19,0
"348",2020-07-18,0
"349",2020-07-17,0
"350",2020-07-16,1
"351",2020-07-15,1
"352",2020-07-14,1
"353",2020-07-13,2
"354",2020-07-12,0
