"","date","new_cases"
"1",2021-06-30,28
"2",2021-06-29,36
"3",2021-06-28,23
"4",2021-06-27,19
"5",2021-06-26,21
"6",2021-06-25,36
"7",2021-06-24,23
"8",2021-06-23,22
"9",2021-06-22,30
"10",2021-06-21,24
"11",2021-06-20,17
"12",2021-06-19,26
"13",2021-06-18,40
"14",2021-06-17,41
"15",2021-06-16,44
"16",2021-06-15,32
"17",2021-06-14,35
"18",2021-06-13,38
"19",2021-06-12,35
"20",2021-06-11,56
"21",2021-06-10,49
"22",2021-06-09,96
"23",2021-06-08,44
"24",2021-06-07,55
"25",2021-06-06,52
"26",2021-06-05,56
"27",2021-06-04,68
"28",2021-06-03,65
"29",2021-06-02,55
"30",2021-06-01,26
"31",2021-05-31,44
"32",2021-05-30,36
"33",2021-05-29,58
"34",2021-05-28,54
"35",2021-05-27,89
"36",2021-05-26,67
"37",2021-05-25,54
"38",2021-05-24,39
"39",2021-05-23,65
"40",2021-05-22,69
"41",2021-05-21,95
"42",2021-05-20,82
"43",2021-05-19,130
"44",2021-05-18,69
"45",2021-05-17,72
"46",2021-05-16,72
"47",2021-05-15,111
"48",2021-05-14,108
"49",2021-05-13,139
"50",2021-05-12,151
"51",2021-05-11,132
"52",2021-05-10,73
"53",2021-05-09,118
"54",2021-05-08,145
"55",2021-05-07,234
"56",2021-05-06,152
"57",2021-05-05,153
"58",2021-05-04,262
"59",2021-05-03,139
"60",2021-05-02,140
"61",2021-05-01,212
"62",2021-04-30,247
"63",2021-04-29,280
"64",2021-04-28,304
"65",2021-04-27,184
"66",2021-04-26,188
"67",2021-04-25,194
"68",2021-04-24,302
"69",2021-04-23,319
"70",2021-04-22,336
"71",2021-04-21,434
"72",2021-04-20,272
"73",2021-04-19,290
"74",2021-04-18,320
"75",2021-04-17,452
"76",2021-04-16,666
"77",2021-04-15,549
"78",2021-04-14,420
"79",2021-04-13,377
"80",2021-04-12,342
"81",2021-04-11,345
"82",2021-04-10,501
"83",2021-04-09,579
"84",2021-04-08,712
"85",2021-04-07,580
"86",2021-04-06,551
"87",2021-04-05,439
"88",2021-04-04,488
"89",2021-04-03,650
"90",2021-04-02,620
"91",2021-04-01,652
"92",2021-03-31,815
"93",2021-03-30,730
"94",2021-03-29,565
"95",2021-03-28,837
"96",2021-03-27,883
"97",2021-03-26,722
"98",2021-03-25,708
"99",2021-03-24,655
"100",2021-03-23,552
"101",2021-03-22,529
"102",2021-03-21,631
"103",2021-03-20,713
"104",2021-03-19,643
"105",2021-03-18,745
"106",2021-03-17,701
"107",2021-03-16,975
"108",2021-03-15,556
"109",2021-03-14,451
"110",2021-03-13,437
"111",2021-03-12,582
"112",2021-03-11,910
"113",2021-03-10,611
"114",2021-03-09,561
"115",2021-03-08,728
"116",2021-03-07,456
"117",2021-03-06,618
"118",2021-03-05,778
"119",2021-03-04,930
"120",2021-03-03,731
"121",2021-03-02,754
"122",2021-03-01,600
"123",2021-02-28,670
"124",2021-02-27,824
"125",2021-02-26,842
"126",2021-02-25,935
"127",2021-02-24,935
"128",2021-02-23,469
"129",2021-02-22,692
"130",2021-02-21,648
"131",2021-02-20,650
"132",2021-02-19,798
"133",2021-02-18,1074
"134",2021-02-17,668
"135",2021-02-16,573
"136",2021-02-15,694
"137",2021-02-14,723
"138",2021-02-13,798
"139",2021-02-12,1002
"140",2021-02-11,918
"141",2021-02-10,1232
"142",2021-02-09,728
"143",2021-02-08,939
"144",2021-02-07,1014
"145",2021-02-06,1223
"146",2021-02-05,1024
"147",2021-02-04,743
"148",2021-02-03,503
"149",2021-02-02,473
"150",2021-02-01,799
"151",2021-01-31,878
"152",2021-01-30,1051
"153",2021-01-29,1143
"154",2021-01-28,1156
"155",2021-01-27,1231
"156",2021-01-26,885
"157",2021-01-25,966
"158",2021-01-24,1180
"159",2021-01-23,1229
"160",2021-01-22,1227
"161",2021-01-21,1256
"162",2021-01-20,1087
"163",2021-01-19,789
"164",2021-01-18,1057
"165",2021-01-17,1055
"166",2021-01-16,1085
"167",2021-01-15,1227
"168",2021-01-14,1434
"169",2021-01-13,1024
"170",2021-01-12,944
"171",2021-01-11,1094
"172",2021-01-10,997
"173",2021-01-09,906
"174",2021-01-08,1051
"175",2021-01-07,1185
