"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,3
"3",2021-06-28,0
"4",2021-06-27,2
"5",2021-06-26,2
"6",2021-06-25,1
"7",2021-06-24,4
"8",2021-06-23,2
"9",2021-06-22,3
"10",2021-06-21,1
"11",2021-06-20,1
"12",2021-06-19,3
"13",2021-06-18,3
"14",2021-06-17,4
"15",2021-06-16,1
"16",2021-06-15,2
"17",2021-06-14,4
"18",2021-06-13,3
"19",2021-06-12,4
"20",2021-06-11,5
"21",2021-06-10,4
"22",2021-06-09,3
"23",2021-06-08,0
"24",2021-06-07,1
"25",2021-06-06,4
"26",2021-06-05,2
"27",2021-06-04,10
"28",2021-06-03,17
"29",2021-06-02,9
"30",2021-06-01,3
"31",2021-05-31,4
"32",2021-05-30,2
"33",2021-05-29,6
"34",2021-05-28,3
"35",2021-05-27,14
"36",2021-05-26,17
"37",2021-05-25,9
"38",2021-05-24,7
"39",2021-05-23,10
"40",2021-05-22,19
"41",2021-05-21,7
"42",2021-05-20,27
"43",2021-05-19,23
"44",2021-05-18,18
"45",2021-05-17,7
"46",2021-05-16,14
"47",2021-05-15,23
"48",2021-05-14,16
"49",2021-05-13,28
"50",2021-05-12,25
"51",2021-05-11,17
"52",2021-05-10,15
"53",2021-05-09,26
"54",2021-05-08,39
"55",2021-05-07,51
"56",2021-05-06,22
"57",2021-05-05,24
"58",2021-05-04,24
"59",2021-05-03,37
"60",2021-05-02,23
"61",2021-05-01,22
"62",2021-04-30,29
"63",2021-04-29,36
"64",2021-04-28,45
"65",2021-04-27,44
"66",2021-04-26,34
"67",2021-04-25,29
"68",2021-04-24,38
"69",2021-04-23,60
"70",2021-04-22,50
"71",2021-04-21,51
"72",2021-04-20,57
"73",2021-04-19,47
"74",2021-04-18,38
"75",2021-04-17,57
"76",2021-04-16,67
"77",2021-04-15,54
"78",2021-04-14,64
"79",2021-04-13,46
"80",2021-04-12,31
"81",2021-04-11,44
"82",2021-04-10,47
"83",2021-04-09,50
"84",2021-04-08,47
"85",2021-04-07,29
"86",2021-04-06,39
"87",2021-04-05,36
"88",2021-04-04,23
"89",2021-04-03,37
"90",2021-04-02,51
"91",2021-04-01,45
"92",2021-03-31,74
"93",2021-03-30,46
"94",2021-03-29,38
"95",2021-03-28,52
"96",2021-03-27,47
"97",2021-03-26,52
"98",2021-03-25,46
"99",2021-03-24,41
"100",2021-03-23,43
"101",2021-03-22,38
"102",2021-03-21,43
"103",2021-03-20,46
"104",2021-03-19,58
"105",2021-03-18,39
"106",2021-03-17,49
"107",2021-03-16,55
"108",2021-03-15,30
"109",2021-03-14,20
"110",2021-03-13,39
"111",2021-03-12,59
"112",2021-03-11,59
"113",2021-03-10,56
"114",2021-03-09,84
"115",2021-03-08,39
"116",2021-03-07,36
"117",2021-03-06,77
"118",2021-03-05,108
"119",2021-03-04,107
"120",2021-03-03,141
"121",2021-03-02,115
"122",2021-03-01,43
"123",2021-02-28,28
"124",2021-02-27,107
"125",2021-02-26,98
"126",2021-02-25,116
"127",2021-02-24,109
"128",2021-02-23,96
"129",2021-02-22,51
"130",2021-02-21,37
"131",2021-02-20,83
"132",2021-02-19,94
"133",2021-02-18,84
"134",2021-02-17,98
"135",2021-02-16,66
"136",2021-02-15,46
"137",2021-02-14,53
"138",2021-02-13,56
