"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,1
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,0
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,1
"15",2021-06-16,2
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,1
"20",2021-06-11,1
"21",2021-06-10,0
"22",2021-06-09,1
"23",2021-06-08,1
"24",2021-06-07,0
"25",2021-06-06,0
"26",2021-06-05,1
"27",2021-06-04,3
"28",2021-06-03,3
"29",2021-06-02,2
"30",2021-06-01,5
"31",2021-05-31,0
"32",2021-05-30,0
"33",2021-05-29,8
"34",2021-05-28,8
"35",2021-05-27,2
"36",2021-05-26,6
"37",2021-05-25,6
"38",2021-05-24,1
"39",2021-05-23,3
"40",2021-05-22,0
"41",2021-05-21,3
"42",2021-05-20,12
"43",2021-05-19,10
"44",2021-05-18,18
"45",2021-05-17,5
"46",2021-05-16,8
"47",2021-05-15,12
"48",2021-05-14,26
"49",2021-05-13,15
"50",2021-05-12,20
"51",2021-05-11,13
"52",2021-05-10,10
"53",2021-05-09,7
"54",2021-05-08,13
"55",2021-05-07,31
"56",2021-05-06,5
"57",2021-05-05,16
"58",2021-05-04,11
"59",2021-05-03,11
"60",2021-05-02,11
"61",2021-05-01,12
"62",2021-04-30,25
"63",2021-04-29,35
"64",2021-04-28,25
"65",2021-04-27,21
"66",2021-04-26,12
"67",2021-04-25,11
"68",2021-04-24,10
"69",2021-04-23,16
"70",2021-04-22,13
"71",2021-04-21,18
"72",2021-04-20,19
"73",2021-04-19,14
"74",2021-04-18,11
"75",2021-04-17,21
"76",2021-04-16,37
"77",2021-04-15,13
"78",2021-04-14,30
"79",2021-04-13,31
"80",2021-04-12,22
"81",2021-04-11,13
"82",2021-04-10,17
"83",2021-04-09,19
"84",2021-04-08,21
"85",2021-04-07,22
"86",2021-04-06,20
"87",2021-04-05,6
"88",2021-04-04,20
"89",2021-04-03,16
"90",2021-04-02,16
"91",2021-04-01,18
"92",2021-03-31,14
"93",2021-03-30,21
"94",2021-03-29,31
"95",2021-03-28,15
"96",2021-03-27,12
"97",2021-03-26,22
"98",2021-03-25,13
"99",2021-03-24,16
"100",2021-03-23,14
"101",2021-03-22,15
"102",2021-03-21,5
"103",2021-03-20,10
"104",2021-03-19,13
"105",2021-03-18,3
"106",2021-03-17,16
"107",2021-03-16,18
"108",2021-03-15,14
"109",2021-03-14,13
"110",2021-03-13,10
"111",2021-03-12,4
"112",2021-03-11,20
"113",2021-03-10,10
"114",2021-03-09,11
"115",2021-03-08,7
"116",2021-03-07,1
"117",2021-03-06,10
"118",2021-03-05,15
"119",2021-03-04,16
"120",2021-03-03,10
"121",2021-03-02,15
"122",2021-03-01,13
"123",2021-02-28,9
"124",2021-02-27,24
"125",2021-02-26,24
"126",2021-02-25,12
"127",2021-02-24,27
"128",2021-02-23,12
"129",2021-02-22,22
"130",2021-02-21,9
"131",2021-02-20,12
"132",2021-02-19,19
"133",2021-02-18,22
"134",2021-02-17,25
"135",2021-02-16,18
"136",2021-02-15,16
"137",2021-02-14,8
"138",2021-02-13,28
"139",2021-02-12,27
"140",2021-02-11,31
"141",2021-02-10,29
"142",2021-02-09,34
"143",2021-02-08,8
"144",2021-02-07,19
"145",2021-02-06,28
"146",2021-02-05,29
"147",2021-02-04,47
"148",2021-02-03,38
"149",2021-02-02,20
"150",2021-02-01,14
"151",2021-01-31,12
"152",2021-01-30,39
"153",2021-01-29,18
"154",2021-01-28,27
"155",2021-01-27,36
"156",2021-01-26,35
"157",2021-01-25,19
"158",2021-01-24,16
"159",2021-01-23,26
"160",2021-01-22,53
"161",2021-01-21,66
"162",2021-01-20,35
"163",2021-01-19,27
"164",2021-01-18,27
"165",2021-01-17,29
"166",2021-01-16,36
"167",2021-01-15,55
"168",2021-01-14,54
"169",2021-01-13,43
"170",2021-01-12,45
"171",2021-01-11,39
"172",2021-01-10,32
"173",2021-01-09,57
"174",2021-01-08,58
"175",2021-01-07,89
"176",2021-01-06,41
"177",2021-01-05,58
"178",2021-01-04,38
"179",2021-01-03,32
"180",2021-01-02,37
"181",2021-01-01,45
"182",2020-12-31,87
"183",2020-12-30,61
"184",2020-12-29,65
"185",2020-12-28,35
"186",2020-12-27,48
"187",2020-12-26,15
"188",2020-12-25,46
"189",2020-12-24,61
"190",2020-12-23,34
"191",2020-12-22,25
"192",2020-12-21,53
"193",2020-12-20,18
"194",2020-12-19,26
"195",2020-12-18,35
"196",2020-12-17,71
"197",2020-12-16,37
"198",2020-12-15,51
"199",2020-12-14,34
"200",2020-12-13,21
"201",2020-12-12,40
"202",2020-12-11,38
"203",2020-12-10,90
"204",2020-12-09,80
"205",2020-12-08,44
"206",2020-12-07,31
"207",2020-12-06,27
"208",2020-12-05,38
"209",2020-12-04,83
"210",2020-12-03,39
"211",2020-12-02,53
"212",2020-12-01,35
"213",2020-11-30,29
"214",2020-11-29,21
"215",2020-11-28,39
"216",2020-11-27,17
"217",2020-11-26,61
"218",2020-11-25,41
"219",2020-11-24,37
"220",2020-11-23,18
"221",2020-11-22,24
"222",2020-11-21,35
"223",2020-11-20,33
"224",2020-11-19,29
"225",2020-11-18,41
"226",2020-11-17,44
"227",2020-11-16,12
"228",2020-11-15,5
"229",2020-11-14,3
"230",2020-11-13,14
"231",2020-11-12,19
"232",2020-11-11,15
"233",2020-11-10,9
"234",2020-11-09,7
"235",2020-11-08,6
"236",2020-11-07,6
"237",2020-11-06,8
"238",2020-11-05,9
"239",2020-11-04,14
"240",2020-11-03,6
"241",2020-11-02,12
"242",2020-11-01,1
"243",2020-10-31,13
"244",2020-10-30,9
"245",2020-10-29,10
"246",2020-10-28,15
"247",2020-10-27,32
"248",2020-10-26,8
"249",2020-10-25,1
"250",2020-10-24,6
"251",2020-10-23,8
"252",2020-10-22,5
"253",2020-10-21,8
"254",2020-10-20,17
"255",2020-10-19,11
"256",2020-10-18,3
"257",2020-10-17,4
"258",2020-10-16,6
"259",2020-10-15,10
"260",2020-10-14,16
"261",2020-10-13,3
"262",2020-10-12,2
"263",2020-10-11,4
"264",2020-10-10,3
"265",2020-10-09,12
"266",2020-10-08,16
"267",2020-10-07,11
"268",2020-10-06,5
"269",2020-10-05,4
"270",2020-10-04,4
"271",2020-10-03,1
"272",2020-10-02,12
"273",2020-10-01,11
"274",2020-09-30,3
"275",2020-09-29,5
"276",2020-09-28,11
"277",2020-09-27,0
"278",2020-09-26,1
"279",2020-09-25,1
"280",2020-09-24,0
"281",2020-09-23,0
"282",2020-09-22,3
"283",2020-09-21,0
"284",2020-09-20,1
"285",2020-09-19,1
"286",2020-09-18,4
"287",2020-09-17,1
"288",2020-09-16,3
"289",2020-09-15,3
"290",2020-09-14,0
"291",2020-09-13,1
"292",2020-09-12,2
"293",2020-09-11,0
"294",2020-09-10,3
"295",2020-09-09,2
"296",2020-09-08,1
"297",2020-09-07,3
"298",2020-09-06,1
"299",2020-09-05,2
"300",2020-09-04,4
"301",2020-09-03,1
"302",2020-09-02,6
"303",2020-09-01,10
"304",2020-08-31,1
"305",2020-08-30,4
"306",2020-08-29,4
"307",2020-08-28,0
"308",2020-08-27,9
"309",2020-08-26,3
"310",2020-08-25,1
"311",2020-08-24,2
"312",2020-08-23,2
"313",2020-08-22,2
"314",2020-08-21,4
"315",2020-08-20,0
"316",2020-08-19,1
"317",2020-08-18,1
"318",2020-08-17,1
"319",2020-08-16,0
"320",2020-08-15,1
"321",2020-08-14,1
"322",2020-08-13,0
"323",2020-08-12,1
"324",2020-08-11,0
"325",2020-08-10,2
"326",2020-08-09,1
"327",2020-08-08,0
"328",2020-08-07,1
"329",2020-08-06,0
"330",2020-08-05,0
"331",2020-08-04,0
"332",2020-08-03,2
"333",2020-08-02,3
"334",2020-08-01,1
"335",2020-07-31,0
"336",2020-07-30,1
"337",2020-07-29,0
"338",2020-07-28,4
"339",2020-07-27,0
"340",2020-07-26,2
"341",2020-07-25,1
"342",2020-07-24,0
"343",2020-07-23,2
"344",2020-07-22,1
"345",2020-07-21,0
"346",2020-07-20,2
"347",2020-07-19,0
"348",2020-07-18,0
"349",2020-07-17,0
"350",2020-07-16,3
"351",2020-07-15,1
"352",2020-07-14,2
"353",2020-07-13,1
"354",2020-07-12,0
"355",2020-07-11,0
"356",2020-07-10,4
"357",2020-07-09,3
"358",2020-07-08,1
"359",2020-07-07,2
"360",2020-07-06,0
"361",2020-07-05,1
"362",2020-07-04,0
"363",2020-07-03,3
"364",2020-07-02,0
