"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,3
"3",2021-06-28,2
"4",2021-06-27,1
"5",2021-06-26,2
"6",2021-06-25,2
"7",2021-06-24,1
"8",2021-06-23,1
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,0
"15",2021-06-16,1
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,1
"20",2021-06-11,0
"21",2021-06-10,3
"22",2021-06-09,1
"23",2021-06-08,1
"24",2021-06-07,2
"25",2021-06-06,1
"26",2021-06-05,2
"27",2021-06-04,4
"28",2021-06-03,3
"29",2021-06-02,3
"30",2021-06-01,3
"31",2021-05-31,0
"32",2021-05-30,2
"33",2021-05-29,4
"34",2021-05-28,8
"35",2021-05-27,6
"36",2021-05-26,4
"37",2021-05-25,7
"38",2021-05-24,1
"39",2021-05-23,6
"40",2021-05-22,7
"41",2021-05-21,3
"42",2021-05-20,10
"43",2021-05-19,9
"44",2021-05-18,11
"45",2021-05-17,4
"46",2021-05-16,10
"47",2021-05-15,7
"48",2021-05-14,17
"49",2021-05-13,20
"50",2021-05-12,17
"51",2021-05-11,5
"52",2021-05-10,10
"53",2021-05-09,7
"54",2021-05-08,11
"55",2021-05-07,15
"56",2021-05-06,14
"57",2021-05-05,5
"58",2021-05-04,8
"59",2021-05-03,13
"60",2021-05-02,10
"61",2021-05-01,13
"62",2021-04-30,15
"63",2021-04-29,20
"64",2021-04-28,13
"65",2021-04-27,20
"66",2021-04-26,6
"67",2021-04-25,13
"68",2021-04-24,5
"69",2021-04-23,7
"70",2021-04-22,16
"71",2021-04-21,19
"72",2021-04-20,14
"73",2021-04-19,8
"74",2021-04-18,22
"75",2021-04-17,8
"76",2021-04-16,23
"77",2021-04-15,15
"78",2021-04-14,15
"79",2021-04-13,16
"80",2021-04-12,16
"81",2021-04-11,9
"82",2021-04-10,14
"83",2021-04-09,10
"84",2021-04-08,27
"85",2021-04-07,20
"86",2021-04-06,17
"87",2021-04-05,2
"88",2021-04-04,30
"89",2021-04-03,2
"90",2021-04-02,12
"91",2021-04-01,12
"92",2021-03-31,8
"93",2021-03-30,5
"94",2021-03-29,11
"95",2021-03-28,7
"96",2021-03-27,15
"97",2021-03-26,9
"98",2021-03-25,11
"99",2021-03-24,12
"100",2021-03-23,7
"101",2021-03-22,5
"102",2021-03-21,5
"103",2021-03-20,9
"104",2021-03-19,7
"105",2021-03-18,8
"106",2021-03-17,7
"107",2021-03-16,4
"108",2021-03-15,7
"109",2021-03-14,10
"110",2021-03-13,5
"111",2021-03-12,8
"112",2021-03-11,8
"113",2021-03-10,6
"114",2021-03-09,5
"115",2021-03-08,3
"116",2021-03-07,3
"117",2021-03-06,10
"118",2021-03-05,7
"119",2021-03-04,15
"120",2021-03-03,8
"121",2021-03-02,12
"122",2021-03-01,7
"123",2021-02-28,12
"124",2021-02-27,14
"125",2021-02-26,8
"126",2021-02-25,12
"127",2021-02-24,21
"128",2021-02-23,9
"129",2021-02-22,7
"130",2021-02-21,7
"131",2021-02-20,47
"132",2021-02-19,14
"133",2021-02-18,21
"134",2021-02-17,18
"135",2021-02-16,7
"136",2021-02-15,6
"137",2021-02-14,10
"138",2021-02-13,22
