"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,1
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,2
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,1
"12",2021-06-19,0
"13",2021-06-18,1
"14",2021-06-17,1
"15",2021-06-16,4
"16",2021-06-15,1
"17",2021-06-14,0
"18",2021-06-13,1
"19",2021-06-12,1
"20",2021-06-11,1
"21",2021-06-10,3
"22",2021-06-09,5
"23",2021-06-08,2
"24",2021-06-07,2
"25",2021-06-06,5
"26",2021-06-05,0
"27",2021-06-04,7
"28",2021-06-03,3
"29",2021-06-02,2
"30",2021-06-01,1
"31",2021-05-31,0
"32",2021-05-30,1
"33",2021-05-29,7
"34",2021-05-28,7
"35",2021-05-27,3
"36",2021-05-26,3
"37",2021-05-25,9
"38",2021-05-24,15
"39",2021-05-23,8
"40",2021-05-22,4
"41",2021-05-21,12
"42",2021-05-20,10
"43",2021-05-19,5
"44",2021-05-18,12
"45",2021-05-17,2
"46",2021-05-16,6
"47",2021-05-15,7
"48",2021-05-14,19
"49",2021-05-13,12
"50",2021-05-12,9
"51",2021-05-11,18
"52",2021-05-10,6
"53",2021-05-09,7
"54",2021-05-08,22
"55",2021-05-07,11
"56",2021-05-06,8
"57",2021-05-05,13
"58",2021-05-04,12
"59",2021-05-03,14
"60",2021-05-02,15
"61",2021-05-01,6
"62",2021-04-30,16
"63",2021-04-29,30
"64",2021-04-28,27
"65",2021-04-27,17
"66",2021-04-26,9
"67",2021-04-25,5
"68",2021-04-24,16
"69",2021-04-23,11
"70",2021-04-22,15
"71",2021-04-21,30
"72",2021-04-20,18
"73",2021-04-19,13
"74",2021-04-18,9
"75",2021-04-17,41
"76",2021-04-16,50
"77",2021-04-15,24
"78",2021-04-14,48
"79",2021-04-13,29
"80",2021-04-12,22
"81",2021-04-11,27
"82",2021-04-10,29
"83",2021-04-09,26
"84",2021-04-08,24
"85",2021-04-07,22
"86",2021-04-06,18
"87",2021-04-05,9
"88",2021-04-04,50
"89",2021-04-03,12
"90",2021-04-02,18
"91",2021-04-01,20
"92",2021-03-31,23
"93",2021-03-30,25
"94",2021-03-29,35
"95",2021-03-28,13
"96",2021-03-27,20
"97",2021-03-26,17
"98",2021-03-25,25
"99",2021-03-24,36
"100",2021-03-23,14
"101",2021-03-22,22
"102",2021-03-21,10
"103",2021-03-20,29
"104",2021-03-19,21
"105",2021-03-18,25
"106",2021-03-17,37
"107",2021-03-16,16
"108",2021-03-15,20
"109",2021-03-14,24
"110",2021-03-13,11
"111",2021-03-12,10
"112",2021-03-11,23
"113",2021-03-10,8
"114",2021-03-09,10
"115",2021-03-08,21
"116",2021-03-07,12
"117",2021-03-06,18
"118",2021-03-05,23
"119",2021-03-04,23
"120",2021-03-03,18
"121",2021-03-02,20
"122",2021-03-01,5
"123",2021-02-28,15
"124",2021-02-27,33
"125",2021-02-26,20
"126",2021-02-25,11
"127",2021-02-24,44
"128",2021-02-23,12
"129",2021-02-22,4
"130",2021-02-21,12
"131",2021-02-20,33
"132",2021-02-19,12
"133",2021-02-18,18
"134",2021-02-17,35
"135",2021-02-16,16
"136",2021-02-15,13
"137",2021-02-14,14
"138",2021-02-13,40
"139",2021-02-12,31
"140",2021-02-11,33
"141",2021-02-10,31
"142",2021-02-09,49
"143",2021-02-08,14
"144",2021-02-07,27
"145",2021-02-06,37
"146",2021-02-05,46
"147",2021-02-04,69
"148",2021-02-03,71
"149",2021-02-02,36
"150",2021-02-01,46
"151",2021-01-31,33
"152",2021-01-30,90
"153",2021-01-29,50
"154",2021-01-28,62
"155",2021-01-27,99
"156",2021-01-26,84
"157",2021-01-25,43
"158",2021-01-24,40
"159",2021-01-23,66
"160",2021-01-22,103
"161",2021-01-21,102
"162",2021-01-20,82
"163",2021-01-19,59
"164",2021-01-18,60
"165",2021-01-17,81
"166",2021-01-16,110
"167",2021-01-15,129
"168",2021-01-14,130
"169",2021-01-13,87
"170",2021-01-12,78
"171",2021-01-11,119
"172",2021-01-10,99
"173",2021-01-09,147
"174",2021-01-08,134
"175",2021-01-07,240
"176",2021-01-06,61
"177",2021-01-05,109
"178",2021-01-04,102
"179",2021-01-03,130
"180",2021-01-02,64
"181",2021-01-01,96
"182",2020-12-31,107
"183",2020-12-30,114
"184",2020-12-29,67
"185",2020-12-28,76
"186",2020-12-27,86
"187",2020-12-26,13
"188",2020-12-25,62
"189",2020-12-24,113
"190",2020-12-23,70
"191",2020-12-22,47
"192",2020-12-21,47
"193",2020-12-20,53
"194",2020-12-19,50
"195",2020-12-18,96
"196",2020-12-17,128
"197",2020-12-16,38
"198",2020-12-15,35
"199",2020-12-14,58
"200",2020-12-13,42
"201",2020-12-12,52
"202",2020-12-11,51
"203",2020-12-10,121
"204",2020-12-09,72
"205",2020-12-08,67
"206",2020-12-07,43
"207",2020-12-06,24
"208",2020-12-05,52
"209",2020-12-04,64
"210",2020-12-03,85
"211",2020-12-02,61
"212",2020-12-01,22
"213",2020-11-30,29
"214",2020-11-29,18
"215",2020-11-28,23
"216",2020-11-27,23
"217",2020-11-26,36
"218",2020-11-25,31
"219",2020-11-24,35
"220",2020-11-23,11
"221",2020-11-22,11
"222",2020-11-21,30
"223",2020-11-20,11
"224",2020-11-19,35
"225",2020-11-18,12
"226",2020-11-17,39
"227",2020-11-16,17
"228",2020-11-15,9
"229",2020-11-14,5
"230",2020-11-13,24
"231",2020-11-12,23
"232",2020-11-11,26
"233",2020-11-10,25
"234",2020-11-09,18
"235",2020-11-08,4
"236",2020-11-07,11
"237",2020-11-06,9
"238",2020-11-05,13
"239",2020-11-04,30
"240",2020-11-03,11
"241",2020-11-02,17
"242",2020-11-01,6
"243",2020-10-31,23
"244",2020-10-30,18
"245",2020-10-29,21
"246",2020-10-28,31
"247",2020-10-27,19
"248",2020-10-26,18
"249",2020-10-25,3
"250",2020-10-24,7
"251",2020-10-23,9
"252",2020-10-22,10
"253",2020-10-21,13
"254",2020-10-20,40
"255",2020-10-19,6
"256",2020-10-18,3
"257",2020-10-17,7
"258",2020-10-16,18
"259",2020-10-15,13
"260",2020-10-14,10
"261",2020-10-13,16
"262",2020-10-12,37
"263",2020-10-11,4
"264",2020-10-10,9
"265",2020-10-09,14
"266",2020-10-08,12
"267",2020-10-07,15
"268",2020-10-06,5
"269",2020-10-05,4
"270",2020-10-04,3
"271",2020-10-03,18
"272",2020-10-02,7
"273",2020-10-01,2
"274",2020-09-30,12
"275",2020-09-29,5
"276",2020-09-28,7
"277",2020-09-27,5
"278",2020-09-26,5
"279",2020-09-25,7
"280",2020-09-24,7
"281",2020-09-23,3
"282",2020-09-22,4
"283",2020-09-21,6
"284",2020-09-20,4
"285",2020-09-19,1
"286",2020-09-18,1
"287",2020-09-17,2
"288",2020-09-16,6
"289",2020-09-15,4
"290",2020-09-14,7
"291",2020-09-13,1
"292",2020-09-12,8
"293",2020-09-11,11
"294",2020-09-10,4
"295",2020-09-09,14
"296",2020-09-08,1
"297",2020-09-07,1
"298",2020-09-06,1
"299",2020-09-05,4
"300",2020-09-04,7
"301",2020-09-03,12
"302",2020-09-02,24
"303",2020-09-01,23
"304",2020-08-31,11
"305",2020-08-30,12
"306",2020-08-29,9
"307",2020-08-28,18
"308",2020-08-27,15
"309",2020-08-26,30
"310",2020-08-25,5
"311",2020-08-24,16
"312",2020-08-23,0
"313",2020-08-22,2
"314",2020-08-21,9
"315",2020-08-20,3
"316",2020-08-19,3
"317",2020-08-18,1
"318",2020-08-17,6
"319",2020-08-16,2
"320",2020-08-15,0
"321",2020-08-14,3
"322",2020-08-13,0
"323",2020-08-12,2
"324",2020-08-11,0
"325",2020-08-10,1
"326",2020-08-09,4
"327",2020-08-08,0
"328",2020-08-07,4
"329",2020-08-06,5
"330",2020-08-05,3
"331",2020-08-04,0
"332",2020-08-03,7
"333",2020-08-02,2
"334",2020-08-01,1
"335",2020-07-31,3
"336",2020-07-30,4
"337",2020-07-29,1
"338",2020-07-28,4
"339",2020-07-27,1
"340",2020-07-26,0
"341",2020-07-25,2
"342",2020-07-24,4
"343",2020-07-23,0
"344",2020-07-22,2
"345",2020-07-21,4
"346",2020-07-20,12
"347",2020-07-19,0
"348",2020-07-18,0
"349",2020-07-17,2
"350",2020-07-16,1
"351",2020-07-15,5
"352",2020-07-14,6
"353",2020-07-13,9
"354",2020-07-12,1
"355",2020-07-11,0
"356",2020-07-10,15
"357",2020-07-09,3
"358",2020-07-08,3
"359",2020-07-07,14
"360",2020-07-06,1
"361",2020-07-05,2
"362",2020-07-04,1
"363",2020-07-03,2
"364",2020-07-02,2
