"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,1
"3",2021-06-28,2
"4",2021-06-27,0
"5",2021-06-26,0
"6",2021-06-25,1
"7",2021-06-24,0
"8",2021-06-23,3
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,2
"12",2021-06-19,0
"13",2021-06-18,2
"14",2021-06-17,3
"15",2021-06-16,5
"16",2021-06-15,3
"17",2021-06-14,2
"18",2021-06-13,1
"19",2021-06-12,1
"20",2021-06-11,3
"21",2021-06-10,1
"22",2021-06-09,3
"23",2021-06-08,1
"24",2021-06-07,4
"25",2021-06-06,5
"26",2021-06-05,4
"27",2021-06-04,8
"28",2021-06-03,4
"29",2021-06-02,0
"30",2021-06-01,2
"31",2021-05-31,4
"32",2021-05-30,11
"33",2021-05-29,10
"34",2021-05-28,10
"35",2021-05-27,17
"36",2021-05-26,18
"37",2021-05-25,11
"38",2021-05-24,4
"39",2021-05-23,4
"40",2021-05-22,8
"41",2021-05-21,14
"42",2021-05-20,11
"43",2021-05-19,13
"44",2021-05-18,9
"45",2021-05-17,8
"46",2021-05-16,10
"47",2021-05-15,6
"48",2021-05-14,21
"49",2021-05-13,17
"50",2021-05-12,21
"51",2021-05-11,9
"52",2021-05-10,10
"53",2021-05-09,9
"54",2021-05-08,15
"55",2021-05-07,17
"56",2021-05-06,12
"57",2021-05-05,7
"58",2021-05-04,8
"59",2021-05-03,12
"60",2021-05-02,11
"61",2021-05-01,24
"62",2021-04-30,19
"63",2021-04-29,10
"64",2021-04-28,20
"65",2021-04-27,5
"66",2021-04-26,11
"67",2021-04-25,17
"68",2021-04-24,13
"69",2021-04-23,21
"70",2021-04-22,18
"71",2021-04-21,18
"72",2021-04-20,11
"73",2021-04-19,15
"74",2021-04-18,21
"75",2021-04-17,20
"76",2021-04-16,44
"77",2021-04-15,17
"78",2021-04-14,13
"79",2021-04-13,16
"80",2021-04-12,19
"81",2021-04-11,11
"82",2021-04-10,21
"83",2021-04-09,22
"84",2021-04-08,19
"85",2021-04-07,22
"86",2021-04-06,14
"87",2021-04-05,6
"88",2021-04-04,11
"89",2021-04-03,17
"90",2021-04-02,15
"91",2021-04-01,14
"92",2021-03-31,25
"93",2021-03-30,18
"94",2021-03-29,21
"95",2021-03-28,16
"96",2021-03-27,15
"97",2021-03-26,26
"98",2021-03-25,35
