"","date","new_cases"
"1",2021-06-30,2
"2",2021-06-29,1
"3",2021-06-28,1
"4",2021-06-27,1
"5",2021-06-26,0
"6",2021-06-25,1
"7",2021-06-24,1
"8",2021-06-23,2
"9",2021-06-22,2
"10",2021-06-21,1
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,1
"15",2021-06-16,2
"16",2021-06-15,2
"17",2021-06-14,1
"18",2021-06-13,0
"19",2021-06-12,3
"20",2021-06-11,0
"21",2021-06-10,1
"22",2021-06-09,2
"23",2021-06-08,3
"24",2021-06-07,1
"25",2021-06-06,5
"26",2021-06-05,5
"27",2021-06-04,2
"28",2021-06-03,1
"29",2021-06-02,2
"30",2021-06-01,2
"31",2021-05-31,2
"32",2021-05-30,1
"33",2021-05-29,2
"34",2021-05-28,4
"35",2021-05-27,0
"36",2021-05-26,4
"37",2021-05-25,2
"38",2021-05-24,1
"39",2021-05-23,0
"40",2021-05-22,4
"41",2021-05-21,5
"42",2021-05-20,9
"43",2021-05-19,5
"44",2021-05-18,12
"45",2021-05-17,8
"46",2021-05-16,3
"47",2021-05-15,7
"48",2021-05-14,5
"49",2021-05-13,5
"50",2021-05-12,4
"51",2021-05-11,12
"52",2021-05-10,7
"53",2021-05-09,3
"54",2021-05-08,10
"55",2021-05-07,3
"56",2021-05-06,11
"57",2021-05-05,11
"58",2021-05-04,9
"59",2021-05-03,13
"60",2021-05-02,11
"61",2021-05-01,10
"62",2021-04-30,20
"63",2021-04-29,12
"64",2021-04-28,18
"65",2021-04-27,9
"66",2021-04-26,10
"67",2021-04-25,6
"68",2021-04-24,11
"69",2021-04-23,19
"70",2021-04-22,27
"71",2021-04-21,18
"72",2021-04-20,13
"73",2021-04-19,21
"74",2021-04-18,13
"75",2021-04-17,14
"76",2021-04-16,19
"77",2021-04-15,10
"78",2021-04-14,17
"79",2021-04-13,13
"80",2021-04-12,11
"81",2021-04-11,20
"82",2021-04-10,14
"83",2021-04-09,17
"84",2021-04-08,22
"85",2021-04-07,22
"86",2021-04-06,12
"87",2021-04-05,7
"88",2021-04-04,14
"89",2021-04-03,13
"90",2021-04-02,14
"91",2021-04-01,17
"92",2021-03-31,17
"93",2021-03-30,21
"94",2021-03-29,13
"95",2021-03-28,13
"96",2021-03-27,21
"97",2021-03-26,27
"98",2021-03-25,23
"99",2021-03-24,14
"100",2021-03-23,15
"101",2021-03-22,12
"102",2021-03-21,8
"103",2021-03-20,12
"104",2021-03-19,14
"105",2021-03-18,16
"106",2021-03-17,11
"107",2021-03-16,13
"108",2021-03-15,15
"109",2021-03-14,7
"110",2021-03-13,9
"111",2021-03-12,13
"112",2021-03-11,10
"113",2021-03-10,4
"114",2021-03-09,17
"115",2021-03-08,5
"116",2021-03-07,3
"117",2021-03-06,15
"118",2021-03-05,13
"119",2021-03-04,13
"120",2021-03-03,9
"121",2021-03-02,9
"122",2021-03-01,4
"123",2021-02-28,5
"124",2021-02-27,7
"125",2021-02-26,17
"126",2021-02-25,13
"127",2021-02-24,7
"128",2021-02-23,5
"129",2021-02-22,2
"130",2021-02-21,7
"131",2021-02-20,17
"132",2021-02-19,15
"133",2021-02-18,6
"134",2021-02-17,9
"135",2021-02-16,1
"136",2021-02-15,1
"137",2021-02-14,8
"138",2021-02-13,12
"139",2021-02-12,9
"140",2021-02-11,13
"141",2021-02-10,19
"142",2021-02-09,10
"143",2021-02-08,7
"144",2021-02-07,12
"145",2021-02-06,23
"146",2021-02-05,19
"147",2021-02-04,20
"148",2021-02-03,29
"149",2021-02-02,13
"150",2021-02-01,14
"151",2021-01-31,9
"152",2021-01-30,32
"153",2021-01-29,29
"154",2021-01-28,48
"155",2021-01-27,24
"156",2021-01-26,18
"157",2021-01-25,16
"158",2021-01-24,17
"159",2021-01-23,38
"160",2021-01-22,38
"161",2021-01-21,29
"162",2021-01-20,26
"163",2021-01-19,37
"164",2021-01-18,8
"165",2021-01-17,46
"166",2021-01-16,24
"167",2021-01-15,26
"168",2021-01-14,42
"169",2021-01-13,31
"170",2021-01-12,23
"171",2021-01-11,29
"172",2021-01-10,27
"173",2021-01-09,31
"174",2021-01-08,41
"175",2021-01-07,37
"176",2021-01-06,36
"177",2021-01-05,20
"178",2021-01-04,11
"179",2021-01-03,30
"180",2021-01-02,21
"181",2021-01-01,25
"182",2020-12-31,36
"183",2020-12-30,35
"184",2020-12-29,19
"185",2020-12-28,31
"186",2020-12-27,21
"187",2020-12-26,6
"188",2020-12-25,28
"189",2020-12-24,38
"190",2020-12-23,16
"191",2020-12-22,24
"192",2020-12-21,8
"193",2020-12-20,16
"194",2020-12-19,10
"195",2020-12-18,17
"196",2020-12-17,17
"197",2020-12-16,11
"198",2020-12-15,25
"199",2020-12-14,12
"200",2020-12-13,12
"201",2020-12-12,33
"202",2020-12-11,20
"203",2020-12-10,34
"204",2020-12-09,14
"205",2020-12-08,13
"206",2020-12-07,15
"207",2020-12-06,15
"208",2020-12-05,14
"209",2020-12-04,28
"210",2020-12-03,17
"211",2020-12-02,13
"212",2020-12-01,3
"213",2020-11-30,6
"214",2020-11-29,4
"215",2020-11-28,10
"216",2020-11-27,6
"217",2020-11-26,18
"218",2020-11-25,3
"219",2020-11-24,19
"220",2020-11-23,5
"221",2020-11-22,15
"222",2020-11-21,12
"223",2020-11-20,9
"224",2020-11-19,11
"225",2020-11-18,13
"226",2020-11-17,6
"227",2020-11-16,6
"228",2020-11-15,5
"229",2020-11-14,6
"230",2020-11-13,6
"231",2020-11-12,9
"232",2020-11-11,3
"233",2020-11-10,5
"234",2020-11-09,4
"235",2020-11-08,8
"236",2020-11-07,5
"237",2020-11-06,6
"238",2020-11-05,6
"239",2020-11-04,11
"240",2020-11-03,2
"241",2020-11-02,2
"242",2020-11-01,3
"243",2020-10-31,6
"244",2020-10-30,6
"245",2020-10-29,5
"246",2020-10-28,11
"247",2020-10-27,9
"248",2020-10-26,2
"249",2020-10-25,5
"250",2020-10-24,16
"251",2020-10-23,7
"252",2020-10-22,11
"253",2020-10-21,10
"254",2020-10-20,6
"255",2020-10-19,1
"256",2020-10-18,17
"257",2020-10-17,9
"258",2020-10-16,10
"259",2020-10-15,3
"260",2020-10-14,1
"261",2020-10-13,10
"262",2020-10-12,3
"263",2020-10-11,2
"264",2020-10-10,4
"265",2020-10-09,3
"266",2020-10-08,1
"267",2020-10-07,2
"268",2020-10-06,2
"269",2020-10-05,1
"270",2020-10-04,1
"271",2020-10-03,2
"272",2020-10-02,2
"273",2020-10-01,4
"274",2020-09-30,0
"275",2020-09-29,2
"276",2020-09-28,0
"277",2020-09-27,2
"278",2020-09-26,0
"279",2020-09-25,1
"280",2020-09-24,0
"281",2020-09-23,0
"282",2020-09-22,0
"283",2020-09-21,0
"284",2020-09-20,0
"285",2020-09-19,0
"286",2020-09-18,0
"287",2020-09-17,3
"288",2020-09-16,0
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,0
"293",2020-09-11,1
"294",2020-09-10,2
"295",2020-09-09,2
"296",2020-09-08,1
"297",2020-09-07,4
"298",2020-09-06,0
"299",2020-09-05,2
"300",2020-09-04,2
"301",2020-09-03,1
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,1
"305",2020-08-30,1
"306",2020-08-29,2
"307",2020-08-28,1
"308",2020-08-27,0
"309",2020-08-26,1
"310",2020-08-25,0
"311",2020-08-24,0
"312",2020-08-23,0
"313",2020-08-22,0
"314",2020-08-21,1
"315",2020-08-20,3
"316",2020-08-19,1
"317",2020-08-18,0
"318",2020-08-17,0
"319",2020-08-16,0
"320",2020-08-15,0
"321",2020-08-14,0
"322",2020-08-13,0
"323",2020-08-12,0
"324",2020-08-11,0
"325",2020-08-10,2
"326",2020-08-09,0
"327",2020-08-08,1
"328",2020-08-07,0
"329",2020-08-06,3
"330",2020-08-05,0
"331",2020-08-04,0
"332",2020-08-03,1
"333",2020-08-02,0
"334",2020-08-01,2
"335",2020-07-31,2
"336",2020-07-30,1
"337",2020-07-29,1
"338",2020-07-28,2
"339",2020-07-27,0
"340",2020-07-26,0
"341",2020-07-25,0
"342",2020-07-24,7
"343",2020-07-23,2
"344",2020-07-22,3
"345",2020-07-21,3
"346",2020-07-20,4
"347",2020-07-19,2
"348",2020-07-18,0
"349",2020-07-17,1
"350",2020-07-16,3
"351",2020-07-15,3
"352",2020-07-14,4
"353",2020-07-13,2
"354",2020-07-12,3
"355",2020-07-11,0
"356",2020-07-10,0
"357",2020-07-09,3
"358",2020-07-08,4
"359",2020-07-07,2
"360",2020-07-06,1
"361",2020-07-05,6
"362",2020-07-04,1
"363",2020-07-03,1
"364",2020-07-02,0
