"","date","new_cases"
"1",2021-06-30,8
"2",2021-06-29,1
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,1
"6",2021-06-25,2
"7",2021-06-24,2
"8",2021-06-23,2
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,1
"13",2021-06-18,1
"14",2021-06-17,1
"15",2021-06-16,0
"16",2021-06-15,1
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,0
"20",2021-06-11,0
"21",2021-06-10,0
"22",2021-06-09,0
"23",2021-06-08,0
"24",2021-06-07,1
"25",2021-06-06,1
"26",2021-06-05,0
"27",2021-06-04,0
"28",2021-06-03,1
"29",2021-06-02,0
"30",2021-06-01,2
"31",2021-05-31,0
"32",2021-05-30,3
"33",2021-05-29,0
"34",2021-05-28,0
"35",2021-05-27,1
"36",2021-05-26,2
"37",2021-05-25,0
"38",2021-05-24,0
"39",2021-05-23,3
"40",2021-05-22,3
"41",2021-05-21,1
"42",2021-05-20,2
"43",2021-05-19,0
"44",2021-05-18,4
"45",2021-05-17,1
"46",2021-05-16,3
"47",2021-05-15,4
"48",2021-05-14,14
"49",2021-05-13,5
"50",2021-05-12,11
"51",2021-05-11,4
"52",2021-05-10,7
"53",2021-05-09,0
"54",2021-05-08,5
"55",2021-05-07,6
"56",2021-05-06,7
"57",2021-05-05,13
"58",2021-05-04,11
"59",2021-05-03,7
"60",2021-05-02,12
"61",2021-05-01,8
"62",2021-04-30,10
"63",2021-04-29,8
"64",2021-04-28,9
"65",2021-04-27,4
"66",2021-04-26,8
"67",2021-04-25,12
"68",2021-04-24,9
"69",2021-04-23,22
"70",2021-04-22,20
"71",2021-04-21,9
"72",2021-04-20,5
"73",2021-04-19,14
"74",2021-04-18,13
"75",2021-04-17,22
"76",2021-04-16,17
"77",2021-04-15,10
"78",2021-04-14,29
"79",2021-04-13,7
"80",2021-04-12,24
"81",2021-04-11,4
"82",2021-04-10,20
"83",2021-04-09,26
"84",2021-04-08,27
"85",2021-04-07,22
"86",2021-04-06,23
"87",2021-04-05,23
"88",2021-04-04,22
"89",2021-04-03,24
"90",2021-04-02,20
"91",2021-04-01,8
"92",2021-03-31,35
"93",2021-03-30,10
"94",2021-03-29,22
"95",2021-03-28,27
"96",2021-03-27,17
"97",2021-03-26,34
"98",2021-03-25,16
"99",2021-03-24,6
"100",2021-03-23,24
"101",2021-03-22,29
"102",2021-03-21,15
"103",2021-03-20,16
"104",2021-03-19,9
"105",2021-03-18,12
"106",2021-03-17,14
"107",2021-03-16,22
"108",2021-03-15,14
"109",2021-03-14,9
"110",2021-03-13,9
"111",2021-03-12,12
"112",2021-03-11,16
"113",2021-03-10,11
"114",2021-03-09,13
"115",2021-03-08,27
"116",2021-03-07,15
"117",2021-03-06,27
"118",2021-03-05,20
"119",2021-03-04,37
"120",2021-03-03,22
"121",2021-03-02,37
"122",2021-03-01,35
"123",2021-02-28,24
"124",2021-02-27,28
"125",2021-02-26,28
"126",2021-02-25,23
"127",2021-02-24,39
"128",2021-02-23,16
"129",2021-02-22,37
"130",2021-02-21,25
"131",2021-02-20,21
"132",2021-02-19,17
"133",2021-02-18,55
"134",2021-02-17,19
"135",2021-02-16,20
"136",2021-02-15,19
"137",2021-02-14,34
"138",2021-02-13,44
"139",2021-02-12,32
"140",2021-02-11,26
"141",2021-02-10,77
"142",2021-02-09,27
"143",2021-02-08,29
"144",2021-02-07,42
"145",2021-02-06,37
"146",2021-02-05,35
"147",2021-02-04,32
"148",2021-02-03,25
"149",2021-02-02,20
"150",2021-02-01,30
"151",2021-01-31,29
"152",2021-01-30,50
"153",2021-01-29,34
"154",2021-01-28,53
"155",2021-01-27,41
"156",2021-01-26,37
"157",2021-01-25,47
"158",2021-01-24,34
"159",2021-01-23,64
"160",2021-01-22,43
"161",2021-01-21,53
"162",2021-01-20,55
"163",2021-01-19,29
"164",2021-01-18,51
"165",2021-01-17,38
"166",2021-01-16,51
"167",2021-01-15,63
"168",2021-01-14,77
"169",2021-01-13,52
"170",2021-01-12,55
"171",2021-01-11,74
"172",2021-01-10,38
"173",2021-01-09,62
"174",2021-01-08,63
"175",2021-01-07,56
"176",2021-01-06,95
"177",2021-01-05,53
"178",2021-01-04,40
"179",2021-01-03,44
"180",2021-01-02,58
"181",2021-01-01,52
"182",2020-12-31,83
"183",2020-12-30,25
"184",2020-12-29,22
"185",2020-12-28,48
"186",2020-12-27,29
"187",2020-12-26,30
"188",2020-12-25,31
"189",2020-12-24,27
"190",2020-12-23,22
"191",2020-12-22,23
"192",2020-12-21,14
"193",2020-12-20,9
"194",2020-12-19,18
"195",2020-12-18,28
"196",2020-12-17,11
"197",2020-12-16,7
"198",2020-12-15,19
"199",2020-12-14,14
"200",2020-12-13,41
"201",2020-12-12,30
"202",2020-12-11,30
"203",2020-12-10,11
"204",2020-12-09,12
"205",2020-12-08,6
"206",2020-12-07,19
"207",2020-12-06,9
"208",2020-12-05,8
"209",2020-12-04,8
"210",2020-12-03,29
"211",2020-12-02,7
"212",2020-12-01,8
"213",2020-11-30,19
"214",2020-11-29,2
"215",2020-11-28,3
"216",2020-11-27,8
"217",2020-11-26,5
"218",2020-11-25,9
"219",2020-11-24,4
"220",2020-11-23,2
"221",2020-11-22,10
"222",2020-11-21,6
"223",2020-11-20,6
"224",2020-11-19,9
"225",2020-11-18,8
"226",2020-11-17,5
"227",2020-11-16,4
"228",2020-11-15,3
"229",2020-11-14,5
"230",2020-11-13,16
"231",2020-11-12,12
"232",2020-11-11,13
"233",2020-11-10,18
"234",2020-11-09,10
"235",2020-11-08,2
"236",2020-11-07,4
"237",2020-11-06,5
"238",2020-11-05,4
"239",2020-11-04,6
"240",2020-11-03,3
"241",2020-11-02,6
"242",2020-11-01,3
"243",2020-10-31,7
"244",2020-10-30,8
"245",2020-10-29,7
"246",2020-10-28,2
"247",2020-10-27,2
"248",2020-10-26,2
"249",2020-10-25,2
"250",2020-10-24,4
"251",2020-10-23,4
"252",2020-10-22,8
"253",2020-10-21,4
"254",2020-10-20,5
"255",2020-10-19,16
"256",2020-10-18,2
"257",2020-10-17,5
"258",2020-10-16,2
"259",2020-10-15,3
"260",2020-10-14,4
"261",2020-10-13,1
"262",2020-10-12,3
"263",2020-10-11,0
"264",2020-10-10,1
"265",2020-10-09,0
"266",2020-10-08,1
"267",2020-10-07,4
"268",2020-10-06,0
"269",2020-10-05,3
"270",2020-10-04,4
"271",2020-10-03,1
"272",2020-10-02,1
"273",2020-10-01,2
"274",2020-09-30,0
"275",2020-09-29,0
"276",2020-09-28,1
"277",2020-09-27,1
"278",2020-09-26,1
"279",2020-09-25,1
"280",2020-09-24,1
"281",2020-09-23,1
"282",2020-09-22,1
"283",2020-09-21,1
"284",2020-09-20,0
"285",2020-09-19,0
"286",2020-09-18,0
"287",2020-09-17,0
"288",2020-09-16,0
"289",2020-09-15,0
"290",2020-09-14,1
"291",2020-09-13,0
"292",2020-09-12,1
"293",2020-09-11,0
"294",2020-09-10,0
"295",2020-09-09,0
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,0
"299",2020-09-05,0
"300",2020-09-04,0
"301",2020-09-03,0
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,1
"305",2020-08-30,0
"306",2020-08-29,0
"307",2020-08-28,1
"308",2020-08-27,1
"309",2020-08-26,1
"310",2020-08-25,1
"311",2020-08-24,4
"312",2020-08-23,1
"313",2020-08-22,0
"314",2020-08-21,5
"315",2020-08-20,1
"316",2020-08-19,1
"317",2020-08-18,0
"318",2020-08-17,1
"319",2020-08-16,1
"320",2020-08-15,1
"321",2020-08-14,1
"322",2020-08-13,1
"323",2020-08-12,0
"324",2020-08-11,0
"325",2020-08-10,1
"326",2020-08-09,1
"327",2020-08-08,0
"328",2020-08-07,0
"329",2020-08-06,0
"330",2020-08-05,0
"331",2020-08-04,0
"332",2020-08-03,0
"333",2020-08-02,0
"334",2020-08-01,0
"335",2020-07-31,1
"336",2020-07-30,1
"337",2020-07-29,2
"338",2020-07-28,0
"339",2020-07-27,3
"340",2020-07-26,0
"341",2020-07-25,1
"342",2020-07-24,2
"343",2020-07-23,3
"344",2020-07-22,0
"345",2020-07-21,0
"346",2020-07-20,1
"347",2020-07-19,0
"348",2020-07-18,2
"349",2020-07-17,0
"350",2020-07-16,0
"351",2020-07-15,0
"352",2020-07-14,1
"353",2020-07-13,1
"354",2020-07-12,0
"355",2020-07-11,1
"356",2020-07-10,1
"357",2020-07-09,0
"358",2020-07-08,1
"359",2020-07-07,1
"360",2020-07-06,2
"361",2020-07-05,0
"362",2020-07-04,2
"363",2020-07-03,0
"364",2020-07-02,0
