"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,6
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,1
"6",2021-06-25,1
"7",2021-06-24,2
"8",2021-06-23,1
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,3
"14",2021-06-17,0
"15",2021-06-16,1
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,2
"20",2021-06-11,1
"21",2021-06-10,0
"22",2021-06-09,0
"23",2021-06-08,2
"24",2021-06-07,0
"25",2021-06-06,0
"26",2021-06-05,2
"27",2021-06-04,11
"28",2021-06-03,0
"29",2021-06-02,0
"30",2021-06-01,1
"31",2021-05-31,0
"32",2021-05-30,1
"33",2021-05-29,0
"34",2021-05-28,3
"35",2021-05-27,0
"36",2021-05-26,3
"37",2021-05-25,0
"38",2021-05-24,1
"39",2021-05-23,0
"40",2021-05-22,0
"41",2021-05-21,5
"42",2021-05-20,1
"43",2021-05-19,5
"44",2021-05-18,6
"45",2021-05-17,2
"46",2021-05-16,5
"47",2021-05-15,5
"48",2021-05-14,7
"49",2021-05-13,10
"50",2021-05-12,8
"51",2021-05-11,9
"52",2021-05-10,0
"53",2021-05-09,6
"54",2021-05-08,17
"55",2021-05-07,7
"56",2021-05-06,11
"57",2021-05-05,9
"58",2021-05-04,11
"59",2021-05-03,9
"60",2021-05-02,6
"61",2021-05-01,4
"62",2021-04-30,5
"63",2021-04-29,7
"64",2021-04-28,1
"65",2021-04-27,6
"66",2021-04-26,8
"67",2021-04-25,2
"68",2021-04-24,3
"69",2021-04-23,5
"70",2021-04-22,7
"71",2021-04-21,2
"72",2021-04-20,7
"73",2021-04-19,4
"74",2021-04-18,5
"75",2021-04-17,6
"76",2021-04-16,8
"77",2021-04-15,9
"78",2021-04-14,6
"79",2021-04-13,4
"80",2021-04-12,6
"81",2021-04-11,9
"82",2021-04-10,5
"83",2021-04-09,17
"84",2021-04-08,8
"85",2021-04-07,7
"86",2021-04-06,10
"87",2021-04-05,3
"88",2021-04-04,11
"89",2021-04-03,9
"90",2021-04-02,10
"91",2021-04-01,9
"92",2021-03-31,5
"93",2021-03-30,16
"94",2021-03-29,10
"95",2021-03-28,8
"96",2021-03-27,17
"97",2021-03-26,7
"98",2021-03-25,9
"99",2021-03-24,9
"100",2021-03-23,8
"101",2021-03-22,20
"102",2021-03-21,7
"103",2021-03-20,7
"104",2021-03-19,8
"105",2021-03-18,20
"106",2021-03-17,12
"107",2021-03-16,10
"108",2021-03-15,13
"109",2021-03-14,2
"110",2021-03-13,5
"111",2021-03-12,11
"112",2021-03-11,7
"113",2021-03-10,5
"114",2021-03-09,6
"115",2021-03-08,13
"116",2021-03-07,4
"117",2021-03-06,13
"118",2021-03-05,9
"119",2021-03-04,9
"120",2021-03-03,4
"121",2021-03-02,16
"122",2021-03-01,5
"123",2021-02-28,12
"124",2021-02-27,13
"125",2021-02-26,7
"126",2021-02-25,8
"127",2021-02-24,13
"128",2021-02-23,12
"129",2021-02-22,7
"130",2021-02-21,10
"131",2021-02-20,6
"132",2021-02-19,15
"133",2021-02-18,13
"134",2021-02-17,13
"135",2021-02-16,20
"136",2021-02-15,17
"137",2021-02-14,11
"138",2021-02-13,9
"139",2021-02-12,18
"140",2021-02-11,18
"141",2021-02-10,16
"142",2021-02-09,6
"143",2021-02-08,21
"144",2021-02-07,13
"145",2021-02-06,18
"146",2021-02-05,29
"147",2021-02-04,24
"148",2021-02-03,11
"149",2021-02-02,20
"150",2021-02-01,19
"151",2021-01-31,30
"152",2021-01-30,17
"153",2021-01-29,47
"154",2021-01-28,54
"155",2021-01-27,33
"156",2021-01-26,33
"157",2021-01-25,25
"158",2021-01-24,39
"159",2021-01-23,30
"160",2021-01-22,48
"161",2021-01-21,67
"162",2021-01-20,54
"163",2021-01-19,29
"164",2021-01-18,63
"165",2021-01-17,35
"166",2021-01-16,53
"167",2021-01-15,45
"168",2021-01-14,96
"169",2021-01-13,17
"170",2021-01-12,45
"171",2021-01-11,28
"172",2021-01-10,53
"173",2021-01-09,52
"174",2021-01-08,55
"175",2021-01-07,47
"176",2021-01-06,52
"177",2021-01-05,62
"178",2021-01-04,24
"179",2021-01-03,15
"180",2021-01-02,37
"181",2021-01-01,38
"182",2020-12-31,48
"183",2020-12-30,51
"184",2020-12-29,13
"185",2020-12-28,29
"186",2020-12-27,25
"187",2020-12-26,18
"188",2020-12-25,24
"189",2020-12-24,35
"190",2020-12-23,19
"191",2020-12-22,14
"192",2020-12-21,27
"193",2020-12-20,23
"194",2020-12-19,15
"195",2020-12-18,22
"196",2020-12-17,27
"197",2020-12-16,30
"198",2020-12-15,14
"199",2020-12-14,19
"200",2020-12-13,21
"201",2020-12-12,16
"202",2020-12-11,13
"203",2020-12-10,18
"204",2020-12-09,18
"205",2020-12-08,22
"206",2020-12-07,6
"207",2020-12-06,11
"208",2020-12-05,14
"209",2020-12-04,13
"210",2020-12-03,12
"211",2020-12-02,17
"212",2020-12-01,9
"213",2020-11-30,8
"214",2020-11-29,7
"215",2020-11-28,8
"216",2020-11-27,7
"217",2020-11-26,17
"218",2020-11-25,9
"219",2020-11-24,9
"220",2020-11-23,5
"221",2020-11-22,3
"222",2020-11-21,10
"223",2020-11-20,18
"224",2020-11-19,16
"225",2020-11-18,12
"226",2020-11-17,11
"227",2020-11-16,9
"228",2020-11-15,5
"229",2020-11-14,4
"230",2020-11-13,7
"231",2020-11-12,15
"232",2020-11-11,11
"233",2020-11-10,19
"234",2020-11-09,13
"235",2020-11-08,11
"236",2020-11-07,12
"237",2020-11-06,7
"238",2020-11-05,8
"239",2020-11-04,11
"240",2020-11-03,18
"241",2020-11-02,6
"242",2020-11-01,3
"243",2020-10-31,8
"244",2020-10-30,5
"245",2020-10-29,2
"246",2020-10-28,11
"247",2020-10-27,11
"248",2020-10-26,7
"249",2020-10-25,12
"250",2020-10-24,11
"251",2020-10-23,2
"252",2020-10-22,4
"253",2020-10-21,4
"254",2020-10-20,2
"255",2020-10-19,6
"256",2020-10-18,4
"257",2020-10-17,6
"258",2020-10-16,6
"259",2020-10-15,1
"260",2020-10-14,5
"261",2020-10-13,3
"262",2020-10-12,2
"263",2020-10-11,3
"264",2020-10-10,4
"265",2020-10-09,2
"266",2020-10-08,4
"267",2020-10-07,0
"268",2020-10-06,2
"269",2020-10-05,1
"270",2020-10-04,0
"271",2020-10-03,3
"272",2020-10-02,1
"273",2020-10-01,9
"274",2020-09-30,0
"275",2020-09-29,3
"276",2020-09-28,1
"277",2020-09-27,0
"278",2020-09-26,0
"279",2020-09-25,3
"280",2020-09-24,2
"281",2020-09-23,1
"282",2020-09-22,3
"283",2020-09-21,0
"284",2020-09-20,1
"285",2020-09-19,1
"286",2020-09-18,0
"287",2020-09-17,1
"288",2020-09-16,2
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,0
"293",2020-09-11,0
"294",2020-09-10,1
"295",2020-09-09,0
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,1
"299",2020-09-05,0
"300",2020-09-04,1
"301",2020-09-03,4
"302",2020-09-02,0
"303",2020-09-01,1
"304",2020-08-31,0
"305",2020-08-30,0
"306",2020-08-29,0
"307",2020-08-28,1
"308",2020-08-27,0
"309",2020-08-26,4
"310",2020-08-25,0
"311",2020-08-24,2
"312",2020-08-23,0
"313",2020-08-22,1
"314",2020-08-21,0
"315",2020-08-20,1
"316",2020-08-19,1
"317",2020-08-18,1
"318",2020-08-17,6
"319",2020-08-16,0
"320",2020-08-15,1
"321",2020-08-14,0
"322",2020-08-13,1
"323",2020-08-12,2
"324",2020-08-11,2
"325",2020-08-10,5
"326",2020-08-09,1
"327",2020-08-08,1
"328",2020-08-07,4
"329",2020-08-06,1
"330",2020-08-05,3
"331",2020-08-04,2
"332",2020-08-03,6
"333",2020-08-02,1
"334",2020-08-01,3
"335",2020-07-31,3
"336",2020-07-30,3
"337",2020-07-29,3
"338",2020-07-28,6
"339",2020-07-27,1
"340",2020-07-26,3
"341",2020-07-25,0
"342",2020-07-24,2
"343",2020-07-23,1
"344",2020-07-22,0
"345",2020-07-21,2
"346",2020-07-20,3
"347",2020-07-19,0
"348",2020-07-18,1
"349",2020-07-17,1
"350",2020-07-16,1
"351",2020-07-15,0
"352",2020-07-14,0
"353",2020-07-13,2
"354",2020-07-12,1
"355",2020-07-11,1
"356",2020-07-10,3
"357",2020-07-09,0
"358",2020-07-08,0
"359",2020-07-07,3
"360",2020-07-06,2
"361",2020-07-05,2
"362",2020-07-04,1
"363",2020-07-03,0
"364",2020-07-02,2
