"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,1
"5",2021-06-26,2
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,1
"10",2021-06-21,1
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,2
"14",2021-06-17,1
"15",2021-06-16,0
"16",2021-06-15,0
"17",2021-06-14,1
"18",2021-06-13,0
"19",2021-06-12,1
"20",2021-06-11,5
"21",2021-06-10,3
"22",2021-06-09,1
"23",2021-06-08,2
"24",2021-06-07,2
"25",2021-06-06,3
"26",2021-06-05,6
"27",2021-06-04,4
"28",2021-06-03,3
"29",2021-06-02,2
"30",2021-06-01,4
"31",2021-05-31,2
"32",2021-05-30,7
"33",2021-05-29,5
"34",2021-05-28,5
"35",2021-05-27,13
"36",2021-05-26,10
"37",2021-05-25,8
"38",2021-05-24,6
"39",2021-05-23,2
"40",2021-05-22,7
"41",2021-05-21,8
"42",2021-05-20,9
"43",2021-05-19,12
"44",2021-05-18,10
"45",2021-05-17,12
"46",2021-05-16,7
"47",2021-05-15,10
"48",2021-05-14,6
"49",2021-05-13,22
"50",2021-05-12,12
"51",2021-05-11,6
"52",2021-05-10,6
"53",2021-05-09,2
"54",2021-05-08,8
"55",2021-05-07,15
"56",2021-05-06,6
"57",2021-05-05,10
"58",2021-05-04,11
"59",2021-05-03,9
"60",2021-05-02,7
"61",2021-05-01,12
"62",2021-04-30,2
"63",2021-04-29,3
"64",2021-04-28,6
"65",2021-04-27,10
"66",2021-04-26,2
"67",2021-04-25,2
"68",2021-04-24,2
"69",2021-04-23,9
"70",2021-04-22,9
"71",2021-04-21,10
"72",2021-04-20,10
"73",2021-04-19,6
"74",2021-04-18,7
"75",2021-04-17,9
"76",2021-04-16,9
"77",2021-04-15,6
"78",2021-04-14,7
"79",2021-04-13,8
"80",2021-04-12,5
"81",2021-04-11,9
"82",2021-04-10,6
"83",2021-04-09,5
"84",2021-04-08,12
"85",2021-04-07,13
"86",2021-04-06,4
"87",2021-04-05,7
"88",2021-04-04,5
"89",2021-04-03,7
"90",2021-04-02,8
"91",2021-04-01,8
"92",2021-03-31,12
"93",2021-03-30,7
"94",2021-03-29,9
"95",2021-03-28,7
"96",2021-03-27,5
"97",2021-03-26,6
"98",2021-03-25,9
"99",2021-03-24,7
"100",2021-03-23,10
"101",2021-03-22,4
"102",2021-03-21,6
"103",2021-03-20,7
"104",2021-03-19,4
"105",2021-03-18,4
"106",2021-03-17,6
"107",2021-03-16,6
"108",2021-03-15,5
"109",2021-03-14,3
"110",2021-03-13,5
"111",2021-03-12,14
"112",2021-03-11,6
"113",2021-03-10,11
"114",2021-03-09,7
"115",2021-03-08,8
"116",2021-03-07,9
"117",2021-03-06,10
"118",2021-03-05,24
"119",2021-03-04,15
"120",2021-03-03,14
"121",2021-03-02,6
"122",2021-03-01,5
"123",2021-02-28,6
"124",2021-02-27,13
"125",2021-02-26,8
"126",2021-02-25,28
"127",2021-02-24,10
"128",2021-02-23,4
"129",2021-02-22,8
"130",2021-02-21,12
"131",2021-02-20,4
"132",2021-02-19,14
"133",2021-02-18,7
"134",2021-02-17,15
"135",2021-02-16,11
"136",2021-02-15,4
"137",2021-02-14,7
"138",2021-02-13,12
"139",2021-02-12,14
"140",2021-02-11,9
"141",2021-02-10,30
"142",2021-02-09,6
"143",2021-02-08,10
"144",2021-02-07,12
"145",2021-02-06,12
"146",2021-02-05,13
"147",2021-02-04,9
"148",2021-02-03,19
"149",2021-02-02,5
"150",2021-02-01,12
"151",2021-01-31,7
"152",2021-01-30,14
"153",2021-01-29,27
"154",2021-01-28,12
"155",2021-01-27,20
"156",2021-01-26,3
"157",2021-01-25,8
"158",2021-01-24,9
"159",2021-01-23,15
"160",2021-01-22,28
"161",2021-01-21,14
"162",2021-01-20,28
"163",2021-01-19,26
"164",2021-01-18,14
"165",2021-01-17,24
"166",2021-01-16,17
"167",2021-01-15,24
"168",2021-01-14,30
"169",2021-01-13,29
"170",2021-01-12,27
"171",2021-01-11,22
"172",2021-01-10,20
"173",2021-01-09,31
"174",2021-01-08,64
"175",2021-01-07,51
"176",2021-01-06,48
"177",2021-01-05,24
"178",2021-01-04,17
"179",2021-01-03,17
"180",2021-01-02,22
"181",2021-01-01,54
"182",2020-12-31,37
"183",2020-12-30,53
"184",2020-12-29,31
"185",2020-12-28,21
"186",2020-12-27,24
"187",2020-12-26,16
"188",2020-12-25,41
"189",2020-12-24,53
"190",2020-12-23,33
"191",2020-12-22,30
"192",2020-12-21,23
"193",2020-12-20,32
"194",2020-12-19,25
"195",2020-12-18,33
"196",2020-12-17,42
"197",2020-12-16,52
"198",2020-12-15,22
"199",2020-12-14,26
"200",2020-12-13,35
"201",2020-12-12,44
"202",2020-12-11,59
"203",2020-12-10,40
"204",2020-12-09,44
"205",2020-12-08,33
"206",2020-12-07,39
"207",2020-12-06,16
"208",2020-12-05,27
"209",2020-12-04,36
"210",2020-12-03,24
"211",2020-12-02,25
"212",2020-12-01,9
"213",2020-11-30,21
"214",2020-11-29,17
"215",2020-11-28,19
"216",2020-11-27,46
"217",2020-11-26,22
"218",2020-11-25,6
"219",2020-11-24,38
"220",2020-11-23,6
"221",2020-11-22,23
"222",2020-11-21,14
"223",2020-11-20,31
"224",2020-11-19,12
"225",2020-11-18,26
"226",2020-11-17,22
"227",2020-11-16,8
"228",2020-11-15,21
"229",2020-11-14,27
"230",2020-11-13,11
"231",2020-11-12,20
"232",2020-11-11,15
"233",2020-11-10,12
"234",2020-11-09,9
"235",2020-11-08,9
"236",2020-11-07,14
"237",2020-11-06,11
"238",2020-11-05,9
"239",2020-11-04,9
"240",2020-11-03,6
"241",2020-11-02,6
"242",2020-11-01,3
"243",2020-10-31,5
"244",2020-10-30,17
"245",2020-10-29,14
"246",2020-10-28,6
"247",2020-10-27,5
"248",2020-10-26,18
"249",2020-10-25,14
"250",2020-10-24,14
"251",2020-10-23,8
"252",2020-10-22,13
"253",2020-10-21,24
"254",2020-10-20,15
"255",2020-10-19,20
"256",2020-10-18,10
"257",2020-10-17,7
"258",2020-10-16,12
"259",2020-10-15,16
"260",2020-10-14,25
"261",2020-10-13,13
"262",2020-10-12,16
"263",2020-10-11,16
"264",2020-10-10,8
"265",2020-10-09,16
"266",2020-10-08,17
"267",2020-10-07,20
"268",2020-10-06,3
"269",2020-10-05,14
"270",2020-10-04,0
"271",2020-10-03,18
"272",2020-10-02,7
"273",2020-10-01,3
"274",2020-09-30,11
"275",2020-09-29,3
"276",2020-09-28,10
"277",2020-09-27,0
"278",2020-09-26,0
"279",2020-09-25,2
"280",2020-09-24,2
"281",2020-09-23,3
"282",2020-09-22,2
"283",2020-09-21,1
"284",2020-09-20,2
"285",2020-09-19,4
"286",2020-09-18,5
"287",2020-09-17,9
"288",2020-09-16,4
"289",2020-09-15,0
"290",2020-09-14,5
"291",2020-09-13,4
"292",2020-09-12,9
"293",2020-09-11,10
"294",2020-09-10,5
"295",2020-09-09,1
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,0
"299",2020-09-05,1
"300",2020-09-04,0
"301",2020-09-03,0
"302",2020-09-02,0
"303",2020-09-01,1
"304",2020-08-31,1
"305",2020-08-30,1
"306",2020-08-29,1
"307",2020-08-28,0
"308",2020-08-27,0
"309",2020-08-26,0
"310",2020-08-25,0
"311",2020-08-24,0
"312",2020-08-23,0
"313",2020-08-22,0
"314",2020-08-21,0
"315",2020-08-20,0
"316",2020-08-19,1
"317",2020-08-18,0
"318",2020-08-17,0
"319",2020-08-16,0
"320",2020-08-15,0
"321",2020-08-14,0
"322",2020-08-13,0
"323",2020-08-12,1
"324",2020-08-11,1
"325",2020-08-10,0
"326",2020-08-09,0
"327",2020-08-08,0
"328",2020-08-07,0
"329",2020-08-06,1
"330",2020-08-05,0
"331",2020-08-04,1
"332",2020-08-03,1
"333",2020-08-02,0
"334",2020-08-01,1
"335",2020-07-31,0
"336",2020-07-30,1
"337",2020-07-29,0
"338",2020-07-28,1
"339",2020-07-27,2
"340",2020-07-26,2
"341",2020-07-25,1
"342",2020-07-24,2
"343",2020-07-23,2
"344",2020-07-22,3
"345",2020-07-21,4
"346",2020-07-20,4
"347",2020-07-19,0
"348",2020-07-18,1
"349",2020-07-17,1
"350",2020-07-16,4
"351",2020-07-15,2
"352",2020-07-14,2
"353",2020-07-13,0
"354",2020-07-12,1
