"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,1
"3",2021-06-28,1
"4",2021-06-27,1
"5",2021-06-26,1
"6",2021-06-25,2
"7",2021-06-24,0
"8",2021-06-23,1
"9",2021-06-22,2
"10",2021-06-21,0
"11",2021-06-20,1
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,0
"15",2021-06-16,2
"16",2021-06-15,2
"17",2021-06-14,2
"18",2021-06-13,0
"19",2021-06-12,0
"20",2021-06-11,2
"21",2021-06-10,1
"22",2021-06-09,0
"23",2021-06-08,2
"24",2021-06-07,0
"25",2021-06-06,2
"26",2021-06-05,6
"27",2021-06-04,5
"28",2021-06-03,4
"29",2021-06-02,0
"30",2021-06-01,0
"31",2021-05-31,1
"32",2021-05-30,2
"33",2021-05-29,2
"34",2021-05-28,2
"35",2021-05-27,1
"36",2021-05-26,1
"37",2021-05-25,0
"38",2021-05-24,0
"39",2021-05-23,3
"40",2021-05-22,1
"41",2021-05-21,7
"42",2021-05-20,3
"43",2021-05-19,2
"44",2021-05-18,8
"45",2021-05-17,3
"46",2021-05-16,1
"47",2021-05-15,0
"48",2021-05-14,3
"49",2021-05-13,6
"50",2021-05-12,4
"51",2021-05-11,6
"52",2021-05-10,3
"53",2021-05-09,1
"54",2021-05-08,4
"55",2021-05-07,3
"56",2021-05-06,3
"57",2021-05-05,8
"58",2021-05-04,3
"59",2021-05-03,4
"60",2021-05-02,1
"61",2021-05-01,5
"62",2021-04-30,8
"63",2021-04-29,9
"64",2021-04-28,6
"65",2021-04-27,5
"66",2021-04-26,1
"67",2021-04-25,3
"68",2021-04-24,6
"69",2021-04-23,15
"70",2021-04-22,12
"71",2021-04-21,6
"72",2021-04-20,12
"73",2021-04-19,3
"74",2021-04-18,10
"75",2021-04-17,14
"76",2021-04-16,14
"77",2021-04-15,5
"78",2021-04-14,18
"79",2021-04-13,7
"80",2021-04-12,9
"81",2021-04-11,8
"82",2021-04-10,12
"83",2021-04-09,14
"84",2021-04-08,21
"85",2021-04-07,8
"86",2021-04-06,12
"87",2021-04-05,7
"88",2021-04-04,8
"89",2021-04-03,12
"90",2021-04-02,21
"91",2021-04-01,28
"92",2021-03-31,39
"93",2021-03-30,19
"94",2021-03-29,7
"95",2021-03-28,8
"96",2021-03-27,16
"97",2021-03-26,17
"98",2021-03-25,12
