"","date","new_cases"
"1",2021-06-30,2
"2",2021-06-29,4
"3",2021-06-28,1
"4",2021-06-27,3
"5",2021-06-26,3
"6",2021-06-25,1
"7",2021-06-24,6
"8",2021-06-23,1
"9",2021-06-22,2
"10",2021-06-21,3
"11",2021-06-20,3
"12",2021-06-19,2
"13",2021-06-18,5
"14",2021-06-17,3
"15",2021-06-16,0
"16",2021-06-15,3
"17",2021-06-14,2
"18",2021-06-13,2
"19",2021-06-12,1
"20",2021-06-11,7
"21",2021-06-10,0
"22",2021-06-09,3
"23",2021-06-08,5
"24",2021-06-07,4
"25",2021-06-06,5
"26",2021-06-05,9
"27",2021-06-04,12
"28",2021-06-03,9
"29",2021-06-02,11
"30",2021-06-01,8
"31",2021-05-31,2
"32",2021-05-30,7
"33",2021-05-29,5
"34",2021-05-28,9
"35",2021-05-27,12
"36",2021-05-26,13
"37",2021-05-25,8
"38",2021-05-24,9
"39",2021-05-23,9
"40",2021-05-22,19
"41",2021-05-21,12
"42",2021-05-20,14
"43",2021-05-19,26
"44",2021-05-18,18
"45",2021-05-17,17
"46",2021-05-16,20
"47",2021-05-15,19
"48",2021-05-14,38
"49",2021-05-13,30
"50",2021-05-12,22
"51",2021-05-11,21
"52",2021-05-10,26
"53",2021-05-09,29
"54",2021-05-08,34
"55",2021-05-07,38
"56",2021-05-06,45
"57",2021-05-05,42
"58",2021-05-04,34
"59",2021-05-03,35
"60",2021-05-02,37
"61",2021-05-01,46
"62",2021-04-30,58
"63",2021-04-29,53
"64",2021-04-28,54
"65",2021-04-27,53
"66",2021-04-26,39
"67",2021-04-25,49
"68",2021-04-24,59
"69",2021-04-23,66
"70",2021-04-22,54
"71",2021-04-21,66
"72",2021-04-20,55
"73",2021-04-19,65
"74",2021-04-18,45
"75",2021-04-17,80
"76",2021-04-16,89
"77",2021-04-15,93
"78",2021-04-14,104
"79",2021-04-13,106
"80",2021-04-12,61
"81",2021-04-11,78
"82",2021-04-10,113
"83",2021-04-09,116
"84",2021-04-08,110
"85",2021-04-07,133
"86",2021-04-06,123
"87",2021-04-05,96
"88",2021-04-04,107
"89",2021-04-03,123
"90",2021-04-02,121
"91",2021-04-01,99
"92",2021-03-31,186
"93",2021-03-30,151
"94",2021-03-29,86
"95",2021-03-28,136
"96",2021-03-27,141
"97",2021-03-26,130
"98",2021-03-25,118
"99",2021-03-24,150
"100",2021-03-23,155
"101",2021-03-22,115
"102",2021-03-21,118
"103",2021-03-20,173
"104",2021-03-19,162
