"","date","new_cases"
"1",2021-06-30,10
"2",2021-06-29,3
"3",2021-06-28,5
"4",2021-06-27,9
"5",2021-06-26,13
"6",2021-06-25,6
"7",2021-06-24,6
"8",2021-06-23,6
"9",2021-06-22,3
"10",2021-06-21,3
"11",2021-06-20,7
"12",2021-06-19,3
"13",2021-06-18,1
"14",2021-06-17,8
"15",2021-06-16,12
"16",2021-06-15,4
"17",2021-06-14,7
"18",2021-06-13,8
"19",2021-06-12,7
"20",2021-06-11,16
"21",2021-06-10,21
"22",2021-06-09,19
"23",2021-06-08,13
"24",2021-06-07,16
"25",2021-06-06,26
"26",2021-06-05,24
"27",2021-06-04,36
"28",2021-06-03,33
"29",2021-06-02,18
"30",2021-06-01,21
"31",2021-05-31,25
"32",2021-05-30,19
"33",2021-05-29,51
"34",2021-05-28,39
"35",2021-05-27,38
"36",2021-05-26,55
"37",2021-05-25,56
"38",2021-05-24,33
"39",2021-05-23,73
"40",2021-05-22,40
"41",2021-05-21,78
"42",2021-05-20,81
"43",2021-05-19,88
"44",2021-05-18,78
"45",2021-05-17,53
"46",2021-05-16,73
"47",2021-05-15,84
"48",2021-05-14,122
"49",2021-05-13,113
"50",2021-05-12,143
"51",2021-05-11,95
"52",2021-05-10,87
"53",2021-05-09,88
"54",2021-05-08,133
"55",2021-05-07,272
"56",2021-05-06,144
"57",2021-05-05,136
"58",2021-05-04,120
"59",2021-05-03,155
"60",2021-05-02,136
"61",2021-05-01,167
"62",2021-04-30,272
"63",2021-04-29,288
"64",2021-04-28,342
"65",2021-04-27,223
"66",2021-04-26,233
"67",2021-04-25,215
"68",2021-04-24,241
"69",2021-04-23,272
"70",2021-04-22,435
"71",2021-04-21,394
"72",2021-04-20,326
"73",2021-04-19,297
"74",2021-04-18,313
"75",2021-04-17,430
"76",2021-04-16,627
"77",2021-04-15,390
"78",2021-04-14,585
"79",2021-04-13,597
"80",2021-04-12,379
"81",2021-04-11,363
"82",2021-04-10,490
"83",2021-04-09,534
"84",2021-04-08,578
"85",2021-04-07,526
"86",2021-04-06,424
"87",2021-04-05,300
"88",2021-04-04,489
"89",2021-04-03,476
"90",2021-04-02,481
"91",2021-04-01,423
"92",2021-03-31,506
"93",2021-03-30,429
"94",2021-03-29,390
"95",2021-03-28,439
"96",2021-03-27,375
"97",2021-03-26,508
"98",2021-03-25,410
"99",2021-03-24,389
"100",2021-03-23,224
"101",2021-03-22,306
"102",2021-03-21,197
"103",2021-03-20,387
"104",2021-03-19,342
"105",2021-03-18,321
"106",2021-03-17,309
"107",2021-03-16,218
"108",2021-03-15,203
"109",2021-03-14,218
"110",2021-03-13,246
"111",2021-03-12,176
"112",2021-03-11,320
"113",2021-03-10,213
"114",2021-03-09,196
"115",2021-03-08,187
"116",2021-03-07,169
"117",2021-03-06,214
"118",2021-03-05,260
"119",2021-03-04,285
"120",2021-03-03,270
"121",2021-03-02,218
"122",2021-03-01,152
"123",2021-02-28,204
"124",2021-02-27,252
"125",2021-02-26,274
"126",2021-02-25,275
"127",2021-02-24,348
"128",2021-02-23,203
"129",2021-02-22,185
"130",2021-02-21,210
"131",2021-02-20,220
"132",2021-02-19,286
"133",2021-02-18,230
"134",2021-02-17,341
"135",2021-02-16,183
"136",2021-02-15,209
"137",2021-02-14,199
"138",2021-02-13,415
"139",2021-02-12,318
"140",2021-02-11,331
"141",2021-02-10,388
"142",2021-02-09,350
"143",2021-02-08,131
"144",2021-02-07,259
"145",2021-02-06,269
"146",2021-02-05,386
"147",2021-02-04,341
"148",2021-02-03,513
"149",2021-02-02,241
"150",2021-02-01,216
"151",2021-01-31,236
"152",2021-01-30,432
"153",2021-01-29,398
"154",2021-01-28,496
"155",2021-01-27,487
"156",2021-01-26,409
"157",2021-01-25,311
"158",2021-01-24,371
"159",2021-01-23,405
"160",2021-01-22,492
"161",2021-01-21,541
"162",2021-01-20,591
"163",2021-01-19,245
"164",2021-01-18,510
"165",2021-01-17,334
"166",2021-01-16,668
"167",2021-01-15,489
"168",2021-01-14,749
"169",2021-01-13,496
"170",2021-01-12,528
"171",2021-01-11,550
"172",2021-01-10,355
"173",2021-01-09,663
"174",2021-01-08,777
"175",2021-01-07,1032
"176",2021-01-06,461
"177",2021-01-05,800
"178",2021-01-04,374
"179",2021-01-03,509
"180",2021-01-02,468
"181",2021-01-01,477
"182",2020-12-31,736
"183",2020-12-30,667
"184",2020-12-29,329
"185",2020-12-28,382
"186",2020-12-27,388
"187",2020-12-26,303
"188",2020-12-25,331
"189",2020-12-24,656
"190",2020-12-23,441
"191",2020-12-22,541
"192",2020-12-21,426
"193",2020-12-20,388
"194",2020-12-19,447
"195",2020-12-18,446
"196",2020-12-17,750
"197",2020-12-16,576
"198",2020-12-15,388
"199",2020-12-14,396
"200",2020-12-13,388
"201",2020-12-12,520
"202",2020-12-11,474
"203",2020-12-10,733
"204",2020-12-09,563
"205",2020-12-08,646
"206",2020-12-07,353
"207",2020-12-06,383
"208",2020-12-05,656
"209",2020-12-04,778
"210",2020-12-03,793
"211",2020-12-02,592
"212",2020-12-01,476
"213",2020-11-30,615
"214",2020-11-29,485
"215",2020-11-28,502
"216",2020-11-27,507
"217",2020-11-26,862
"218",2020-11-25,513
"219",2020-11-24,685
"220",2020-11-23,301
"221",2020-11-22,497
"222",2020-11-21,521
"223",2020-11-20,451
"224",2020-11-19,630
"225",2020-11-18,490
"226",2020-11-17,573
"227",2020-11-16,392
"228",2020-11-15,272
"229",2020-11-14,277
"230",2020-11-13,448
"231",2020-11-12,481
"232",2020-11-11,512
"233",2020-11-10,422
"234",2020-11-09,390
"235",2020-11-08,228
