"","date","new_cases"
"1",2021-06-30,2
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,0
"6",2021-06-25,0
"7",2021-06-24,1
"8",2021-06-23,1
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,0
"15",2021-06-16,0
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,0
"20",2021-06-11,1
"21",2021-06-10,0
"22",2021-06-09,0
"23",2021-06-08,0
"24",2021-06-07,1
"25",2021-06-06,0
"26",2021-06-05,0
"27",2021-06-04,0
"28",2021-06-03,1
"29",2021-06-02,0
"30",2021-06-01,0
"31",2021-05-31,0
"32",2021-05-30,1
"33",2021-05-29,0
"34",2021-05-28,1
"35",2021-05-27,0
"36",2021-05-26,0
"37",2021-05-25,1
"38",2021-05-24,1
"39",2021-05-23,0
"40",2021-05-22,0
"41",2021-05-21,5
"42",2021-05-20,0
"43",2021-05-19,0
"44",2021-05-18,1
"45",2021-05-17,2
"46",2021-05-16,1
"47",2021-05-15,0
"48",2021-05-14,2
"49",2021-05-13,2
"50",2021-05-12,0
"51",2021-05-11,3
"52",2021-05-10,2
"53",2021-05-09,1
"54",2021-05-08,3
"55",2021-05-07,1
"56",2021-05-06,11
"57",2021-05-05,1
"58",2021-05-04,5
"59",2021-05-03,0
"60",2021-05-02,1
"61",2021-05-01,8
"62",2021-04-30,3
"63",2021-04-29,2
"64",2021-04-28,8
"65",2021-04-27,2
"66",2021-04-26,7
"67",2021-04-25,2
"68",2021-04-24,2
"69",2021-04-23,0
"70",2021-04-22,1
"71",2021-04-21,2
"72",2021-04-20,2
"73",2021-04-19,2
"74",2021-04-18,0
"75",2021-04-17,8
"76",2021-04-16,1
"77",2021-04-15,2
"78",2021-04-14,4
"79",2021-04-13,4
"80",2021-04-12,2
"81",2021-04-11,1
"82",2021-04-10,3
"83",2021-04-09,3
"84",2021-04-08,2
"85",2021-04-07,5
"86",2021-04-06,3
"87",2021-04-05,5
"88",2021-04-04,1
"89",2021-04-03,3
"90",2021-04-02,3
"91",2021-04-01,7
"92",2021-03-31,8
"93",2021-03-30,2
"94",2021-03-29,2
"95",2021-03-28,3
"96",2021-03-27,4
"97",2021-03-26,6
"98",2021-03-25,2
"99",2021-03-24,2
"100",2021-03-23,4
"101",2021-03-22,3
"102",2021-03-21,0
"103",2021-03-20,0
"104",2021-03-19,2
"105",2021-03-18,5
"106",2021-03-17,4
"107",2021-03-16,1
"108",2021-03-15,1
"109",2021-03-14,3
"110",2021-03-13,4
"111",2021-03-12,5
"112",2021-03-11,8
"113",2021-03-10,4
"114",2021-03-09,2
"115",2021-03-08,1
"116",2021-03-07,7
"117",2021-03-06,1
"118",2021-03-05,3
"119",2021-03-04,4
"120",2021-03-03,4
"121",2021-03-02,5
"122",2021-03-01,5
"123",2021-02-28,1
"124",2021-02-27,5
"125",2021-02-26,4
"126",2021-02-25,4
"127",2021-02-24,11
"128",2021-02-23,3
"129",2021-02-22,12
"130",2021-02-21,4
"131",2021-02-20,7
"132",2021-02-19,19
"133",2021-02-18,10
"134",2021-02-17,2
"135",2021-02-16,11
"136",2021-02-15,7
"137",2021-02-14,7
"138",2021-02-13,10
"139",2021-02-12,10
"140",2021-02-11,13
"141",2021-02-10,5
"142",2021-02-09,8
"143",2021-02-08,6
"144",2021-02-07,5
"145",2021-02-06,6
"146",2021-02-05,12
"147",2021-02-04,7
"148",2021-02-03,19
"149",2021-02-02,11
"150",2021-02-01,6
"151",2021-01-31,6
"152",2021-01-30,11
"153",2021-01-29,9
"154",2021-01-28,13
"155",2021-01-27,13
"156",2021-01-26,9
"157",2021-01-25,10
"158",2021-01-24,9
"159",2021-01-23,12
"160",2021-01-22,8
"161",2021-01-21,20
"162",2021-01-20,9
"163",2021-01-19,8
"164",2021-01-18,8
"165",2021-01-17,13
"166",2021-01-16,7
"167",2021-01-15,23
"168",2021-01-14,29
"169",2021-01-13,14
"170",2021-01-12,18
"171",2021-01-11,15
"172",2021-01-10,6
"173",2021-01-09,15
"174",2021-01-08,54
"175",2021-01-07,62
"176",2021-01-06,37
"177",2021-01-05,16
"178",2021-01-04,12
"179",2021-01-03,9
"180",2021-01-02,23
"181",2021-01-01,11
"182",2020-12-31,38
"183",2020-12-30,16
"184",2020-12-29,17
"185",2020-12-28,8
"186",2020-12-27,6
"187",2020-12-26,8
"188",2020-12-25,17
"189",2020-12-24,19
"190",2020-12-23,17
"191",2020-12-22,9
"192",2020-12-21,10
"193",2020-12-20,4
"194",2020-12-19,9
"195",2020-12-18,8
"196",2020-12-17,8
"197",2020-12-16,12
"198",2020-12-15,20
"199",2020-12-14,7
"200",2020-12-13,2
"201",2020-12-12,5
"202",2020-12-11,13
"203",2020-12-10,7
"204",2020-12-09,14
"205",2020-12-08,6
"206",2020-12-07,7
"207",2020-12-06,5
"208",2020-12-05,5
"209",2020-12-04,6
"210",2020-12-03,3
"211",2020-12-02,6
"212",2020-12-01,7
"213",2020-11-30,3
"214",2020-11-29,1
"215",2020-11-28,6
"216",2020-11-27,1
"217",2020-11-26,3
"218",2020-11-25,12
"219",2020-11-24,11
"220",2020-11-23,2
"221",2020-11-22,2
"222",2020-11-21,2
"223",2020-11-20,6
"224",2020-11-19,1
"225",2020-11-18,3
"226",2020-11-17,2
"227",2020-11-16,3
"228",2020-11-15,1
"229",2020-11-14,1
"230",2020-11-13,5
"231",2020-11-12,0
"232",2020-11-11,0
"233",2020-11-10,6
"234",2020-11-09,2
"235",2020-11-08,0
"236",2020-11-07,0
"237",2020-11-06,3
"238",2020-11-05,1
"239",2020-11-04,2
"240",2020-11-03,3
"241",2020-11-02,3
"242",2020-11-01,1
"243",2020-10-31,0
"244",2020-10-30,4
"245",2020-10-29,0
"246",2020-10-28,1
"247",2020-10-27,1
"248",2020-10-26,0
"249",2020-10-25,0
"250",2020-10-24,1
"251",2020-10-23,1
"252",2020-10-22,0
"253",2020-10-21,1
"254",2020-10-20,0
"255",2020-10-19,0
"256",2020-10-18,2
"257",2020-10-17,2
"258",2020-10-16,6
"259",2020-10-15,2
"260",2020-10-14,1
"261",2020-10-13,0
"262",2020-10-12,2
"263",2020-10-11,1
"264",2020-10-10,0
"265",2020-10-09,1
"266",2020-10-08,1
"267",2020-10-07,2
"268",2020-10-06,2
"269",2020-10-05,1
"270",2020-10-04,1
"271",2020-10-03,0
"272",2020-10-02,1
