"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,1
"5",2021-06-26,0
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,0
"15",2021-06-16,0
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,2
"19",2021-06-12,0
"20",2021-06-11,0
"21",2021-06-10,0
"22",2021-06-09,3
"23",2021-06-08,0
"24",2021-06-07,1
"25",2021-06-06,2
"26",2021-06-05,0
"27",2021-06-04,3
"28",2021-06-03,2
"29",2021-06-02,0
"30",2021-06-01,1
"31",2021-05-31,0
"32",2021-05-30,3
"33",2021-05-29,4
"34",2021-05-28,6
"35",2021-05-27,1
"36",2021-05-26,2
"37",2021-05-25,3
"38",2021-05-24,0
"39",2021-05-23,0
"40",2021-05-22,2
"41",2021-05-21,5
"42",2021-05-20,4
"43",2021-05-19,1
"44",2021-05-18,0
"45",2021-05-17,0
"46",2021-05-16,0
"47",2021-05-15,0
"48",2021-05-14,1
"49",2021-05-13,1
"50",2021-05-12,5
"51",2021-05-11,1
"52",2021-05-10,1
"53",2021-05-09,1
"54",2021-05-08,5
"55",2021-05-07,0
"56",2021-05-06,4
"57",2021-05-05,2
"58",2021-05-04,1
"59",2021-05-03,3
"60",2021-05-02,5
"61",2021-05-01,5
"62",2021-04-30,12
"63",2021-04-29,12
"64",2021-04-28,11
"65",2021-04-27,2
"66",2021-04-26,3
"67",2021-04-25,4
"68",2021-04-24,14
"69",2021-04-23,2
"70",2021-04-22,6
"71",2021-04-21,4
"72",2021-04-20,5
"73",2021-04-19,1
"74",2021-04-18,4
"75",2021-04-17,7
"76",2021-04-16,7
"77",2021-04-15,6
"78",2021-04-14,8
"79",2021-04-13,5
"80",2021-04-12,5
"81",2021-04-11,6
"82",2021-04-10,3
"83",2021-04-09,5
"84",2021-04-08,3
"85",2021-04-07,3
"86",2021-04-06,4
"87",2021-04-05,8
"88",2021-04-04,7
"89",2021-04-03,3
"90",2021-04-02,7
"91",2021-04-01,6
"92",2021-03-31,9
"93",2021-03-30,3
"94",2021-03-29,6
"95",2021-03-28,8
"96",2021-03-27,6
"97",2021-03-26,5
"98",2021-03-25,3
"99",2021-03-24,8
"100",2021-03-23,4
"101",2021-03-22,4
"102",2021-03-21,7
"103",2021-03-20,5
"104",2021-03-19,8
"105",2021-03-18,3
"106",2021-03-17,6
"107",2021-03-16,3
"108",2021-03-15,4
"109",2021-03-14,5
"110",2021-03-13,3
"111",2021-03-12,2
"112",2021-03-11,4
"113",2021-03-10,5
"114",2021-03-09,8
"115",2021-03-08,4
"116",2021-03-07,11
"117",2021-03-06,16
"118",2021-03-05,18
"119",2021-03-04,22
"120",2021-03-03,13
"121",2021-03-02,9
"122",2021-03-01,11
"123",2021-02-28,13
"124",2021-02-27,18
"125",2021-02-26,29
"126",2021-02-25,19
"127",2021-02-24,12
"128",2021-02-23,10
"129",2021-02-22,9
"130",2021-02-21,23
"131",2021-02-20,19
"132",2021-02-19,42
"133",2021-02-18,36
"134",2021-02-17,13
"135",2021-02-16,6
"136",2021-02-15,9
"137",2021-02-14,22
"138",2021-02-13,16
"139",2021-02-12,15
"140",2021-02-11,23
"141",2021-02-10,29
"142",2021-02-09,4
"143",2021-02-08,14
"144",2021-02-07,17
"145",2021-02-06,18
"146",2021-02-05,41
"147",2021-02-04,28
"148",2021-02-03,13
"149",2021-02-02,5
"150",2021-02-01,13
"151",2021-01-31,32
"152",2021-01-30,14
"153",2021-01-29,60
"154",2021-01-28,37
"155",2021-01-27,29
"156",2021-01-26,18
"157",2021-01-25,22
"158",2021-01-24,27
"159",2021-01-23,35
"160",2021-01-22,28
"161",2021-01-21,67
"162",2021-01-20,38
"163",2021-01-19,17
"164",2021-01-18,18
"165",2021-01-17,26
"166",2021-01-16,17
"167",2021-01-15,46
"168",2021-01-14,34
"169",2021-01-13,22
"170",2021-01-12,12
"171",2021-01-11,26
"172",2021-01-10,22
"173",2021-01-09,19
"174",2021-01-08,19
"175",2021-01-07,34
"176",2021-01-06,20
"177",2021-01-05,10
"178",2021-01-04,10
"179",2021-01-03,2
"180",2021-01-02,13
"181",2021-01-01,16
"182",2020-12-31,20
"183",2020-12-30,27
"184",2020-12-29,5
"185",2020-12-28,16
"186",2020-12-27,14
"187",2020-12-26,5
"188",2020-12-25,31
"189",2020-12-24,28
"190",2020-12-23,17
"191",2020-12-22,9
"192",2020-12-21,18
"193",2020-12-20,15
"194",2020-12-19,18
"195",2020-12-18,18
"196",2020-12-17,38
"197",2020-12-16,17
"198",2020-12-15,9
"199",2020-12-14,17
"200",2020-12-13,16
"201",2020-12-12,11
"202",2020-12-11,11
"203",2020-12-10,23
"204",2020-12-09,23
"205",2020-12-08,7
"206",2020-12-07,18
"207",2020-12-06,28
"208",2020-12-05,17
"209",2020-12-04,12
"210",2020-12-03,10
"211",2020-12-02,7
"212",2020-12-01,5
"213",2020-11-30,5
"214",2020-11-29,0
"215",2020-11-28,7
"216",2020-11-27,0
"217",2020-11-26,4
"218",2020-11-25,10
"219",2020-11-24,2
"220",2020-11-23,4
"221",2020-11-22,8
"222",2020-11-21,2
"223",2020-11-20,9
"224",2020-11-19,5
"225",2020-11-18,8
"226",2020-11-17,12
"227",2020-11-16,6
"228",2020-11-15,1
"229",2020-11-14,4
"230",2020-11-13,10
"231",2020-11-12,13
"232",2020-11-11,9
"233",2020-11-10,5
"234",2020-11-09,7
"235",2020-11-08,4
"236",2020-11-07,9
"237",2020-11-06,13
"238",2020-11-05,9
"239",2020-11-04,9
"240",2020-11-03,0
"241",2020-11-02,8
"242",2020-11-01,1
"243",2020-10-31,1
"244",2020-10-30,4
"245",2020-10-29,2
"246",2020-10-28,0
"247",2020-10-27,0
"248",2020-10-26,0
"249",2020-10-25,1
"250",2020-10-24,0
"251",2020-10-23,0
"252",2020-10-22,0
"253",2020-10-21,1
"254",2020-10-20,1
"255",2020-10-19,0
"256",2020-10-18,0
"257",2020-10-17,0
"258",2020-10-16,2
"259",2020-10-15,0
"260",2020-10-14,3
"261",2020-10-13,0
"262",2020-10-12,1
"263",2020-10-11,0
"264",2020-10-10,0
"265",2020-10-09,0
"266",2020-10-08,0
"267",2020-10-07,1
"268",2020-10-06,0
"269",2020-10-05,0
"270",2020-10-04,0
"271",2020-10-03,2
"272",2020-10-02,2
"273",2020-10-01,0
"274",2020-09-30,0
"275",2020-09-29,0
"276",2020-09-28,0
"277",2020-09-27,0
"278",2020-09-26,0
"279",2020-09-25,0
"280",2020-09-24,0
"281",2020-09-23,1
"282",2020-09-22,0
"283",2020-09-21,0
"284",2020-09-20,0
"285",2020-09-19,1
"286",2020-09-18,0
"287",2020-09-17,1
"288",2020-09-16,0
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,2
"293",2020-09-11,1
"294",2020-09-10,1
"295",2020-09-09,0
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,0
"299",2020-09-05,0
"300",2020-09-04,0
"301",2020-09-03,0
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,0
"305",2020-08-30,0
"306",2020-08-29,0
"307",2020-08-28,0
"308",2020-08-27,0
"309",2020-08-26,1
"310",2020-08-25,1
"311",2020-08-24,0
"312",2020-08-23,0
"313",2020-08-22,0
"314",2020-08-21,0
"315",2020-08-20,0
"316",2020-08-19,0
"317",2020-08-18,1
"318",2020-08-17,1
"319",2020-08-16,0
"320",2020-08-15,0
"321",2020-08-14,0
"322",2020-08-13,0
"323",2020-08-12,0
"324",2020-08-11,0
"325",2020-08-10,0
"326",2020-08-09,0
"327",2020-08-08,0
"328",2020-08-07,0
"329",2020-08-06,2
"330",2020-08-05,0
"331",2020-08-04,2
"332",2020-08-03,0
"333",2020-08-02,0
"334",2020-08-01,0
"335",2020-07-31,0
"336",2020-07-30,2
"337",2020-07-29,0
"338",2020-07-28,1
"339",2020-07-27,3
"340",2020-07-26,0
"341",2020-07-25,2
"342",2020-07-24,0
"343",2020-07-23,0
"344",2020-07-22,0
"345",2020-07-21,0
"346",2020-07-20,2
"347",2020-07-19,0
"348",2020-07-18,0
"349",2020-07-17,1
"350",2020-07-16,1
"351",2020-07-15,1
"352",2020-07-14,1
"353",2020-07-13,0
"354",2020-07-12,0
