"","date","new_cases"
"1",2021-06-30,1
"2",2021-06-29,1
"3",2021-06-28,1
"4",2021-06-27,1
"5",2021-06-26,0
"6",2021-06-25,1
"7",2021-06-24,0
"8",2021-06-23,0
"9",2021-06-22,1
"10",2021-06-21,0
"11",2021-06-20,1
"12",2021-06-19,0
"13",2021-06-18,0
"14",2021-06-17,0
"15",2021-06-16,1
"16",2021-06-15,0
"17",2021-06-14,1
"18",2021-06-13,0
"19",2021-06-12,1
"20",2021-06-11,0
"21",2021-06-10,0
"22",2021-06-09,1
"23",2021-06-08,4
"24",2021-06-07,0
"25",2021-06-06,1
"26",2021-06-05,1
"27",2021-06-04,7
"28",2021-06-03,4
"29",2021-06-02,2
"30",2021-06-01,2
"31",2021-05-31,0
"32",2021-05-30,1
"33",2021-05-29,2
"34",2021-05-28,3
"35",2021-05-27,6
"36",2021-05-26,6
"37",2021-05-25,1
"38",2021-05-24,3
"39",2021-05-23,5
"40",2021-05-22,1
"41",2021-05-21,5
"42",2021-05-20,5
"43",2021-05-19,7
"44",2021-05-18,3
"45",2021-05-17,2
"46",2021-05-16,4
"47",2021-05-15,6
"48",2021-05-14,9
"49",2021-05-13,5
"50",2021-05-12,9
"51",2021-05-11,4
"52",2021-05-10,4
"53",2021-05-09,2
"54",2021-05-08,10
"55",2021-05-07,14
"56",2021-05-06,35
"57",2021-05-05,7
"58",2021-05-04,6
"59",2021-05-03,6
"60",2021-05-02,8
"61",2021-05-01,4
"62",2021-04-30,7
"63",2021-04-29,8
"64",2021-04-28,12
"65",2021-04-27,6
"66",2021-04-26,5
"67",2021-04-25,4
"68",2021-04-24,9
"69",2021-04-23,12
"70",2021-04-22,16
"71",2021-04-21,14
"72",2021-04-20,15
"73",2021-04-19,14
"74",2021-04-18,12
"75",2021-04-17,24
"76",2021-04-16,16
"77",2021-04-15,20
"78",2021-04-14,24
"79",2021-04-13,17
"80",2021-04-12,19
"81",2021-04-11,17
"82",2021-04-10,17
"83",2021-04-09,17
"84",2021-04-08,16
"85",2021-04-07,15
"86",2021-04-06,19
"87",2021-04-05,10
"88",2021-04-04,11
"89",2021-04-03,15
"90",2021-04-02,18
"91",2021-04-01,18
"92",2021-03-31,20
"93",2021-03-30,20
"94",2021-03-29,11
"95",2021-03-28,6
"96",2021-03-27,16
"97",2021-03-26,15
"98",2021-03-25,20
"99",2021-03-24,16
"100",2021-03-23,11
"101",2021-03-22,22
"102",2021-03-21,10
"103",2021-03-20,7
"104",2021-03-19,18
"105",2021-03-18,18
"106",2021-03-17,22
"107",2021-03-16,9
"108",2021-03-15,11
"109",2021-03-14,12
"110",2021-03-13,9
"111",2021-03-12,21
"112",2021-03-11,14
"113",2021-03-10,8
"114",2021-03-09,10
"115",2021-03-08,10
"116",2021-03-07,12
"117",2021-03-06,16
"118",2021-03-05,6
"119",2021-03-04,29
"120",2021-03-03,13
"121",2021-03-02,25
"122",2021-03-01,14
"123",2021-02-28,17
"124",2021-02-27,13
"125",2021-02-26,18
"126",2021-02-25,17
"127",2021-02-24,27
"128",2021-02-23,11
"129",2021-02-22,14
"130",2021-02-21,18
"131",2021-02-20,32
"132",2021-02-19,31
"133",2021-02-18,32
"134",2021-02-17,12
"135",2021-02-16,23
"136",2021-02-15,15
"137",2021-02-14,25
"138",2021-02-13,60
"139",2021-02-12,20
"140",2021-02-11,35
"141",2021-02-10,33
"142",2021-02-09,25
"143",2021-02-08,50
"144",2021-02-07,10
"145",2021-02-06,25
"146",2021-02-05,38
"147",2021-02-04,51
"148",2021-02-03,32
"149",2021-02-02,17
"150",2021-02-01,19
"151",2021-01-31,24
"152",2021-01-30,46
"153",2021-01-29,36
"154",2021-01-28,47
"155",2021-01-27,49
"156",2021-01-26,24
"157",2021-01-25,36
"158",2021-01-24,25
"159",2021-01-23,39
"160",2021-01-22,50
"161",2021-01-21,51
"162",2021-01-20,50
"163",2021-01-19,27
"164",2021-01-18,43
"165",2021-01-17,31
"166",2021-01-16,40
"167",2021-01-15,67
"168",2021-01-14,88
"169",2021-01-13,25
"170",2021-01-12,15
"171",2021-01-11,42
"172",2021-01-10,58
"173",2021-01-09,52
"174",2021-01-08,85
"175",2021-01-07,58
"176",2021-01-06,24
"177",2021-01-05,35
"178",2021-01-04,41
"179",2021-01-03,28
"180",2021-01-02,38
"181",2021-01-01,26
"182",2020-12-31,32
"183",2020-12-30,27
"184",2020-12-29,14
"185",2020-12-28,11
"186",2020-12-27,19
"187",2020-12-26,12
"188",2020-12-25,27
"189",2020-12-24,35
"190",2020-12-23,17
"191",2020-12-22,23
"192",2020-12-21,44
"193",2020-12-20,24
"194",2020-12-19,35
"195",2020-12-18,16
"196",2020-12-17,33
"197",2020-12-16,27
"198",2020-12-15,38
"199",2020-12-14,32
"200",2020-12-13,26
"201",2020-12-12,24
"202",2020-12-11,28
"203",2020-12-10,31
"204",2020-12-09,22
"205",2020-12-08,44
"206",2020-12-07,42
"207",2020-12-06,21
"208",2020-12-05,18
"209",2020-12-04,42
"210",2020-12-03,9
"211",2020-12-02,17
"212",2020-12-01,9
"213",2020-11-30,10
"214",2020-11-29,13
"215",2020-11-28,5
"216",2020-11-27,6
"217",2020-11-26,6
"218",2020-11-25,6
"219",2020-11-24,11
"220",2020-11-23,7
"221",2020-11-22,22
"222",2020-11-21,3
"223",2020-11-20,13
"224",2020-11-19,1
"225",2020-11-18,7
"226",2020-11-17,5
"227",2020-11-16,2
"228",2020-11-15,8
"229",2020-11-14,4
"230",2020-11-13,7
"231",2020-11-12,1
"232",2020-11-11,3
"233",2020-11-10,1
"234",2020-11-09,2
"235",2020-11-08,2
"236",2020-11-07,1
"237",2020-11-06,0
"238",2020-11-05,2
"239",2020-11-04,1
"240",2020-11-03,1
"241",2020-11-02,1
"242",2020-11-01,0
"243",2020-10-31,2
"244",2020-10-30,0
"245",2020-10-29,2
"246",2020-10-28,1
"247",2020-10-27,0
"248",2020-10-26,1
"249",2020-10-25,0
"250",2020-10-24,0
"251",2020-10-23,0
"252",2020-10-22,1
"253",2020-10-21,0
"254",2020-10-20,0
"255",2020-10-19,1
"256",2020-10-18,0
"257",2020-10-17,1
"258",2020-10-16,1
"259",2020-10-15,0
"260",2020-10-14,3
"261",2020-10-13,0
"262",2020-10-12,2
"263",2020-10-11,0
"264",2020-10-10,0
"265",2020-10-09,0
"266",2020-10-08,1
"267",2020-10-07,1
"268",2020-10-06,0
"269",2020-10-05,2
"270",2020-10-04,1
"271",2020-10-03,2
"272",2020-10-02,1
"273",2020-10-01,5
"274",2020-09-30,0
"275",2020-09-29,0
"276",2020-09-28,2
"277",2020-09-27,2
"278",2020-09-26,1
"279",2020-09-25,1
"280",2020-09-24,0
"281",2020-09-23,1
"282",2020-09-22,0
"283",2020-09-21,0
"284",2020-09-20,0
"285",2020-09-19,0
"286",2020-09-18,1
"287",2020-09-17,0
"288",2020-09-16,6
"289",2020-09-15,1
"290",2020-09-14,4
"291",2020-09-13,2
"292",2020-09-12,2
"293",2020-09-11,1
"294",2020-09-10,3
"295",2020-09-09,0
"296",2020-09-08,0
"297",2020-09-07,0
"298",2020-09-06,0
"299",2020-09-05,0
"300",2020-09-04,0
"301",2020-09-03,0
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,0
"305",2020-08-30,0
"306",2020-08-29,0
"307",2020-08-28,1
"308",2020-08-27,0
"309",2020-08-26,1
"310",2020-08-25,0
"311",2020-08-24,0
"312",2020-08-23,0
"313",2020-08-22,1
"314",2020-08-21,2
"315",2020-08-20,1
"316",2020-08-19,0
"317",2020-08-18,0
"318",2020-08-17,2
"319",2020-08-16,0
"320",2020-08-15,0
"321",2020-08-14,0
"322",2020-08-13,3
"323",2020-08-12,1
"324",2020-08-11,2
"325",2020-08-10,0
"326",2020-08-09,1
"327",2020-08-08,1
"328",2020-08-07,2
"329",2020-08-06,2
"330",2020-08-05,4
"331",2020-08-04,2
"332",2020-08-03,0
"333",2020-08-02,2
"334",2020-08-01,1
"335",2020-07-31,7
"336",2020-07-30,0
"337",2020-07-29,5
"338",2020-07-28,0
"339",2020-07-27,0
"340",2020-07-26,0
"341",2020-07-25,0
"342",2020-07-24,2
"343",2020-07-23,0
"344",2020-07-22,1
"345",2020-07-21,0
"346",2020-07-20,0
"347",2020-07-19,0
"348",2020-07-18,1
"349",2020-07-17,0
"350",2020-07-16,0
"351",2020-07-15,0
"352",2020-07-14,0
"353",2020-07-13,1
"354",2020-07-12,0
"355",2020-07-11,0
"356",2020-07-10,1
"357",2020-07-09,1
"358",2020-07-08,1
"359",2020-07-07,0
"360",2020-07-06,0
"361",2020-07-05,1
"362",2020-07-04,0
"363",2020-07-03,0
"364",2020-07-02,1
