"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,1
"5",2021-06-26,0
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,1
"9",2021-06-22,0
"10",2021-06-21,1
"11",2021-06-20,1
"12",2021-06-19,0
"13",2021-06-18,1
"14",2021-06-17,0
"15",2021-06-16,1
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,0
"19",2021-06-12,0
"20",2021-06-11,0
"21",2021-06-10,1
"22",2021-06-09,2
"23",2021-06-08,0
"24",2021-06-07,0
"25",2021-06-06,1
"26",2021-06-05,1
"27",2021-06-04,3
"28",2021-06-03,1
"29",2021-06-02,1
"30",2021-06-01,2
"31",2021-05-31,2
"32",2021-05-30,0
"33",2021-05-29,3
"34",2021-05-28,3
"35",2021-05-27,0
"36",2021-05-26,2
"37",2021-05-25,6
"38",2021-05-24,3
"39",2021-05-23,0
"40",2021-05-22,3
"41",2021-05-21,10
"42",2021-05-20,6
"43",2021-05-19,7
"44",2021-05-18,10
"45",2021-05-17,3
"46",2021-05-16,8
"47",2021-05-15,9
"48",2021-05-14,8
"49",2021-05-13,7
"50",2021-05-12,11
"51",2021-05-11,3
"52",2021-05-10,3
"53",2021-05-09,6
"54",2021-05-08,15
"55",2021-05-07,9
"56",2021-05-06,18
"57",2021-05-05,8
"58",2021-05-04,12
"59",2021-05-03,10
"60",2021-05-02,10
"61",2021-05-01,7
"62",2021-04-30,21
"63",2021-04-29,6
"64",2021-04-28,19
"65",2021-04-27,9
"66",2021-04-26,10
"67",2021-04-25,4
"68",2021-04-24,9
"69",2021-04-23,12
"70",2021-04-22,14
"71",2021-04-21,15
"72",2021-04-20,14
"73",2021-04-19,11
"74",2021-04-18,12
"75",2021-04-17,11
"76",2021-04-16,18
"77",2021-04-15,8
"78",2021-04-14,14
"79",2021-04-13,9
"80",2021-04-12,9
"81",2021-04-11,9
"82",2021-04-10,22
"83",2021-04-09,20
"84",2021-04-08,30
"85",2021-04-07,24
"86",2021-04-06,13
"87",2021-04-05,7
"88",2021-04-04,18
"89",2021-04-03,19
"90",2021-04-02,25
"91",2021-04-01,11
"92",2021-03-31,12
"93",2021-03-30,17
"94",2021-03-29,9
"95",2021-03-28,8
"96",2021-03-27,13
"97",2021-03-26,16
"98",2021-03-25,14
"99",2021-03-24,24
"100",2021-03-23,5
"101",2021-03-22,7
"102",2021-03-21,4
"103",2021-03-20,15
"104",2021-03-19,11
"105",2021-03-18,19
"106",2021-03-17,27
"107",2021-03-16,4
"108",2021-03-15,10
"109",2021-03-14,9
"110",2021-03-13,16
"111",2021-03-12,10
"112",2021-03-11,17
"113",2021-03-10,23
"114",2021-03-09,13
"115",2021-03-08,4
"116",2021-03-07,8
"117",2021-03-06,10
"118",2021-03-05,14
"119",2021-03-04,9
"120",2021-03-03,15
"121",2021-03-02,15
"122",2021-03-01,9
"123",2021-02-28,5
"124",2021-02-27,11
"125",2021-02-26,17
"126",2021-02-25,6
"127",2021-02-24,37
"128",2021-02-23,15
"129",2021-02-22,5
"130",2021-02-21,22
"131",2021-02-20,21
"132",2021-02-19,15
"133",2021-02-18,16
"134",2021-02-17,32
"135",2021-02-16,5
"136",2021-02-15,8
"137",2021-02-14,4
"138",2021-02-13,10
"139",2021-02-12,14
"140",2021-02-11,9
"141",2021-02-10,16
"142",2021-02-09,9
"143",2021-02-08,7
"144",2021-02-07,7
"145",2021-02-06,6
"146",2021-02-05,14
"147",2021-02-04,15
"148",2021-02-03,22
"149",2021-02-02,18
"150",2021-02-01,10
"151",2021-01-31,8
"152",2021-01-30,16
"153",2021-01-29,16
"154",2021-01-28,26
"155",2021-01-27,56
"156",2021-01-26,19
"157",2021-01-25,19
"158",2021-01-24,20
"159",2021-01-23,21
"160",2021-01-22,31
"161",2021-01-21,51
"162",2021-01-20,63
"163",2021-01-19,25
"164",2021-01-18,13
"165",2021-01-17,21
"166",2021-01-16,64
"167",2021-01-15,60
"168",2021-01-14,47
"169",2021-01-13,39
"170",2021-01-12,40
"171",2021-01-11,44
"172",2021-01-10,31
"173",2021-01-09,39
"174",2021-01-08,67
"175",2021-01-07,61
"176",2021-01-06,115
"177",2021-01-05,54
"178",2021-01-04,63
"179",2021-01-03,40
"180",2021-01-02,48
"181",2021-01-01,51
"182",2020-12-31,86
"183",2020-12-30,97
"184",2020-12-29,33
"185",2020-12-28,56
"186",2020-12-27,40
"187",2020-12-26,18
"188",2020-12-25,47
"189",2020-12-24,89
"190",2020-12-23,101
"191",2020-12-22,55
"192",2020-12-21,65
"193",2020-12-20,39
"194",2020-12-19,41
"195",2020-12-18,177
"196",2020-12-17,56
"197",2020-12-16,46
"198",2020-12-15,48
"199",2020-12-14,27
"200",2020-12-13,44
"201",2020-12-12,72
"202",2020-12-11,43
"203",2020-12-10,35
"204",2020-12-09,59
"205",2020-12-08,44
"206",2020-12-07,21
"207",2020-12-06,25
"208",2020-12-05,34
"209",2020-12-04,67
"210",2020-12-03,44
"211",2020-12-02,44
"212",2020-12-01,38
"213",2020-11-30,48
"214",2020-11-29,31
"215",2020-11-28,31
"216",2020-11-27,34
"217",2020-11-26,42
"218",2020-11-25,45
"219",2020-11-24,26
"220",2020-11-23,19
"221",2020-11-22,42
"222",2020-11-21,23
"223",2020-11-20,40
"224",2020-11-19,21
"225",2020-11-18,19
"226",2020-11-17,20
"227",2020-11-16,20
"228",2020-11-15,12
"229",2020-11-14,6
"230",2020-11-13,13
"231",2020-11-12,43
"232",2020-11-11,14
"233",2020-11-10,17
"234",2020-11-09,15
"235",2020-11-08,17
"236",2020-11-07,13
"237",2020-11-06,15
"238",2020-11-05,9
"239",2020-11-04,13
"240",2020-11-03,8
"241",2020-11-02,7
"242",2020-11-01,2
"243",2020-10-31,4
"244",2020-10-30,1
"245",2020-10-29,10
"246",2020-10-28,8
"247",2020-10-27,4
"248",2020-10-26,3
"249",2020-10-25,1
"250",2020-10-24,1
"251",2020-10-23,2
"252",2020-10-22,4
"253",2020-10-21,1
"254",2020-10-20,1
"255",2020-10-19,0
"256",2020-10-18,0
"257",2020-10-17,0
"258",2020-10-16,0
"259",2020-10-15,1
"260",2020-10-14,7
"261",2020-10-13,3
"262",2020-10-12,1
"263",2020-10-11,1
"264",2020-10-10,0
"265",2020-10-09,0
"266",2020-10-08,3
"267",2020-10-07,3
"268",2020-10-06,1
"269",2020-10-05,5
"270",2020-10-04,2
"271",2020-10-03,2
"272",2020-10-02,6
"273",2020-10-01,1
"274",2020-09-30,5
"275",2020-09-29,3
"276",2020-09-28,6
"277",2020-09-27,0
"278",2020-09-26,2
"279",2020-09-25,2
"280",2020-09-24,0
"281",2020-09-23,0
"282",2020-09-22,0
"283",2020-09-21,1
"284",2020-09-20,2
"285",2020-09-19,0
"286",2020-09-18,5
"287",2020-09-17,0
"288",2020-09-16,2
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,0
"293",2020-09-11,1
"294",2020-09-10,0
"295",2020-09-09,2
"296",2020-09-08,1
"297",2020-09-07,1
"298",2020-09-06,1
"299",2020-09-05,1
"300",2020-09-04,0
"301",2020-09-03,2
"302",2020-09-02,1
"303",2020-09-01,0
"304",2020-08-31,2
"305",2020-08-30,1
"306",2020-08-29,1
"307",2020-08-28,0
"308",2020-08-27,1
"309",2020-08-26,0
"310",2020-08-25,1
"311",2020-08-24,1
"312",2020-08-23,0
"313",2020-08-22,0
"314",2020-08-21,0
"315",2020-08-20,0
"316",2020-08-19,1
"317",2020-08-18,1
"318",2020-08-17,3
"319",2020-08-16,0
"320",2020-08-15,1
"321",2020-08-14,0
"322",2020-08-13,4
"323",2020-08-12,0
"324",2020-08-11,1
"325",2020-08-10,2
"326",2020-08-09,0
"327",2020-08-08,0
"328",2020-08-07,0
"329",2020-08-06,3
"330",2020-08-05,0
"331",2020-08-04,1
"332",2020-08-03,0
"333",2020-08-02,1
"334",2020-08-01,0
"335",2020-07-31,2
"336",2020-07-30,0
"337",2020-07-29,3
"338",2020-07-28,1
"339",2020-07-27,0
"340",2020-07-26,2
"341",2020-07-25,3
"342",2020-07-24,0
"343",2020-07-23,1
"344",2020-07-22,2
"345",2020-07-21,0
"346",2020-07-20,0
"347",2020-07-19,1
"348",2020-07-18,1
"349",2020-07-17,2
"350",2020-07-16,0
"351",2020-07-15,0
"352",2020-07-14,2
"353",2020-07-13,2
"354",2020-07-12,0
