"","date","new_cases"
"1",2021-06-30,0
"2",2021-06-29,0
"3",2021-06-28,0
"4",2021-06-27,0
"5",2021-06-26,0
"6",2021-06-25,0
"7",2021-06-24,0
"8",2021-06-23,1
"9",2021-06-22,0
"10",2021-06-21,0
"11",2021-06-20,0
"12",2021-06-19,0
"13",2021-06-18,2
"14",2021-06-17,0
"15",2021-06-16,0
"16",2021-06-15,0
"17",2021-06-14,0
"18",2021-06-13,1
"19",2021-06-12,0
"20",2021-06-11,0
"21",2021-06-10,0
"22",2021-06-09,0
"23",2021-06-08,0
"24",2021-06-07,0
"25",2021-06-06,1
"26",2021-06-05,0
"27",2021-06-04,1
"28",2021-06-03,2
"29",2021-06-02,0
"30",2021-06-01,0
"31",2021-05-31,0
"32",2021-05-30,1
"33",2021-05-29,2
"34",2021-05-28,1
"35",2021-05-27,3
"36",2021-05-26,3
"37",2021-05-25,2
"38",2021-05-24,0
"39",2021-05-23,3
"40",2021-05-22,1
"41",2021-05-21,1
"42",2021-05-20,3
"43",2021-05-19,1
"44",2021-05-18,7
"45",2021-05-17,0
"46",2021-05-16,1
"47",2021-05-15,4
"48",2021-05-14,5
"49",2021-05-13,6
"50",2021-05-12,5
"51",2021-05-11,15
"52",2021-05-10,7
"53",2021-05-09,6
"54",2021-05-08,10
"55",2021-05-07,14
"56",2021-05-06,10
"57",2021-05-05,8
"58",2021-05-04,8
"59",2021-05-03,3
"60",2021-05-02,2
"61",2021-05-01,11
"62",2021-04-30,17
"63",2021-04-29,7
"64",2021-04-28,14
"65",2021-04-27,10
"66",2021-04-26,2
"67",2021-04-25,4
"68",2021-04-24,3
"69",2021-04-23,9
"70",2021-04-22,6
"71",2021-04-21,27
"72",2021-04-20,2
"73",2021-04-19,15
"74",2021-04-18,13
"75",2021-04-17,8
"76",2021-04-16,12
"77",2021-04-15,12
"78",2021-04-14,13
"79",2021-04-13,4
"80",2021-04-12,11
"81",2021-04-11,5
"82",2021-04-10,11
"83",2021-04-09,13
"84",2021-04-08,8
"85",2021-04-07,4
"86",2021-04-06,9
"87",2021-04-05,2
"88",2021-04-04,5
"89",2021-04-03,10
"90",2021-04-02,13
"91",2021-04-01,10
"92",2021-03-31,14
"93",2021-03-30,12
"94",2021-03-29,6
"95",2021-03-28,10
"96",2021-03-27,14
"97",2021-03-26,14
"98",2021-03-25,10
"99",2021-03-24,12
"100",2021-03-23,19
"101",2021-03-22,10
"102",2021-03-21,8
"103",2021-03-20,12
"104",2021-03-19,13
"105",2021-03-18,16
"106",2021-03-17,10
"107",2021-03-16,10
"108",2021-03-15,2
"109",2021-03-14,3
"110",2021-03-13,8
"111",2021-03-12,10
"112",2021-03-11,37
"113",2021-03-10,4
"114",2021-03-09,6
"115",2021-03-08,3
"116",2021-03-07,4
"117",2021-03-06,9
"118",2021-03-05,7
"119",2021-03-04,11
"120",2021-03-03,12
"121",2021-03-02,20
"122",2021-03-01,2
"123",2021-02-28,10
"124",2021-02-27,7
"125",2021-02-26,9
"126",2021-02-25,13
"127",2021-02-24,11
"128",2021-02-23,9
"129",2021-02-22,5
"130",2021-02-21,2
"131",2021-02-20,9
"132",2021-02-19,7
"133",2021-02-18,11
"134",2021-02-17,7
"135",2021-02-16,9
"136",2021-02-15,6
"137",2021-02-14,7
"138",2021-02-13,13
"139",2021-02-12,13
"140",2021-02-11,7
"141",2021-02-10,14
"142",2021-02-09,10
"143",2021-02-08,5
"144",2021-02-07,7
"145",2021-02-06,15
"146",2021-02-05,20
"147",2021-02-04,16
"148",2021-02-03,20
"149",2021-02-02,9
"150",2021-02-01,8
"151",2021-01-31,13
"152",2021-01-30,14
"153",2021-01-29,28
"154",2021-01-28,34
"155",2021-01-27,30
"156",2021-01-26,17
"157",2021-01-25,13
"158",2021-01-24,18
"159",2021-01-23,24
"160",2021-01-22,38
"161",2021-01-21,43
"162",2021-01-20,19
"163",2021-01-19,20
"164",2021-01-18,33
"165",2021-01-17,30
"166",2021-01-16,31
"167",2021-01-15,35
"168",2021-01-14,56
"169",2021-01-13,18
"170",2021-01-12,20
"171",2021-01-11,53
"172",2021-01-10,41
"173",2021-01-09,22
"174",2021-01-08,45
"175",2021-01-07,50
"176",2021-01-06,40
"177",2021-01-05,49
"178",2021-01-04,44
"179",2021-01-03,29
"180",2021-01-02,31
"181",2021-01-01,48
"182",2020-12-31,61
"183",2020-12-30,62
"184",2020-12-29,46
"185",2020-12-28,26
"186",2020-12-27,34
"187",2020-12-26,20
"188",2020-12-25,19
"189",2020-12-24,53
"190",2020-12-23,31
"191",2020-12-22,15
"192",2020-12-21,17
"193",2020-12-20,12
"194",2020-12-19,18
"195",2020-12-18,16
"196",2020-12-17,31
"197",2020-12-16,8
"198",2020-12-15,20
"199",2020-12-14,13
"200",2020-12-13,11
"201",2020-12-12,12
"202",2020-12-11,15
"203",2020-12-10,11
"204",2020-12-09,7
"205",2020-12-08,15
"206",2020-12-07,8
"207",2020-12-06,9
"208",2020-12-05,8
"209",2020-12-04,27
"210",2020-12-03,24
"211",2020-12-02,14
"212",2020-12-01,10
"213",2020-11-30,15
"214",2020-11-29,7
"215",2020-11-28,3
"216",2020-11-27,10
"217",2020-11-26,14
"218",2020-11-25,6
"219",2020-11-24,9
"220",2020-11-23,13
"221",2020-11-22,7
"222",2020-11-21,4
"223",2020-11-20,18
"224",2020-11-19,4
"225",2020-11-18,4
"226",2020-11-17,3
"227",2020-11-16,6
"228",2020-11-15,2
"229",2020-11-14,2
"230",2020-11-13,5
"231",2020-11-12,4
"232",2020-11-11,10
"233",2020-11-10,1
"234",2020-11-09,5
"235",2020-11-08,3
"236",2020-11-07,3
"237",2020-11-06,25
"238",2020-11-05,4
"239",2020-11-04,0
"240",2020-11-03,5
"241",2020-11-02,1
"242",2020-11-01,1
"243",2020-10-31,1
"244",2020-10-30,5
"245",2020-10-29,3
"246",2020-10-28,2
"247",2020-10-27,4
"248",2020-10-26,6
"249",2020-10-25,5
"250",2020-10-24,1
"251",2020-10-23,1
"252",2020-10-22,1
"253",2020-10-21,5
"254",2020-10-20,5
"255",2020-10-19,3
"256",2020-10-18,2
"257",2020-10-17,7
"258",2020-10-16,1
"259",2020-10-15,10
"260",2020-10-14,8
"261",2020-10-13,17
"262",2020-10-12,41
"263",2020-10-11,5
"264",2020-10-10,4
"265",2020-10-09,2
"266",2020-10-08,5
"267",2020-10-07,6
"268",2020-10-06,13
"269",2020-10-05,5
"270",2020-10-04,1
"271",2020-10-03,7
"272",2020-10-02,6
"273",2020-10-01,6
"274",2020-09-30,3
"275",2020-09-29,2
"276",2020-09-28,0
"277",2020-09-27,0
"278",2020-09-26,0
"279",2020-09-25,0
"280",2020-09-24,2
"281",2020-09-23,0
"282",2020-09-22,0
"283",2020-09-21,1
"284",2020-09-20,1
"285",2020-09-19,0
"286",2020-09-18,0
"287",2020-09-17,0
"288",2020-09-16,1
"289",2020-09-15,0
"290",2020-09-14,0
"291",2020-09-13,0
"292",2020-09-12,1
"293",2020-09-11,0
"294",2020-09-10,0
"295",2020-09-09,1
"296",2020-09-08,0
"297",2020-09-07,2
"298",2020-09-06,0
"299",2020-09-05,1
"300",2020-09-04,0
"301",2020-09-03,3
"302",2020-09-02,0
"303",2020-09-01,1
"304",2020-08-31,2
"305",2020-08-30,0
"306",2020-08-29,0
"307",2020-08-28,1
"308",2020-08-27,0
"309",2020-08-26,0
"310",2020-08-25,1
"311",2020-08-24,0
"312",2020-08-23,0
"313",2020-08-22,0
"314",2020-08-21,1
"315",2020-08-20,3
"316",2020-08-19,1
"317",2020-08-18,0
"318",2020-08-17,2
"319",2020-08-16,0
"320",2020-08-15,1
"321",2020-08-14,1
"322",2020-08-13,0
"323",2020-08-12,1
"324",2020-08-11,1
"325",2020-08-10,1
"326",2020-08-09,1
"327",2020-08-08,1
"328",2020-08-07,0
"329",2020-08-06,1
"330",2020-08-05,1
"331",2020-08-04,0
"332",2020-08-03,0
"333",2020-08-02,0
"334",2020-08-01,0
"335",2020-07-31,0
"336",2020-07-30,2
"337",2020-07-29,2
"338",2020-07-28,2
"339",2020-07-27,1
"340",2020-07-26,1
"341",2020-07-25,2
"342",2020-07-24,1
"343",2020-07-23,5
"344",2020-07-22,1
"345",2020-07-21,0
"346",2020-07-20,0
"347",2020-07-19,0
"348",2020-07-18,1
"349",2020-07-17,0
"350",2020-07-16,0
"351",2020-07-15,0
"352",2020-07-14,4
"353",2020-07-13,1
"354",2020-07-12,0
