"","date","new_cases"
"1",2022-06-30,734
"2",2022-06-29,740
"3",2022-06-28,839
"4",2022-06-27,826
"5",2022-06-26,511
"6",2022-06-25,422
"7",2022-06-24,410
"8",2022-06-23,468
"9",2022-06-22,502
"10",2022-06-21,512
"11",2022-06-20,549
"12",2022-06-19,360
"13",2022-06-18,320
"14",2022-06-17,402
"15",2022-06-16,486
"16",2022-06-15,534
"17",2022-06-14,552
"18",2022-06-13,548
"19",2022-06-12,395
"20",2022-06-11,429
"21",2022-06-10,435
"22",2022-06-09,590
"23",2022-06-08,683
"24",2022-06-07,604
"25",2022-06-06,519
"26",2022-06-05,377
"27",2022-06-04,440
"28",2022-06-03,602
"29",2022-06-02,616
"30",2022-06-01,757
"31",2022-05-31,832
"32",2022-05-30,845
"33",2022-05-29,574
"34",2022-05-28,469
"35",2022-05-27,643
"36",2022-05-26,725
"37",2022-05-25,785
"38",2022-05-24,877
"39",2022-05-23,945
"40",2022-05-22,653
"41",2022-05-21,522
"42",2022-05-20,732
"43",2022-05-19,900
"44",2022-05-18,1061
"45",2022-05-17,1078
"46",2022-05-16,1045
"47",2022-05-15,746
"48",2022-05-14,586
"49",2022-05-13,778
"50",2022-05-12,758
"51",2022-05-11,1136
"52",2022-05-10,828
"53",2022-05-09,976
"54",2022-05-08,691
"55",2022-05-07,619
"56",2022-05-06,684
"57",2022-05-05,791
"58",2022-05-04,933
"59",2022-05-03,885
"60",2022-05-02,895
"61",2022-05-01,629
"62",2022-04-30,576
"63",2022-04-29,707
"64",2022-04-28,825
"65",2022-04-27,875
"66",2022-04-26,886
"67",2022-04-25,546
"68",2022-04-24,470
"69",2022-04-23,452
"70",2022-04-22,561
"71",2022-04-21,671
"72",2022-04-20,703
"73",2022-04-19,773
"74",2022-04-18,610
"75",2022-04-17,458
"76",2022-04-16,387
"77",2022-04-15,370
"78",2022-04-14,509
"79",2022-04-13,614
"80",2022-04-12,564
"81",2022-04-11,600
"82",2022-04-10,408
"83",2022-04-09,359
"84",2022-04-08,447
"85",2022-04-07,556
"86",2022-04-06,640
"87",2022-04-05,638
"88",2022-04-04,677
"89",2022-04-03,500
"90",2022-04-02,463
"91",2022-04-01,532
"92",2022-03-31,642
"93",2022-03-30,805
"94",2022-03-29,732
"95",2022-03-28,790
"96",2022-03-27,599
"97",2022-03-26,526
"98",2022-03-25,707
"99",2022-03-24,847
"100",2022-03-23,1079
"101",2022-03-22,1144
"102",2022-03-21,1147
"103",2022-03-20,900
"104",2022-03-19,745
"105",2022-03-18,1006
"106",2022-03-17,1179
"107",2022-03-16,1338
"108",2022-03-15,1512
"109",2022-03-14,1646
"110",2022-03-13,1312
"111",2022-03-12,1257
"112",2022-03-11,1674
"113",2022-03-10,2005
"114",2022-03-09,2012
"115",2022-03-08,2360
"116",2022-03-07,2798
"117",2022-03-06,2018
"118",2022-03-05,2014
"119",2022-03-04,2755
"120",2022-03-03,3710
"121",2022-03-02,3681
"122",2022-03-01,3609
"123",2022-02-28,3621
"124",2022-02-27,2524
"125",2022-02-26,2199
"126",2022-02-25,4736
"127",2022-02-24,823
"128",2022-02-23,717
"129",2022-02-22,518
"130",2022-02-21,495
"131",2022-02-20,456
"132",2022-02-19,568
"133",2022-02-18,278
"134",2022-02-17,313
"135",2022-02-16,307
"136",2022-02-15,233
"137",2022-02-14,88
"138",2022-02-13,121
"139",2022-02-12,144
"140",2022-02-11,103
"141",2022-02-10,68
"142",2022-02-09,69
"143",2022-02-08,23
"144",2022-02-07,25
"145",2022-02-06,22
"146",2022-02-05,21
"147",2022-02-04,26
"148",2022-02-03,32
"149",2022-02-02,21
"150",2022-02-01,19
"151",2022-01-31,17
"152",2022-01-30,12
"153",2022-01-29,25
"154",2022-01-28,10
"155",2022-01-27,11
"156",2022-01-26,2
"157",2022-01-25,5
"158",2022-01-24,6
"159",2022-01-23,2
"160",2022-01-22,7
"161",2022-01-21,2
"162",2022-01-20,8
"163",2022-01-19,4
"164",2022-01-18,9
"165",2022-01-17,2
"166",2022-01-16,0
"167",2022-01-15,4
"168",2022-01-14,6
"169",2022-01-13,5
"170",2022-01-12,4
"171",2022-01-11,7
"172",2022-01-10,7
"173",2022-01-09,11
"174",2022-01-08,5
"175",2022-01-07,12
"176",2022-01-06,7
"177",2022-01-05,1
"178",2022-01-04,4
"179",2022-01-03,2
"180",2022-01-02,3
"181",2022-01-01,11
"182",2021-12-31,13
"183",2021-12-30,10
"184",2021-12-29,0
"185",2021-12-28,3
"186",2021-12-27,2
"187",2021-12-26,4
"188",2021-12-25,14
"189",2021-12-24,5
"190",2021-12-23,5
"191",2021-12-22,9
"192",2021-12-21,3
"193",2021-12-20,4
"194",2021-12-19,11
"195",2021-12-18,17
"196",2021-12-17,12
"197",2021-12-16,15
"198",2021-12-15,15
"199",2021-12-14,18
"200",2021-12-13,13
"201",2021-12-12,14
"202",2021-12-11,9
"203",2021-12-10,18
"204",2021-12-09,18
"205",2021-12-08,22
"206",2021-12-07,18
"207",2021-12-06,28
"208",2021-12-05,21
"209",2021-12-04,23
"210",2021-12-03,32
"211",2021-12-02,27
