"","date","new_cases"
"1",2022-06-30,307
"2",2022-06-29,289
"3",2022-06-28,327
"4",2022-06-27,284
"5",2022-06-26,194
"6",2022-06-25,127
"7",2022-06-24,141
"8",2022-06-23,166
"9",2022-06-22,183
"10",2022-06-21,174
"11",2022-06-20,188
"12",2022-06-19,156
"13",2022-06-18,103
"14",2022-06-17,180
"15",2022-06-16,185
"16",2022-06-15,180
"17",2022-06-14,205
"18",2022-06-13,256
"19",2022-06-12,161
"20",2022-06-11,141
"21",2022-06-10,213
"22",2022-06-09,215
"23",2022-06-08,267
"24",2022-06-07,274
"25",2022-06-06,218
"26",2022-06-05,132
"27",2022-06-04,135
"28",2022-06-03,193
"29",2022-06-02,206
"30",2022-06-01,239
"31",2022-05-31,250
"32",2022-05-30,254
"33",2022-05-29,201
"34",2022-05-28,127
"35",2022-05-27,163
"36",2022-05-26,195
"37",2022-05-25,226
"38",2022-05-24,274
"39",2022-05-23,280
"40",2022-05-22,207
"41",2022-05-21,170
"42",2022-05-20,207
"43",2022-05-19,274
"44",2022-05-18,295
"45",2022-05-17,311
"46",2022-05-16,345
"47",2022-05-15,254
"48",2022-05-14,160
"49",2022-05-13,204
"50",2022-05-12,226
"51",2022-05-11,268
"52",2022-05-10,261
"53",2022-05-09,266
"54",2022-05-08,197
"55",2022-05-07,148
"56",2022-05-06,201
"57",2022-05-05,194
"58",2022-05-04,242
"59",2022-05-03,267
"60",2022-05-02,279
"61",2022-05-01,218
"62",2022-04-30,178
"63",2022-04-29,269
"64",2022-04-28,265
"65",2022-04-27,339
"66",2022-04-26,338
"67",2022-04-25,190
"68",2022-04-24,201
"69",2022-04-23,223
"70",2022-04-22,298
"71",2022-04-21,343
"72",2022-04-20,431
"73",2022-04-19,483
"74",2022-04-18,360
"75",2022-04-17,265
"76",2022-04-16,250
"77",2022-04-15,233
"78",2022-04-14,303
"79",2022-04-13,408
"80",2022-04-12,425
"81",2022-04-11,542
"82",2022-04-10,310
"83",2022-04-09,302
"84",2022-04-08,411
"85",2022-04-07,449
"86",2022-04-06,554
"87",2022-04-05,610
"88",2022-04-04,749
"89",2022-04-03,575
"90",2022-04-02,424
"91",2022-04-01,665
"92",2022-03-31,693
"93",2022-03-30,831
"94",2022-03-29,992
"95",2022-03-28,965
"96",2022-03-27,649
"97",2022-03-26,632
"98",2022-03-25,880
"99",2022-03-24,1025
"100",2022-03-23,986
"101",2022-03-22,1288
"102",2022-03-21,1219
"103",2022-03-20,894
"104",2022-03-19,804
"105",2022-03-18,1023
"106",2022-03-17,1152
"107",2022-03-16,1265
"108",2022-03-15,1347
"109",2022-03-14,1425
"110",2022-03-13,1027
"111",2022-03-12,951
"112",2022-03-11,1247
"113",2022-03-10,1357
"114",2022-03-09,1393
"115",2022-03-08,1430
"116",2022-03-07,1687
"117",2022-03-06,1170
"118",2022-03-05,943
"119",2022-03-04,1223
"120",2022-03-03,1243
"121",2022-03-02,1324
"122",2022-03-01,1279
"123",2022-02-28,1190
"124",2022-02-27,738
"125",2022-02-26,707
"126",2022-02-25,1098
"127",2022-02-24,373
"128",2022-02-23,122
"129",2022-02-22,171
"130",2022-02-21,85
"131",2022-02-20,35
"132",2022-02-19,90
"133",2022-02-18,67
"134",2022-02-17,58
"135",2022-02-16,30
"136",2022-02-15,31
"137",2022-02-14,9
"138",2022-02-13,13
"139",2022-02-12,10
"140",2022-02-11,29
"141",2022-02-10,14
"142",2022-02-09,2
"143",2022-02-08,15
"144",2022-02-07,9
"145",2022-02-06,15
"146",2022-02-05,4
"147",2022-02-04,16
"148",2022-02-03,18
"149",2022-02-02,8
"150",2022-02-01,5
"151",2022-01-31,4
"152",2022-01-30,4
"153",2022-01-29,10
"154",2022-01-28,7
"155",2022-01-27,6
"156",2022-01-26,6
"157",2022-01-25,0
"158",2022-01-24,2
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,1
"163",2022-01-19,0
"164",2022-01-18,1
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,3
"168",2022-01-14,0
"169",2022-01-13,1
"170",2022-01-12,4
"171",2022-01-11,3
"172",2022-01-10,2
"173",2022-01-09,2
"174",2022-01-08,10
"175",2022-01-07,7
"176",2022-01-06,14
"177",2022-01-05,5
"178",2022-01-04,9
"179",2022-01-03,11
"180",2022-01-02,8
"181",2022-01-01,9
"182",2021-12-31,11
"183",2021-12-30,18
"184",2021-12-29,12
"185",2021-12-28,0
"186",2021-12-27,2
"187",2021-12-26,1
"188",2021-12-25,2
"189",2021-12-24,5
"190",2021-12-23,8
"191",2021-12-22,12
"192",2021-12-21,9
"193",2021-12-20,8
"194",2021-12-19,3
"195",2021-12-18,2
"196",2021-12-17,12
"197",2021-12-16,10
"198",2021-12-15,11
"199",2021-12-14,7
"200",2021-12-13,7
"201",2021-12-12,1
"202",2021-12-11,2
"203",2021-12-10,2
"204",2021-12-09,5
"205",2021-12-08,4
"206",2021-12-07,7
"207",2021-12-06,8
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,6
"211",2021-12-02,5
