"","date","new_cases"
"1",2022-06-30,1100
"2",2022-06-29,1158
"3",2022-06-28,1249
"4",2022-06-27,1253
"5",2022-06-26,949
"6",2022-06-25,759
"7",2022-06-24,656
"8",2022-06-23,784
"9",2022-06-22,962
"10",2022-06-21,925
"11",2022-06-20,979
"12",2022-06-19,609
"13",2022-06-18,512
"14",2022-06-17,672
"15",2022-06-16,756
"16",2022-06-15,841
"17",2022-06-14,857
"18",2022-06-13,921
"19",2022-06-12,702
"20",2022-06-11,688
"21",2022-06-10,781
"22",2022-06-09,953
"23",2022-06-08,1203
"24",2022-06-07,1104
"25",2022-06-06,952
"26",2022-06-05,771
"27",2022-06-04,686
"28",2022-06-03,1029
"29",2022-06-02,1020
"30",2022-06-01,1245
"31",2022-05-31,1346
"32",2022-05-30,1310
"33",2022-05-29,918
"34",2022-05-28,786
"35",2022-05-27,995
"36",2022-05-26,1095
"37",2022-05-25,1132
"38",2022-05-24,1310
"39",2022-05-23,1284
"40",2022-05-22,900
"41",2022-05-21,813
"42",2022-05-20,1005
"43",2022-05-19,1184
"44",2022-05-18,1341
"45",2022-05-17,1389
"46",2022-05-16,1334
"47",2022-05-15,1024
"48",2022-05-14,873
"49",2022-05-13,1111
"50",2022-05-12,1130
"51",2022-05-11,1392
"52",2022-05-10,1197
"53",2022-05-09,1420
"54",2022-05-08,1050
"55",2022-05-07,929
"56",2022-05-06,1184
"57",2022-05-05,1284
"58",2022-05-04,1398
"59",2022-05-03,1455
"60",2022-05-02,1599
"61",2022-05-01,1138
"62",2022-04-30,942
"63",2022-04-29,1215
"64",2022-04-28,1469
"65",2022-04-27,1522
"66",2022-04-26,1745
"67",2022-04-25,1111
"68",2022-04-24,1019
"69",2022-04-23,992
"70",2022-04-22,1317
"71",2022-04-21,1618
"72",2022-04-20,1700
"73",2022-04-19,1868
"74",2022-04-18,1460
"75",2022-04-17,1074
"76",2022-04-16,1037
"77",2022-04-15,997
"78",2022-04-14,1272
"79",2022-04-13,1627
"80",2022-04-12,1680
"81",2022-04-11,1823
"82",2022-04-10,1290
"83",2022-04-09,1178
"84",2022-04-08,1347
"85",2022-04-07,1638
"86",2022-04-06,1917
"87",2022-04-05,2115
"88",2022-04-04,2233
"89",2022-04-03,1669
"90",2022-04-02,1466
"91",2022-04-01,1875
"92",2022-03-31,2129
"93",2022-03-30,2385
"94",2022-03-29,2544
"95",2022-03-28,2821
"96",2022-03-27,2062
"97",2022-03-26,1815
"98",2022-03-25,2404
"99",2022-03-24,2666
"100",2022-03-23,3151
"101",2022-03-22,3473
"102",2022-03-21,3496
"103",2022-03-20,2267
"104",2022-03-19,1895
"105",2022-03-18,2280
"106",2022-03-17,2366
"107",2022-03-16,2497
"108",2022-03-15,2384
"109",2022-03-14,2651
"110",2022-03-13,1895
"111",2022-03-12,1664
"112",2022-03-11,2027
"113",2022-03-10,2170
"114",2022-03-09,2023
"115",2022-03-08,2021
"116",2022-03-07,1908
"117",2022-03-06,1310
"118",2022-03-05,1019
"119",2022-03-04,1172
"120",2022-03-03,1165
"121",2022-03-02,1327
"122",2022-03-01,1035
"123",2022-02-28,749
"124",2022-02-27,562
"125",2022-02-26,638
"126",2022-02-25,777
"127",2022-02-24,535
"128",2022-02-23,215
"129",2022-02-22,200
"130",2022-02-21,108
"131",2022-02-20,106
"132",2022-02-19,73
"133",2022-02-18,38
"134",2022-02-17,33
"135",2022-02-16,9
"136",2022-02-15,8
"137",2022-02-14,3
"138",2022-02-13,2
"139",2022-02-12,2
"140",2022-02-11,1
"141",2022-02-10,0
"142",2022-02-09,1
"143",2022-02-08,2
"144",2022-02-07,1
"145",2022-02-06,0
"146",2022-02-05,3
"147",2022-02-04,0
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,2
"152",2022-01-30,1
"153",2022-01-29,1
"154",2022-01-28,0
"155",2022-01-27,4
"156",2022-01-26,1
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,1
"165",2022-01-17,0
"166",2022-01-16,1
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,2
"170",2022-01-12,1
"171",2022-01-11,3
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,1
"185",2021-12-28,0
"186",2021-12-27,1
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,2
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,1
"201",2021-12-12,0
"202",2021-12-11,2
"203",2021-12-10,3
"204",2021-12-09,1
"205",2021-12-08,1
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,2
"209",2021-12-04,1
"210",2021-12-03,0
"211",2021-12-02,0
