"","date","new_cases"
"1",2022-06-30,608
"2",2022-06-29,657
"3",2022-06-28,712
"4",2022-06-27,756
"5",2022-06-26,544
"6",2022-06-25,418
"7",2022-06-24,372
"8",2022-06-23,450
"9",2022-06-22,522
"10",2022-06-21,567
"11",2022-06-20,505
"12",2022-06-19,394
"13",2022-06-18,312
"14",2022-06-17,397
"15",2022-06-16,408
"16",2022-06-15,471
"17",2022-06-14,523
"18",2022-06-13,518
"19",2022-06-12,406
"20",2022-06-11,436
"21",2022-06-10,514
"22",2022-06-09,633
"23",2022-06-08,881
"24",2022-06-07,636
"25",2022-06-06,557
"26",2022-06-05,456
"27",2022-06-04,434
"28",2022-06-03,550
"29",2022-06-02,565
"30",2022-06-01,688
"31",2022-05-31,732
"32",2022-05-30,694
"33",2022-05-29,531
"34",2022-05-28,414
"35",2022-05-27,516
"36",2022-05-26,551
"37",2022-05-25,555
"38",2022-05-24,641
"39",2022-05-23,616
"40",2022-05-22,444
"41",2022-05-21,356
"42",2022-05-20,468
"43",2022-05-19,544
"44",2022-05-18,606
"45",2022-05-17,646
"46",2022-05-16,609
"47",2022-05-15,517
"48",2022-05-14,439
"49",2022-05-13,462
"50",2022-05-12,461
"51",2022-05-11,645
"52",2022-05-10,501
"53",2022-05-09,602
"54",2022-05-08,505
"55",2022-05-07,443
"56",2022-05-06,461
"57",2022-05-05,491
"58",2022-05-04,582
"59",2022-05-03,628
"60",2022-05-02,605
"61",2022-05-01,426
"62",2022-04-30,380
"63",2022-04-29,441
"64",2022-04-28,552
"65",2022-04-27,593
"66",2022-04-26,633
"67",2022-04-25,390
"68",2022-04-24,349
"69",2022-04-23,376
"70",2022-04-22,465
"71",2022-04-21,543
"72",2022-04-20,636
"73",2022-04-19,702
"74",2022-04-18,530
"75",2022-04-17,424
"76",2022-04-16,406
"77",2022-04-15,339
"78",2022-04-14,488
"79",2022-04-13,655
"80",2022-04-12,612
"81",2022-04-11,687
"82",2022-04-10,551
"83",2022-04-09,463
"84",2022-04-08,579
"85",2022-04-07,673
"86",2022-04-06,785
"87",2022-04-05,782
"88",2022-04-04,905
"89",2022-04-03,746
"90",2022-04-02,634
"91",2022-04-01,753
"92",2022-03-31,878
"93",2022-03-30,1017
"94",2022-03-29,1054
"95",2022-03-28,1039
"96",2022-03-27,895
"97",2022-03-26,724
"98",2022-03-25,872
"99",2022-03-24,1067
"100",2022-03-23,1207
"101",2022-03-22,1273
"102",2022-03-21,1381
"103",2022-03-20,953
"104",2022-03-19,795
"105",2022-03-18,1043
"106",2022-03-17,1113
"107",2022-03-16,1410
"108",2022-03-15,1314
"109",2022-03-14,1591
"110",2022-03-13,1199
"111",2022-03-12,1201
"112",2022-03-11,1547
"113",2022-03-10,1756
"114",2022-03-09,1859
"115",2022-03-08,1884
"116",2022-03-07,1782
"117",2022-03-06,1543
"118",2022-03-05,1198
"119",2022-03-04,1311
"120",2022-03-03,1361
"121",2022-03-02,1536
"122",2022-03-01,1160
"123",2022-02-28,750
"124",2022-02-27,638
"125",2022-02-26,536
"126",2022-02-25,623
"127",2022-02-24,255
"128",2022-02-23,142
"129",2022-02-22,138
"130",2022-02-21,85
"131",2022-02-20,87
"132",2022-02-19,52
"133",2022-02-18,34
"134",2022-02-17,41
"135",2022-02-16,20
"136",2022-02-15,33
"137",2022-02-14,6
"138",2022-02-13,4
"139",2022-02-12,12
"140",2022-02-11,5
"141",2022-02-10,5
"142",2022-02-09,4
"143",2022-02-08,3
"144",2022-02-07,4
"145",2022-02-06,1
"146",2022-02-05,6
"147",2022-02-04,0
"148",2022-02-03,3
"149",2022-02-02,5
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,1
"153",2022-01-29,1
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,1
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,1
"166",2022-01-16,0
"167",2022-01-15,1
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,1
"172",2022-01-10,1
"173",2022-01-09,1
"174",2022-01-08,1
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
