"","date","new_cases"
"1",2022-06-30,654
"2",2022-06-29,670
"3",2022-06-28,641
"4",2022-06-27,691
"5",2022-06-26,519
"6",2022-06-25,388
"7",2022-06-24,345
"8",2022-06-23,401
"9",2022-06-22,424
"10",2022-06-21,457
"11",2022-06-20,485
"12",2022-06-19,360
"13",2022-06-18,260
"14",2022-06-17,385
"15",2022-06-16,424
"16",2022-06-15,455
"17",2022-06-14,468
"18",2022-06-13,489
"19",2022-06-12,364
"20",2022-06-11,364
"21",2022-06-10,379
"22",2022-06-09,506
"23",2022-06-08,607
"24",2022-06-07,538
"25",2022-06-06,451
"26",2022-06-05,332
"27",2022-06-04,319
"28",2022-06-03,520
"29",2022-06-02,536
"30",2022-06-01,659
"31",2022-05-31,696
"32",2022-05-30,760
"33",2022-05-29,510
"34",2022-05-28,398
"35",2022-05-27,578
"36",2022-05-26,595
"37",2022-05-25,643
"38",2022-05-24,710
"39",2022-05-23,747
"40",2022-05-22,545
"41",2022-05-21,468
"42",2022-05-20,588
"43",2022-05-19,810
"44",2022-05-18,910
"45",2022-05-17,934
"46",2022-05-16,997
"47",2022-05-15,665
"48",2022-05-14,551
"49",2022-05-13,691
"50",2022-05-12,735
"51",2022-05-11,971
"52",2022-05-10,820
"53",2022-05-09,894
"54",2022-05-08,578
"55",2022-05-07,531
"56",2022-05-06,614
"57",2022-05-05,633
"58",2022-05-04,821
"59",2022-05-03,726
"60",2022-05-02,730
"61",2022-05-01,548
"62",2022-04-30,424
"63",2022-04-29,540
"64",2022-04-28,670
"65",2022-04-27,721
"66",2022-04-26,644
"67",2022-04-25,486
"68",2022-04-24,413
"69",2022-04-23,467
"70",2022-04-22,720
"71",2022-04-21,733
"72",2022-04-20,719
"73",2022-04-19,805
"74",2022-04-18,549
"75",2022-04-17,400
"76",2022-04-16,377
"77",2022-04-15,349
"78",2022-04-14,467
"79",2022-04-13,581
"80",2022-04-12,567
"81",2022-04-11,619
"82",2022-04-10,412
"83",2022-04-09,365
"84",2022-04-08,465
"85",2022-04-07,526
"86",2022-04-06,726
"87",2022-04-05,675
"88",2022-04-04,775
"89",2022-04-03,617
"90",2022-04-02,492
"91",2022-04-01,672
"92",2022-03-31,793
"93",2022-03-30,878
"94",2022-03-29,924
"95",2022-03-28,986
"96",2022-03-27,721
"97",2022-03-26,662
"98",2022-03-25,906
"99",2022-03-24,1056
"100",2022-03-23,1273
"101",2022-03-22,1428
"102",2022-03-21,1562
"103",2022-03-20,1203
"104",2022-03-19,1002
"105",2022-03-18,1320
"106",2022-03-17,1588
"107",2022-03-16,1888
"108",2022-03-15,2021
"109",2022-03-14,2472
"110",2022-03-13,1860
"111",2022-03-12,1745
"112",2022-03-11,2469
"113",2022-03-10,3020
"114",2022-03-09,2904
"115",2022-03-08,3590
"116",2022-03-07,4282
"117",2022-03-06,3347
"118",2022-03-05,3194
"119",2022-03-04,4409
"120",2022-03-03,6260
"121",2022-03-02,6195
"122",2022-03-01,6298
"123",2022-02-28,5888
"124",2022-02-27,4363
"125",2022-02-26,3955
"126",2022-02-25,7533
"127",2022-02-24,1168
"128",2022-02-23,1181
"129",2022-02-22,916
"130",2022-02-21,872
"131",2022-02-20,738
"132",2022-02-19,984
"133",2022-02-18,616
"134",2022-02-17,831
"135",2022-02-16,617
"136",2022-02-15,532
"137",2022-02-14,329
"138",2022-02-13,319
"139",2022-02-12,382
"140",2022-02-11,292
"141",2022-02-10,209
"142",2022-02-09,216
"143",2022-02-08,78
"144",2022-02-07,102
"145",2022-02-06,75
"146",2022-02-05,80
"147",2022-02-04,100
"148",2022-02-03,66
"149",2022-02-02,75
"150",2022-02-01,61
"151",2022-01-31,48
"152",2022-01-30,41
"153",2022-01-29,58
"154",2022-01-28,35
"155",2022-01-27,48
"156",2022-01-26,22
"157",2022-01-25,8
"158",2022-01-24,3
"159",2022-01-23,5
"160",2022-01-22,8
"161",2022-01-21,5
"162",2022-01-20,9
"163",2022-01-19,5
"164",2022-01-18,5
"165",2022-01-17,1
"166",2022-01-16,0
"167",2022-01-15,3
"168",2022-01-14,3
"169",2022-01-13,1
"170",2022-01-12,1
"171",2022-01-11,3
"172",2022-01-10,3
"173",2022-01-09,4
"174",2022-01-08,10
"175",2022-01-07,7
"176",2022-01-06,17
"177",2022-01-05,4
"178",2022-01-04,1
"179",2022-01-03,3
"180",2022-01-02,5
"181",2022-01-01,19
"182",2021-12-31,14
"183",2021-12-30,14
"184",2021-12-29,18
"185",2021-12-28,23
"186",2021-12-27,7
"187",2021-12-26,10
"188",2021-12-25,16
"189",2021-12-24,41
"190",2021-12-23,16
"191",2021-12-22,41
"192",2021-12-21,26
"193",2021-12-20,10
"194",2021-12-19,20
"195",2021-12-18,39
"196",2021-12-17,24
"197",2021-12-16,25
"198",2021-12-15,39
"199",2021-12-14,26
"200",2021-12-13,26
"201",2021-12-12,33
"202",2021-12-11,52
"203",2021-12-10,43
"204",2021-12-09,44
"205",2021-12-08,54
"206",2021-12-07,44
"207",2021-12-06,30
"208",2021-12-05,52
"209",2021-12-04,41
"210",2021-12-03,50
"211",2021-12-02,45
