"","date","new_cases"
"1",2022-06-30,264
"2",2022-06-29,289
"3",2022-06-28,256
"4",2022-06-27,265
"5",2022-06-26,191
"6",2022-06-25,125
"7",2022-06-24,94
"8",2022-06-23,165
"9",2022-06-22,144
"10",2022-06-21,159
"11",2022-06-20,186
"12",2022-06-19,115
"13",2022-06-18,93
"14",2022-06-17,106
"15",2022-06-16,139
"16",2022-06-15,159
"17",2022-06-14,183
"18",2022-06-13,191
"19",2022-06-12,143
"20",2022-06-11,149
"21",2022-06-10,156
"22",2022-06-09,174
"23",2022-06-08,284
"24",2022-06-07,212
"25",2022-06-06,159
"26",2022-06-05,118
"27",2022-06-04,135
"28",2022-06-03,206
"29",2022-06-02,190
"30",2022-06-01,244
"31",2022-05-31,218
"32",2022-05-30,240
"33",2022-05-29,137
"34",2022-05-28,135
"35",2022-05-27,175
"36",2022-05-26,162
"37",2022-05-25,217
"38",2022-05-24,224
"39",2022-05-23,274
"40",2022-05-22,168
"41",2022-05-21,170
"42",2022-05-20,260
"43",2022-05-19,276
"44",2022-05-18,313
"45",2022-05-17,310
"46",2022-05-16,364
"47",2022-05-15,219
"48",2022-05-14,199
"49",2022-05-13,223
"50",2022-05-12,221
"51",2022-05-11,273
"52",2022-05-10,259
"53",2022-05-09,282
"54",2022-05-08,187
"55",2022-05-07,177
"56",2022-05-06,212
"57",2022-05-05,215
"58",2022-05-04,232
"59",2022-05-03,283
"60",2022-05-02,295
"61",2022-05-01,169
"62",2022-04-30,154
"63",2022-04-29,198
"64",2022-04-28,300
"65",2022-04-27,310
"66",2022-04-26,350
"67",2022-04-25,170
"68",2022-04-24,201
"69",2022-04-23,189
"70",2022-04-22,256
"71",2022-04-21,319
"72",2022-04-20,365
"73",2022-04-19,370
"74",2022-04-18,284
"75",2022-04-17,187
"76",2022-04-16,186
"77",2022-04-15,201
"78",2022-04-14,264
"79",2022-04-13,362
"80",2022-04-12,363
"81",2022-04-11,479
"82",2022-04-10,285
"83",2022-04-09,269
"84",2022-04-08,359
"85",2022-04-07,440
"86",2022-04-06,487
"87",2022-04-05,607
"88",2022-04-04,695
"89",2022-04-03,456
"90",2022-04-02,419
"91",2022-04-01,591
"92",2022-03-31,716
"93",2022-03-30,921
"94",2022-03-29,895
"95",2022-03-28,1015
"96",2022-03-27,692
"97",2022-03-26,554
"98",2022-03-25,770
"99",2022-03-24,873
"100",2022-03-23,1060
"101",2022-03-22,1064
"102",2022-03-21,1245
"103",2022-03-20,798
"104",2022-03-19,677
"105",2022-03-18,982
"106",2022-03-17,965
"107",2022-03-16,1100
"108",2022-03-15,1049
"109",2022-03-14,1111
"110",2022-03-13,682
"111",2022-03-12,601
"112",2022-03-11,733
"113",2022-03-10,854
"114",2022-03-09,700
"115",2022-03-08,707
"116",2022-03-07,705
"117",2022-03-06,429
"118",2022-03-05,335
"119",2022-03-04,328
"120",2022-03-03,326
"121",2022-03-02,322
"122",2022-03-01,272
"123",2022-02-28,169
"124",2022-02-27,139
"125",2022-02-26,122
"126",2022-02-25,173
"127",2022-02-24,57
"128",2022-02-23,46
"129",2022-02-22,33
"130",2022-02-21,23
"131",2022-02-20,22
"132",2022-02-19,22
"133",2022-02-18,22
"134",2022-02-17,15
"135",2022-02-16,3
"136",2022-02-15,15
"137",2022-02-14,2
"138",2022-02-13,4
"139",2022-02-12,6
"140",2022-02-11,4
"141",2022-02-10,5
"142",2022-02-09,1
"143",2022-02-08,0
"144",2022-02-07,2
"145",2022-02-06,6
"146",2022-02-05,4
"147",2022-02-04,8
"148",2022-02-03,3
"149",2022-02-02,3
"150",2022-02-01,4
"151",2022-01-31,2
"152",2022-01-30,2
"153",2022-01-29,2
"154",2022-01-28,6
"155",2022-01-27,1
"156",2022-01-26,8
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,4
"162",2022-01-20,3
"163",2022-01-19,2
"164",2022-01-18,2
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,2
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,2
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,1
"183",2021-12-30,1
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,2
"211",2021-12-02,0
