"","date","new_cases"
"1",2022-06-30,84
"2",2022-06-29,129
"3",2022-06-28,106
"4",2022-06-27,112
"5",2022-06-26,70
"6",2022-06-25,66
"7",2022-06-24,52
"8",2022-06-23,87
"9",2022-06-22,65
"10",2022-06-21,82
"11",2022-06-20,76
"12",2022-06-19,48
"13",2022-06-18,59
"14",2022-06-17,75
"15",2022-06-16,82
"16",2022-06-15,78
"17",2022-06-14,81
"18",2022-06-13,97
"19",2022-06-12,72
"20",2022-06-11,64
"21",2022-06-10,77
"22",2022-06-09,102
"23",2022-06-08,103
"24",2022-06-07,119
"25",2022-06-06,73
"26",2022-06-05,80
"27",2022-06-04,59
"28",2022-06-03,87
"29",2022-06-02,81
"30",2022-06-01,111
"31",2022-05-31,102
"32",2022-05-30,119
"33",2022-05-29,99
"34",2022-05-28,80
"35",2022-05-27,127
"36",2022-05-26,105
"37",2022-05-25,126
"38",2022-05-24,142
"39",2022-05-23,153
"40",2022-05-22,78
"41",2022-05-21,90
"42",2022-05-20,124
"43",2022-05-19,122
"44",2022-05-18,179
"45",2022-05-17,176
"46",2022-05-16,187
"47",2022-05-15,122
"48",2022-05-14,93
"49",2022-05-13,121
"50",2022-05-12,106
"51",2022-05-11,150
"52",2022-05-10,158
"53",2022-05-09,181
"54",2022-05-08,108
"55",2022-05-07,77
"56",2022-05-06,114
"57",2022-05-05,107
"58",2022-05-04,137
"59",2022-05-03,143
"60",2022-05-02,169
"61",2022-05-01,107
"62",2022-04-30,119
"63",2022-04-29,126
"64",2022-04-28,144
"65",2022-04-27,132
"66",2022-04-26,208
"67",2022-04-25,114
"68",2022-04-24,97
"69",2022-04-23,88
"70",2022-04-22,166
"71",2022-04-21,179
"72",2022-04-20,206
"73",2022-04-19,212
"74",2022-04-18,151
"75",2022-04-17,105
"76",2022-04-16,112
"77",2022-04-15,107
"78",2022-04-14,165
"79",2022-04-13,187
"80",2022-04-12,177
"81",2022-04-11,216
"82",2022-04-10,152
"83",2022-04-09,114
"84",2022-04-08,166
"85",2022-04-07,219
"86",2022-04-06,269
"87",2022-04-05,303
"88",2022-04-04,372
"89",2022-04-03,267
"90",2022-04-02,226
"91",2022-04-01,286
"92",2022-03-31,354
"93",2022-03-30,346
"94",2022-03-29,440
"95",2022-03-28,479
"96",2022-03-27,352
"97",2022-03-26,316
"98",2022-03-25,390
"99",2022-03-24,422
"100",2022-03-23,481
"101",2022-03-22,506
"102",2022-03-21,594
"103",2022-03-20,459
"104",2022-03-19,326
"105",2022-03-18,460
"106",2022-03-17,497
"107",2022-03-16,625
"108",2022-03-15,585
"109",2022-03-14,639
"110",2022-03-13,457
"111",2022-03-12,390
"112",2022-03-11,495
"113",2022-03-10,509
"114",2022-03-09,635
"115",2022-03-08,634
"116",2022-03-07,661
"117",2022-03-06,476
"118",2022-03-05,433
"119",2022-03-04,458
"120",2022-03-03,462
"121",2022-03-02,537
"122",2022-03-01,416
"123",2022-02-28,381
"124",2022-02-27,261
"125",2022-02-26,181
"126",2022-02-25,355
"127",2022-02-24,33
"128",2022-02-23,76
"129",2022-02-22,55
"130",2022-02-21,21
"131",2022-02-20,23
"132",2022-02-19,9
"133",2022-02-18,10
"134",2022-02-17,13
"135",2022-02-16,27
"136",2022-02-15,6
"137",2022-02-14,9
"138",2022-02-13,8
"139",2022-02-12,11
"140",2022-02-11,8
"141",2022-02-10,12
"142",2022-02-09,5
"143",2022-02-08,2
"144",2022-02-07,4
"145",2022-02-06,8
"146",2022-02-05,2
"147",2022-02-04,3
"148",2022-02-03,13
"149",2022-02-02,8
"150",2022-02-01,2
"151",2022-01-31,1
"152",2022-01-30,3
"153",2022-01-29,8
"154",2022-01-28,6
"155",2022-01-27,8
"156",2022-01-26,7
"157",2022-01-25,5
"158",2022-01-24,2
"159",2022-01-23,1
"160",2022-01-22,5
"161",2022-01-21,6
"162",2022-01-20,4
"163",2022-01-19,10
"164",2022-01-18,13
"165",2022-01-17,6
"166",2022-01-16,7
"167",2022-01-15,2
"168",2022-01-14,7
"169",2022-01-13,7
"170",2022-01-12,1
"171",2022-01-11,4
"172",2022-01-10,1
"173",2022-01-09,1
"174",2022-01-08,1
"175",2022-01-07,1
"176",2022-01-06,2
"177",2022-01-05,1
"178",2022-01-04,0
"179",2022-01-03,4
"180",2022-01-02,1
"181",2022-01-01,1
"182",2021-12-31,3
"183",2021-12-30,4
"184",2021-12-29,1
"185",2021-12-28,4
"186",2021-12-27,0
"187",2021-12-26,3
"188",2021-12-25,4
"189",2021-12-24,7
"190",2021-12-23,5
"191",2021-12-22,4
"192",2021-12-21,4
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,2
"197",2021-12-16,1
"198",2021-12-15,1
"199",2021-12-14,1
"200",2021-12-13,1
"201",2021-12-12,0
"202",2021-12-11,1
"203",2021-12-10,0
"204",2021-12-09,1
"205",2021-12-08,1
"206",2021-12-07,1
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,1
"211",2021-12-02,1
