"","date","new_cases"
"1",2022-06-30,208
"2",2022-06-29,255
"3",2022-06-28,203
"4",2022-06-27,234
"5",2022-06-26,151
"6",2022-06-25,132
"7",2022-06-24,110
"8",2022-06-23,145
"9",2022-06-22,151
"10",2022-06-21,134
"11",2022-06-20,179
"12",2022-06-19,117
"13",2022-06-18,101
"14",2022-06-17,158
"15",2022-06-16,168
"16",2022-06-15,225
"17",2022-06-14,223
"18",2022-06-13,244
"19",2022-06-12,189
"20",2022-06-11,165
"21",2022-06-10,255
"22",2022-06-09,279
"23",2022-06-08,326
"24",2022-06-07,323
"25",2022-06-06,194
"26",2022-06-05,182
"27",2022-06-04,155
"28",2022-06-03,219
"29",2022-06-02,232
"30",2022-06-01,301
"31",2022-05-31,343
"32",2022-05-30,285
"33",2022-05-29,194
"34",2022-05-28,157
"35",2022-05-27,201
"36",2022-05-26,219
"37",2022-05-25,261
"38",2022-05-24,260
"39",2022-05-23,264
"40",2022-05-22,203
"41",2022-05-21,187
"42",2022-05-20,198
"43",2022-05-19,240
"44",2022-05-18,286
"45",2022-05-17,323
"46",2022-05-16,344
"47",2022-05-15,235
"48",2022-05-14,181
"49",2022-05-13,240
"50",2022-05-12,244
"51",2022-05-11,300
"52",2022-05-10,265
"53",2022-05-09,353
"54",2022-05-08,227
"55",2022-05-07,184
"56",2022-05-06,266
"57",2022-05-05,275
"58",2022-05-04,353
"59",2022-05-03,316
"60",2022-05-02,363
"61",2022-05-01,267
"62",2022-04-30,211
"63",2022-04-29,273
"64",2022-04-28,312
"65",2022-04-27,326
"66",2022-04-26,340
"67",2022-04-25,231
"68",2022-04-24,234
"69",2022-04-23,201
"70",2022-04-22,325
"71",2022-04-21,357
"72",2022-04-20,410
"73",2022-04-19,469
"74",2022-04-18,327
"75",2022-04-17,277
"76",2022-04-16,272
"77",2022-04-15,227
"78",2022-04-14,335
"79",2022-04-13,415
"80",2022-04-12,444
"81",2022-04-11,539
"82",2022-04-10,355
"83",2022-04-09,341
"84",2022-04-08,422
"85",2022-04-07,541
"86",2022-04-06,632
"87",2022-04-05,684
"88",2022-04-04,769
"89",2022-04-03,531
"90",2022-04-02,509
"91",2022-04-01,664
"92",2022-03-31,774
"93",2022-03-30,815
"94",2022-03-29,850
"95",2022-03-28,913
"96",2022-03-27,701
"97",2022-03-26,527
"98",2022-03-25,712
"99",2022-03-24,816
"100",2022-03-23,879
"101",2022-03-22,921
"102",2022-03-21,946
"103",2022-03-20,663
"104",2022-03-19,540
"105",2022-03-18,720
"106",2022-03-17,722
"107",2022-03-16,819
"108",2022-03-15,800
"109",2022-03-14,886
"110",2022-03-13,529
"111",2022-03-12,470
"112",2022-03-11,667
"113",2022-03-10,685
"114",2022-03-09,653
"115",2022-03-08,653
"116",2022-03-07,635
"117",2022-03-06,399
"118",2022-03-05,385
"119",2022-03-04,417
"120",2022-03-03,360
"121",2022-03-02,386
"122",2022-03-01,365
"123",2022-02-28,267
"124",2022-02-27,168
"125",2022-02-26,114
"126",2022-02-25,190
"127",2022-02-24,121
"128",2022-02-23,72
"129",2022-02-22,60
"130",2022-02-21,24
"131",2022-02-20,11
"132",2022-02-19,13
"133",2022-02-18,12
"134",2022-02-17,11
"135",2022-02-16,2
"136",2022-02-15,5
"137",2022-02-14,6
"138",2022-02-13,6
"139",2022-02-12,3
"140",2022-02-11,2
"141",2022-02-10,0
"142",2022-02-09,6
"143",2022-02-08,0
"144",2022-02-07,2
"145",2022-02-06,1
"146",2022-02-05,0
"147",2022-02-04,0
"148",2022-02-03,1
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,1
"154",2022-01-28,0
"155",2022-01-27,1
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,1
"159",2022-01-23,1
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,1
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
