"","date","new_cases"
"1",2022-06-30,226
"2",2022-06-29,279
"3",2022-06-28,273
"4",2022-06-27,288
"5",2022-06-26,196
"6",2022-06-25,188
"7",2022-06-24,171
"8",2022-06-23,178
"9",2022-06-22,203
"10",2022-06-21,263
"11",2022-06-20,238
"12",2022-06-19,177
"13",2022-06-18,151
"14",2022-06-17,190
"15",2022-06-16,226
"16",2022-06-15,229
"17",2022-06-14,232
"18",2022-06-13,249
"19",2022-06-12,189
"20",2022-06-11,163
"21",2022-06-10,183
"22",2022-06-09,253
"23",2022-06-08,330
"24",2022-06-07,289
"25",2022-06-06,261
"26",2022-06-05,157
"27",2022-06-04,163
"28",2022-06-03,275
"29",2022-06-02,247
"30",2022-06-01,339
"31",2022-05-31,341
"32",2022-05-30,363
"33",2022-05-29,264
"34",2022-05-28,207
"35",2022-05-27,275
"36",2022-05-26,295
"37",2022-05-25,312
"38",2022-05-24,362
"39",2022-05-23,323
"40",2022-05-22,236
"41",2022-05-21,174
"42",2022-05-20,206
"43",2022-05-19,272
"44",2022-05-18,268
"45",2022-05-17,305
"46",2022-05-16,323
"47",2022-05-15,235
"48",2022-05-14,191
"49",2022-05-13,207
"50",2022-05-12,247
"51",2022-05-11,279
"52",2022-05-10,291
"53",2022-05-09,344
"54",2022-05-08,223
"55",2022-05-07,189
"56",2022-05-06,233
"57",2022-05-05,255
"58",2022-05-04,333
"59",2022-05-03,284
"60",2022-05-02,333
"61",2022-05-01,264
"62",2022-04-30,236
"63",2022-04-29,280
"64",2022-04-28,288
"65",2022-04-27,361
"66",2022-04-26,348
"67",2022-04-25,237
"68",2022-04-24,179
"69",2022-04-23,226
"70",2022-04-22,292
"71",2022-04-21,315
"72",2022-04-20,320
"73",2022-04-19,331
"74",2022-04-18,310
"75",2022-04-17,188
"76",2022-04-16,194
"77",2022-04-15,159
"78",2022-04-14,283
"79",2022-04-13,332
"80",2022-04-12,315
"81",2022-04-11,408
"82",2022-04-10,271
"83",2022-04-09,224
"84",2022-04-08,306
"85",2022-04-07,376
"86",2022-04-06,447
"87",2022-04-05,438
"88",2022-04-04,580
"89",2022-04-03,398
"90",2022-04-02,357
"91",2022-04-01,503
"92",2022-03-31,581
"93",2022-03-30,699
"94",2022-03-29,610
"95",2022-03-28,692
"96",2022-03-27,495
"97",2022-03-26,416
"98",2022-03-25,600
"99",2022-03-24,521
"100",2022-03-23,708
"101",2022-03-22,591
"102",2022-03-21,693
"103",2022-03-20,402
"104",2022-03-19,311
"105",2022-03-18,391
"106",2022-03-17,496
"107",2022-03-16,522
"108",2022-03-15,490
"109",2022-03-14,522
"110",2022-03-13,373
"111",2022-03-12,376
"112",2022-03-11,425
"113",2022-03-10,445
"114",2022-03-09,449
"115",2022-03-08,452
"116",2022-03-07,438
"117",2022-03-06,327
"118",2022-03-05,233
"119",2022-03-04,261
"120",2022-03-03,304
"121",2022-03-02,269
"122",2022-03-01,274
"123",2022-02-28,200
"124",2022-02-27,177
"125",2022-02-26,133
"126",2022-02-25,228
"127",2022-02-24,83
"128",2022-02-23,120
"129",2022-02-22,91
"130",2022-02-21,75
"131",2022-02-20,57
"132",2022-02-19,47
"133",2022-02-18,37
"134",2022-02-17,56
"135",2022-02-16,52
"136",2022-02-15,14
"137",2022-02-14,8
"138",2022-02-13,2
"139",2022-02-12,1
"140",2022-02-11,1
"141",2022-02-10,1
"142",2022-02-09,1
"143",2022-02-08,1
"144",2022-02-07,1
"145",2022-02-06,0
"146",2022-02-05,3
"147",2022-02-04,0
"148",2022-02-03,2
"149",2022-02-02,0
"150",2022-02-01,2
"151",2022-01-31,1
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,1
"155",2022-01-27,2
"156",2022-01-26,2
"157",2022-01-25,0
"158",2022-01-24,2
"159",2022-01-23,1
"160",2022-01-22,1
"161",2022-01-21,8
"162",2022-01-20,1
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,1
"203",2021-12-10,0
"204",2021-12-09,1
"205",2021-12-08,0
"206",2021-12-07,1
"207",2021-12-06,2
"208",2021-12-05,3
"209",2021-12-04,0
"210",2021-12-03,1
"211",2021-12-02,1
