"","date","new_cases"
"1",2022-06-30,165
"2",2022-06-29,182
"3",2022-06-28,140
"4",2022-06-27,179
"5",2022-06-26,125
"6",2022-06-25,87
"7",2022-06-24,70
"8",2022-06-23,146
"9",2022-06-22,149
"10",2022-06-21,160
"11",2022-06-20,171
"12",2022-06-19,95
"13",2022-06-18,74
"14",2022-06-17,135
"15",2022-06-16,131
"16",2022-06-15,149
"17",2022-06-14,143
"18",2022-06-13,205
"19",2022-06-12,102
"20",2022-06-11,93
"21",2022-06-10,136
"22",2022-06-09,156
"23",2022-06-08,173
"24",2022-06-07,214
"25",2022-06-06,141
"26",2022-06-05,115
"27",2022-06-04,105
"28",2022-06-03,181
"29",2022-06-02,162
"30",2022-06-01,199
"31",2022-05-31,228
"32",2022-05-30,253
"33",2022-05-29,142
"34",2022-05-28,162
"35",2022-05-27,170
"36",2022-05-26,235
"37",2022-05-25,226
"38",2022-05-24,241
"39",2022-05-23,278
"40",2022-05-22,161
"41",2022-05-21,146
"42",2022-05-20,197
"43",2022-05-19,214
"44",2022-05-18,268
"45",2022-05-17,281
"46",2022-05-16,295
"47",2022-05-15,207
"48",2022-05-14,157
"49",2022-05-13,208
"50",2022-05-12,228
"51",2022-05-11,247
"52",2022-05-10,258
"53",2022-05-09,276
"54",2022-05-08,152
"55",2022-05-07,130
"56",2022-05-06,177
"57",2022-05-05,234
"58",2022-05-04,213
"59",2022-05-03,229
"60",2022-05-02,268
"61",2022-05-01,146
"62",2022-04-30,140
"63",2022-04-29,206
"64",2022-04-28,238
"65",2022-04-27,277
"66",2022-04-26,301
"67",2022-04-25,215
"68",2022-04-24,172
"69",2022-04-23,206
"70",2022-04-22,279
"71",2022-04-21,403
"72",2022-04-20,450
"73",2022-04-19,538
"74",2022-04-18,368
"75",2022-04-17,296
"76",2022-04-16,295
"77",2022-04-15,258
"78",2022-04-14,390
"79",2022-04-13,479
"80",2022-04-12,457
"81",2022-04-11,559
"82",2022-04-10,313
"83",2022-04-09,345
"84",2022-04-08,481
"85",2022-04-07,491
"86",2022-04-06,552
"87",2022-04-05,623
"88",2022-04-04,721
"89",2022-04-03,408
"90",2022-04-02,385
"91",2022-04-01,526
"92",2022-03-31,564
"93",2022-03-30,661
"94",2022-03-29,635
"95",2022-03-28,734
"96",2022-03-27,438
"97",2022-03-26,392
"98",2022-03-25,520
"99",2022-03-24,560
"100",2022-03-23,676
"101",2022-03-22,731
"102",2022-03-21,802
"103",2022-03-20,423
"104",2022-03-19,418
"105",2022-03-18,555
"106",2022-03-17,625
"107",2022-03-16,698
"108",2022-03-15,666
"109",2022-03-14,706
"110",2022-03-13,486
"111",2022-03-12,441
"112",2022-03-11,670
"113",2022-03-10,769
"114",2022-03-09,688
"115",2022-03-08,709
"116",2022-03-07,719
"117",2022-03-06,508
"118",2022-03-05,383
"119",2022-03-04,486
"120",2022-03-03,514
"121",2022-03-02,519
"122",2022-03-01,379
"123",2022-02-28,332
"124",2022-02-27,207
"125",2022-02-26,202
"126",2022-02-25,337
"127",2022-02-24,62
"128",2022-02-23,62
"129",2022-02-22,48
"130",2022-02-21,37
"131",2022-02-20,43
"132",2022-02-19,42
"133",2022-02-18,32
"134",2022-02-17,15
"135",2022-02-16,31
"136",2022-02-15,24
"137",2022-02-14,44
"138",2022-02-13,18
"139",2022-02-12,11
"140",2022-02-11,8
"141",2022-02-10,19
"142",2022-02-09,10
"143",2022-02-08,3
"144",2022-02-07,24
"145",2022-02-06,11
"146",2022-02-05,11
"147",2022-02-04,24
"148",2022-02-03,14
"149",2022-02-02,16
"150",2022-02-01,12
"151",2022-01-31,9
"152",2022-01-30,2
"153",2022-01-29,2
"154",2022-01-28,3
"155",2022-01-27,2
"156",2022-01-26,0
"157",2022-01-25,2
"158",2022-01-24,3
"159",2022-01-23,2
"160",2022-01-22,2
"161",2022-01-21,2
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,1
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,1
"168",2022-01-14,2
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,1
"173",2022-01-09,1
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,4
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,2
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,2
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,2
"203",2021-12-10,2
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,2
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,4
"210",2021-12-03,2
"211",2021-12-02,1
