"","date","new_cases"
"1",2022-06-30,88
"2",2022-06-29,92
"3",2022-06-28,106
"4",2022-06-27,107
"5",2022-06-26,84
"6",2022-06-25,76
"7",2022-06-24,46
"8",2022-06-23,49
"9",2022-06-22,75
"10",2022-06-21,86
"11",2022-06-20,74
"12",2022-06-19,62
"13",2022-06-18,41
"14",2022-06-17,60
"15",2022-06-16,59
"16",2022-06-15,88
"17",2022-06-14,77
"18",2022-06-13,95
"19",2022-06-12,49
"20",2022-06-11,78
"21",2022-06-10,84
"22",2022-06-09,87
"23",2022-06-08,134
"24",2022-06-07,97
"25",2022-06-06,86
"26",2022-06-05,59
"27",2022-06-04,74
"28",2022-06-03,124
"29",2022-06-02,102
"30",2022-06-01,134
"31",2022-05-31,150
"32",2022-05-30,178
"33",2022-05-29,97
"34",2022-05-28,105
"35",2022-05-27,136
"36",2022-05-26,155
"37",2022-05-25,138
"38",2022-05-24,167
"39",2022-05-23,144
"40",2022-05-22,90
"41",2022-05-21,88
"42",2022-05-20,107
"43",2022-05-19,117
"44",2022-05-18,131
"45",2022-05-17,157
"46",2022-05-16,178
"47",2022-05-15,118
"48",2022-05-14,83
"49",2022-05-13,107
"50",2022-05-12,155
"51",2022-05-11,140
"52",2022-05-10,156
"53",2022-05-09,165
"54",2022-05-08,98
"55",2022-05-07,83
"56",2022-05-06,99
"57",2022-05-05,99
"58",2022-05-04,117
"59",2022-05-03,111
"60",2022-05-02,160
"61",2022-05-01,99
"62",2022-04-30,119
"63",2022-04-29,154
"64",2022-04-28,152
"65",2022-04-27,184
"66",2022-04-26,225
"67",2022-04-25,171
"68",2022-04-24,112
"69",2022-04-23,128
"70",2022-04-22,166
"71",2022-04-21,226
"72",2022-04-20,241
"73",2022-04-19,291
"74",2022-04-18,192
"75",2022-04-17,136
"76",2022-04-16,154
"77",2022-04-15,133
"78",2022-04-14,184
"79",2022-04-13,200
"80",2022-04-12,207
"81",2022-04-11,251
"82",2022-04-10,153
"83",2022-04-09,119
"84",2022-04-08,162
"85",2022-04-07,181
"86",2022-04-06,223
"87",2022-04-05,250
"88",2022-04-04,279
"89",2022-04-03,208
"90",2022-04-02,174
"91",2022-04-01,247
"92",2022-03-31,267
"93",2022-03-30,313
"94",2022-03-29,293
"95",2022-03-28,318
"96",2022-03-27,230
"97",2022-03-26,213
"98",2022-03-25,216
"99",2022-03-24,250
"100",2022-03-23,318
"101",2022-03-22,319
"102",2022-03-21,318
"103",2022-03-20,191
"104",2022-03-19,172
"105",2022-03-18,190
"106",2022-03-17,163
"107",2022-03-16,212
"108",2022-03-15,188
"109",2022-03-14,219
"110",2022-03-13,130
"111",2022-03-12,92
"112",2022-03-11,119
"113",2022-03-10,137
"114",2022-03-09,107
"115",2022-03-08,121
"116",2022-03-07,128
"117",2022-03-06,84
"118",2022-03-05,49
"119",2022-03-04,59
"120",2022-03-03,62
"121",2022-03-02,50
"122",2022-03-01,30
"123",2022-02-28,44
"124",2022-02-27,24
"125",2022-02-26,27
"126",2022-02-25,38
"127",2022-02-24,20
"128",2022-02-23,5
"129",2022-02-22,8
"130",2022-02-21,3
"131",2022-02-20,1
"132",2022-02-19,1
"133",2022-02-18,2
"134",2022-02-17,6
"135",2022-02-16,0
"136",2022-02-15,3
"137",2022-02-14,0
"138",2022-02-13,0
"139",2022-02-12,2
"140",2022-02-11,1
"141",2022-02-10,0
"142",2022-02-09,0
"143",2022-02-08,0
"144",2022-02-07,0
"145",2022-02-06,0
"146",2022-02-05,0
"147",2022-02-04,1
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,1
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
