"","date","new_cases"
"1",2022-06-30,680
"2",2022-06-29,633
"3",2022-06-28,687
"4",2022-06-27,746
"5",2022-06-26,439
"6",2022-06-25,362
"7",2022-06-24,332
"8",2022-06-23,403
"9",2022-06-22,437
"10",2022-06-21,458
"11",2022-06-20,511
"12",2022-06-19,345
"13",2022-06-18,289
"14",2022-06-17,421
"15",2022-06-16,440
"16",2022-06-15,505
"17",2022-06-14,451
"18",2022-06-13,563
"19",2022-06-12,359
"20",2022-06-11,378
"21",2022-06-10,416
"22",2022-06-09,506
"23",2022-06-08,618
"24",2022-06-07,608
"25",2022-06-06,436
"26",2022-06-05,353
"27",2022-06-04,369
"28",2022-06-03,467
"29",2022-06-02,480
"30",2022-06-01,628
"31",2022-05-31,601
"32",2022-05-30,611
"33",2022-05-29,372
"34",2022-05-28,299
"35",2022-05-27,463
"36",2022-05-26,494
"37",2022-05-25,608
"38",2022-05-24,632
"39",2022-05-23,664
"40",2022-05-22,466
"41",2022-05-21,349
"42",2022-05-20,528
"43",2022-05-19,599
"44",2022-05-18,648
"45",2022-05-17,752
"46",2022-05-16,787
"47",2022-05-15,571
"48",2022-05-14,484
"49",2022-05-13,622
"50",2022-05-12,747
"51",2022-05-11,929
"52",2022-05-10,760
"53",2022-05-09,904
"54",2022-05-08,655
"55",2022-05-07,535
"56",2022-05-06,697
"57",2022-05-05,721
"58",2022-05-04,911
"59",2022-05-03,912
"60",2022-05-02,947
"61",2022-05-01,793
"62",2022-04-30,632
"63",2022-04-29,785
"64",2022-04-28,884
"65",2022-04-27,1061
"66",2022-04-26,1291
"67",2022-04-25,873
"68",2022-04-24,764
"69",2022-04-23,665
"70",2022-04-22,930
"71",2022-04-21,1120
"72",2022-04-20,1348
"73",2022-04-19,1419
"74",2022-04-18,988
"75",2022-04-17,749
"76",2022-04-16,708
"77",2022-04-15,795
"78",2022-04-14,973
"79",2022-04-13,1095
"80",2022-04-12,1147
"81",2022-04-11,1337
"82",2022-04-10,937
"83",2022-04-09,823
"84",2022-04-08,991
"85",2022-04-07,1109
"86",2022-04-06,1158
"87",2022-04-05,1372
"88",2022-04-04,1462
"89",2022-04-03,958
"90",2022-04-02,735
"91",2022-04-01,1000
"92",2022-03-31,1241
"93",2022-03-30,1209
"94",2022-03-29,1386
"95",2022-03-28,1412
"96",2022-03-27,936
"97",2022-03-26,801
"98",2022-03-25,1103
"99",2022-03-24,1244
"100",2022-03-23,1461
"101",2022-03-22,1633
"102",2022-03-21,1444
"103",2022-03-20,947
"104",2022-03-19,849
"105",2022-03-18,1006
"106",2022-03-17,1100
"107",2022-03-16,1221
"108",2022-03-15,1201
"109",2022-03-14,1234
"110",2022-03-13,794
"111",2022-03-12,702
"112",2022-03-11,849
"113",2022-03-10,873
"114",2022-03-09,904
"115",2022-03-08,840
"116",2022-03-07,926
"117",2022-03-06,502
"118",2022-03-05,445
"119",2022-03-04,553
"120",2022-03-03,629
"121",2022-03-02,613
"122",2022-03-01,582
"123",2022-02-28,532
"124",2022-02-27,386
"125",2022-02-26,449
"126",2022-02-25,1080
"127",2022-02-24,491
"128",2022-02-23,238
"129",2022-02-22,337
"130",2022-02-21,206
"131",2022-02-20,82
"132",2022-02-19,107
"133",2022-02-18,64
"134",2022-02-17,65
"135",2022-02-16,31
"136",2022-02-15,34
"137",2022-02-14,26
"138",2022-02-13,16
"139",2022-02-12,11
"140",2022-02-11,8
"141",2022-02-10,3
"142",2022-02-09,2
"143",2022-02-08,0
"144",2022-02-07,0
"145",2022-02-06,0
"146",2022-02-05,0
"147",2022-02-04,0
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,1
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
