"","date","new_cases"
"1",2022-06-30,60
"2",2022-06-29,54
"3",2022-06-28,68
"4",2022-06-27,88
"5",2022-06-26,43
"6",2022-06-25,21
"7",2022-06-24,30
"8",2022-06-23,48
"9",2022-06-22,37
"10",2022-06-21,55
"11",2022-06-20,43
"12",2022-06-19,22
"13",2022-06-18,18
"14",2022-06-17,46
"15",2022-06-16,29
"16",2022-06-15,37
"17",2022-06-14,48
"18",2022-06-13,43
"19",2022-06-12,18
"20",2022-06-11,17
"21",2022-06-10,25
"22",2022-06-09,40
"23",2022-06-08,49
"24",2022-06-07,34
"25",2022-06-06,31
"26",2022-06-05,20
"27",2022-06-04,21
"28",2022-06-03,35
"29",2022-06-02,39
"30",2022-06-01,52
"31",2022-05-31,50
"32",2022-05-30,61
"33",2022-05-29,34
"34",2022-05-28,25
"35",2022-05-27,33
"36",2022-05-26,32
"37",2022-05-25,53
"38",2022-05-24,46
"39",2022-05-23,61
"40",2022-05-22,27
"41",2022-05-21,28
"42",2022-05-20,59
"43",2022-05-19,58
"44",2022-05-18,83
"45",2022-05-17,83
"46",2022-05-16,91
"47",2022-05-15,58
"48",2022-05-14,58
"49",2022-05-13,58
"50",2022-05-12,63
"51",2022-05-11,83
"52",2022-05-10,79
"53",2022-05-09,78
"54",2022-05-08,36
"55",2022-05-07,31
"56",2022-05-06,60
"57",2022-05-05,68
"58",2022-05-04,71
"59",2022-05-03,82
"60",2022-05-02,90
"61",2022-05-01,77
"62",2022-04-30,101
"63",2022-04-29,78
"64",2022-04-28,69
"65",2022-04-27,139
"66",2022-04-26,113
"67",2022-04-25,53
"68",2022-04-24,56
"69",2022-04-23,50
"70",2022-04-22,74
"71",2022-04-21,111
"72",2022-04-20,94
"73",2022-04-19,118
"74",2022-04-18,63
"75",2022-04-17,53
"76",2022-04-16,30
"77",2022-04-15,44
"78",2022-04-14,74
"79",2022-04-13,79
"80",2022-04-12,86
"81",2022-04-11,105
"82",2022-04-10,71
"83",2022-04-09,83
"84",2022-04-08,82
"85",2022-04-07,109
"86",2022-04-06,146
"87",2022-04-05,130
"88",2022-04-04,179
"89",2022-04-03,125
"90",2022-04-02,102
"91",2022-04-01,140
"92",2022-03-31,172
"93",2022-03-30,199
"94",2022-03-29,185
"95",2022-03-28,250
"96",2022-03-27,174
"97",2022-03-26,144
"98",2022-03-25,197
"99",2022-03-24,226
"100",2022-03-23,326
"101",2022-03-22,339
"102",2022-03-21,384
"103",2022-03-20,260
"104",2022-03-19,209
"105",2022-03-18,313
"106",2022-03-17,287
"107",2022-03-16,387
"108",2022-03-15,391
"109",2022-03-14,447
"110",2022-03-13,261
"111",2022-03-12,289
"112",2022-03-11,379
"113",2022-03-10,334
"114",2022-03-09,355
"115",2022-03-08,375
"116",2022-03-07,365
"117",2022-03-06,214
"118",2022-03-05,168
"119",2022-03-04,155
"120",2022-03-03,164
"121",2022-03-02,134
"122",2022-03-01,153
"123",2022-02-28,97
"124",2022-02-27,58
"125",2022-02-26,65
"126",2022-02-25,88
"127",2022-02-24,36
"128",2022-02-23,31
"129",2022-02-22,15
"130",2022-02-21,15
"131",2022-02-20,10
"132",2022-02-19,11
"133",2022-02-18,14
"134",2022-02-17,11
"135",2022-02-16,8
"136",2022-02-15,7
"137",2022-02-14,8
"138",2022-02-13,5
"139",2022-02-12,3
"140",2022-02-11,0
"141",2022-02-10,0
"142",2022-02-09,4
"143",2022-02-08,0
"144",2022-02-07,0
"145",2022-02-06,1
"146",2022-02-05,0
"147",2022-02-04,1
"148",2022-02-03,4
"149",2022-02-02,1
"150",2022-02-01,1
"151",2022-01-31,0
"152",2022-01-30,4
"153",2022-01-29,1
"154",2022-01-28,3
"155",2022-01-27,0
"156",2022-01-26,1
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,1
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,2
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
