"","date","new_cases"
"1",2022-06-30,176
"2",2022-06-29,193
"3",2022-06-28,203
"4",2022-06-27,264
"5",2022-06-26,150
"6",2022-06-25,105
"7",2022-06-24,89
"8",2022-06-23,113
"9",2022-06-22,161
"10",2022-06-21,150
"11",2022-06-20,179
"12",2022-06-19,115
"13",2022-06-18,88
"14",2022-06-17,127
"15",2022-06-16,186
"16",2022-06-15,163
"17",2022-06-14,193
"18",2022-06-13,182
"19",2022-06-12,123
"20",2022-06-11,123
"21",2022-06-10,166
"22",2022-06-09,184
"23",2022-06-08,228
"24",2022-06-07,206
"25",2022-06-06,158
"26",2022-06-05,103
"27",2022-06-04,104
"28",2022-06-03,168
"29",2022-06-02,181
"30",2022-06-01,215
"31",2022-05-31,234
"32",2022-05-30,250
"33",2022-05-29,159
"34",2022-05-28,129
"35",2022-05-27,216
"36",2022-05-26,200
"37",2022-05-25,254
"38",2022-05-24,254
"39",2022-05-23,253
"40",2022-05-22,182
"41",2022-05-21,138
"42",2022-05-20,179
"43",2022-05-19,234
"44",2022-05-18,269
"45",2022-05-17,286
"46",2022-05-16,300
"47",2022-05-15,197
"48",2022-05-14,155
"49",2022-05-13,202
"50",2022-05-12,207
"51",2022-05-11,232
"52",2022-05-10,212
"53",2022-05-09,259
"54",2022-05-08,145
"55",2022-05-07,133
"56",2022-05-06,158
"57",2022-05-05,239
"58",2022-05-04,244
"59",2022-05-03,250
"60",2022-05-02,250
"61",2022-05-01,207
"62",2022-04-30,151
"63",2022-04-29,195
"64",2022-04-28,187
"65",2022-04-27,218
"66",2022-04-26,267
"67",2022-04-25,186
"68",2022-04-24,139
"69",2022-04-23,152
"70",2022-04-22,263
"71",2022-04-21,270
"72",2022-04-20,334
"73",2022-04-19,358
"74",2022-04-18,279
"75",2022-04-17,223
"76",2022-04-16,192
"77",2022-04-15,183
"78",2022-04-14,247
"79",2022-04-13,317
"80",2022-04-12,288
"81",2022-04-11,370
"82",2022-04-10,249
"83",2022-04-09,216
"84",2022-04-08,312
"85",2022-04-07,316
"86",2022-04-06,404
"87",2022-04-05,438
"88",2022-04-04,554
"89",2022-04-03,359
"90",2022-04-02,343
"91",2022-04-01,430
"92",2022-03-31,528
"93",2022-03-30,609
"94",2022-03-29,649
"95",2022-03-28,704
"96",2022-03-27,524
"97",2022-03-26,451
"98",2022-03-25,512
"99",2022-03-24,591
"100",2022-03-23,653
"101",2022-03-22,680
"102",2022-03-21,638
"103",2022-03-20,474
"104",2022-03-19,373
"105",2022-03-18,521
"106",2022-03-17,550
"107",2022-03-16,660
"108",2022-03-15,663
"109",2022-03-14,509
"110",2022-03-13,344
"111",2022-03-12,355
"112",2022-03-11,462
"113",2022-03-10,520
"114",2022-03-09,523
"115",2022-03-08,531
"116",2022-03-07,526
"117",2022-03-06,309
"118",2022-03-05,243
"119",2022-03-04,262
"120",2022-03-03,254
"121",2022-03-02,284
"122",2022-03-01,265
"123",2022-02-28,167
"124",2022-02-27,65
"125",2022-02-26,84
"126",2022-02-25,93
"127",2022-02-24,36
"128",2022-02-23,33
"129",2022-02-22,31
"130",2022-02-21,25
"131",2022-02-20,4
"132",2022-02-19,9
"133",2022-02-18,10
"134",2022-02-17,11
"135",2022-02-16,8
"136",2022-02-15,9
"137",2022-02-14,2
"138",2022-02-13,0
"139",2022-02-12,4
"140",2022-02-11,2
"141",2022-02-10,1
"142",2022-02-09,4
"143",2022-02-08,1
"144",2022-02-07,0
"145",2022-02-06,1
"146",2022-02-05,0
"147",2022-02-04,0
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,4
"152",2022-01-30,0
"153",2022-01-29,1
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,1
"157",2022-01-25,1
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,1
"178",2022-01-04,0
"179",2022-01-03,1
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,1
"191",2021-12-22,1
"192",2021-12-21,1
"193",2021-12-20,0
"194",2021-12-19,3
"195",2021-12-18,4
"196",2021-12-17,3
"197",2021-12-16,3
"198",2021-12-15,12
"199",2021-12-14,4
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,1
"203",2021-12-10,0
"204",2021-12-09,1
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,1
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,1
