"","date","new_cases"
"1",2022-06-30,424
"2",2022-06-29,461
"3",2022-06-28,483
"4",2022-06-27,487
"5",2022-06-26,312
"6",2022-06-25,276
"7",2022-06-24,222
"8",2022-06-23,308
"9",2022-06-22,304
"10",2022-06-21,348
"11",2022-06-20,373
"12",2022-06-19,267
"13",2022-06-18,202
"14",2022-06-17,298
"15",2022-06-16,351
"16",2022-06-15,409
"17",2022-06-14,392
"18",2022-06-13,423
"19",2022-06-12,326
"20",2022-06-11,312
"21",2022-06-10,367
"22",2022-06-09,489
"23",2022-06-08,587
"24",2022-06-07,530
"25",2022-06-06,457
"26",2022-06-05,323
"27",2022-06-04,363
"28",2022-06-03,521
"29",2022-06-02,462
"30",2022-06-01,632
"31",2022-05-31,633
"32",2022-05-30,691
"33",2022-05-29,436
"34",2022-05-28,346
"35",2022-05-27,499
"36",2022-05-26,523
"37",2022-05-25,577
"38",2022-05-24,616
"39",2022-05-23,657
"40",2022-05-22,470
"41",2022-05-21,361
"42",2022-05-20,540
"43",2022-05-19,547
"44",2022-05-18,712
"45",2022-05-17,756
"46",2022-05-16,813
"47",2022-05-15,561
"48",2022-05-14,464
"49",2022-05-13,521
"50",2022-05-12,544
"51",2022-05-11,679
"52",2022-05-10,604
"53",2022-05-09,654
"54",2022-05-08,449
"55",2022-05-07,360
"56",2022-05-06,399
"57",2022-05-05,451
"58",2022-05-04,556
"59",2022-05-03,515
"60",2022-05-02,553
"61",2022-05-01,434
"62",2022-04-30,348
"63",2022-04-29,449
"64",2022-04-28,492
"65",2022-04-27,562
"66",2022-04-26,660
"67",2022-04-25,405
"68",2022-04-24,369
"69",2022-04-23,371
"70",2022-04-22,559
"71",2022-04-21,738
"72",2022-04-20,759
"73",2022-04-19,828
"74",2022-04-18,648
"75",2022-04-17,463
"76",2022-04-16,427
"77",2022-04-15,443
"78",2022-04-14,649
"79",2022-04-13,753
"80",2022-04-12,727
"81",2022-04-11,985
"82",2022-04-10,679
"83",2022-04-09,518
"84",2022-04-08,751
"85",2022-04-07,846
"86",2022-04-06,1039
"87",2022-04-05,1109
"88",2022-04-04,1221
"89",2022-04-03,885
"90",2022-04-02,736
"91",2022-04-01,1028
"92",2022-03-31,1189
"93",2022-03-30,1365
"94",2022-03-29,1515
"95",2022-03-28,1566
"96",2022-03-27,1171
"97",2022-03-26,964
"98",2022-03-25,1298
"99",2022-03-24,1434
"100",2022-03-23,1649
"101",2022-03-22,1743
"102",2022-03-21,1882
"103",2022-03-20,1400
"104",2022-03-19,1096
"105",2022-03-18,1456
"106",2022-03-17,1608
"107",2022-03-16,1823
"108",2022-03-15,1842
"109",2022-03-14,2065
"110",2022-03-13,1536
"111",2022-03-12,1408
"112",2022-03-11,1708
"113",2022-03-10,1946
"114",2022-03-09,2031
"115",2022-03-08,2116
"116",2022-03-07,2145
"117",2022-03-06,1539
"118",2022-03-05,1337
"119",2022-03-04,1648
"120",2022-03-03,1671
"121",2022-03-02,1869
"122",2022-03-01,2134
"123",2022-02-28,1834
"124",2022-02-27,1520
"125",2022-02-26,1137
"126",2022-02-25,2109
"127",2022-02-24,491
"128",2022-02-23,339
"129",2022-02-22,307
"130",2022-02-21,287
"131",2022-02-20,128
"132",2022-02-19,175
"133",2022-02-18,246
"134",2022-02-17,162
"135",2022-02-16,146
"136",2022-02-15,76
"137",2022-02-14,74
"138",2022-02-13,79
"139",2022-02-12,27
"140",2022-02-11,105
"141",2022-02-10,55
"142",2022-02-09,63
"143",2022-02-08,14
"144",2022-02-07,34
"145",2022-02-06,41
"146",2022-02-05,29
"147",2022-02-04,39
"148",2022-02-03,63
"149",2022-02-02,7
"150",2022-02-01,13
"151",2022-01-31,16
"152",2022-01-30,18
"153",2022-01-29,14
"154",2022-01-28,13
"155",2022-01-27,16
"156",2022-01-26,2
"157",2022-01-25,3
"158",2022-01-24,0
"159",2022-01-23,3
"160",2022-01-22,2
"161",2022-01-21,4
"162",2022-01-20,1
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,1
"166",2022-01-16,0
"167",2022-01-15,2
"168",2022-01-14,0
"169",2022-01-13,1
"170",2022-01-12,5
"171",2022-01-11,2
"172",2022-01-10,1
"173",2022-01-09,6
"174",2022-01-08,1
"175",2022-01-07,3
"176",2022-01-06,4
"177",2022-01-05,1
"178",2022-01-04,6
"179",2022-01-03,1
"180",2022-01-02,6
"181",2022-01-01,1
"182",2021-12-31,7
"183",2021-12-30,3
"184",2021-12-29,2
"185",2021-12-28,26
"186",2021-12-27,6
"187",2021-12-26,7
"188",2021-12-25,2
"189",2021-12-24,10
"190",2021-12-23,7
"191",2021-12-22,4
"192",2021-12-21,8
"193",2021-12-20,2
"194",2021-12-19,0
"195",2021-12-18,7
"196",2021-12-17,4
"197",2021-12-16,15
"198",2021-12-15,6
"199",2021-12-14,9
"200",2021-12-13,10
"201",2021-12-12,11
"202",2021-12-11,8
"203",2021-12-10,3
"204",2021-12-09,11
"205",2021-12-08,9
"206",2021-12-07,9
"207",2021-12-06,8
"208",2021-12-05,7
"209",2021-12-04,8
"210",2021-12-03,21
"211",2021-12-02,5
