"","date","new_cases"
"1",2022-06-30,71
"2",2022-06-29,96
"3",2022-06-28,73
"4",2022-06-27,91
"5",2022-06-26,52
"6",2022-06-25,48
"7",2022-06-24,42
"8",2022-06-23,58
"9",2022-06-22,45
"10",2022-06-21,56
"11",2022-06-20,57
"12",2022-06-19,48
"13",2022-06-18,37
"14",2022-06-17,44
"15",2022-06-16,43
"16",2022-06-15,48
"17",2022-06-14,72
"18",2022-06-13,78
"19",2022-06-12,39
"20",2022-06-11,37
"21",2022-06-10,48
"22",2022-06-09,52
"23",2022-06-08,63
"24",2022-06-07,64
"25",2022-06-06,46
"26",2022-06-05,36
"27",2022-06-04,40
"28",2022-06-03,46
"29",2022-06-02,57
"30",2022-06-01,59
"31",2022-05-31,65
"32",2022-05-30,63
"33",2022-05-29,47
"34",2022-05-28,49
"35",2022-05-27,62
"36",2022-05-26,60
"37",2022-05-25,78
"38",2022-05-24,87
"39",2022-05-23,86
"40",2022-05-22,46
"41",2022-05-21,61
"42",2022-05-20,67
"43",2022-05-19,63
"44",2022-05-18,84
"45",2022-05-17,92
"46",2022-05-16,87
"47",2022-05-15,74
"48",2022-05-14,55
"49",2022-05-13,75
"50",2022-05-12,105
"51",2022-05-11,97
"52",2022-05-10,88
"53",2022-05-09,113
"54",2022-05-08,64
"55",2022-05-07,71
"56",2022-05-06,86
"57",2022-05-05,101
"58",2022-05-04,89
"59",2022-05-03,113
"60",2022-05-02,117
"61",2022-05-01,71
"62",2022-04-30,59
"63",2022-04-29,71
"64",2022-04-28,80
"65",2022-04-27,98
"66",2022-04-26,120
"67",2022-04-25,77
"68",2022-04-24,55
"69",2022-04-23,55
"70",2022-04-22,83
"71",2022-04-21,118
"72",2022-04-20,134
"73",2022-04-19,103
"74",2022-04-18,86
"75",2022-04-17,70
"76",2022-04-16,64
"77",2022-04-15,46
"78",2022-04-14,75
"79",2022-04-13,108
"80",2022-04-12,113
"81",2022-04-11,139
"82",2022-04-10,89
"83",2022-04-09,85
"84",2022-04-08,80
"85",2022-04-07,91
"86",2022-04-06,98
"87",2022-04-05,149
"88",2022-04-04,130
"89",2022-04-03,92
"90",2022-04-02,92
"91",2022-04-01,109
"92",2022-03-31,155
"93",2022-03-30,145
"94",2022-03-29,152
"95",2022-03-28,210
"96",2022-03-27,172
"97",2022-03-26,109
"98",2022-03-25,197
"99",2022-03-24,252
"100",2022-03-23,249
"101",2022-03-22,276
"102",2022-03-21,324
"103",2022-03-20,220
"104",2022-03-19,148
"105",2022-03-18,213
"106",2022-03-17,214
"107",2022-03-16,260
"108",2022-03-15,209
"109",2022-03-14,231
"110",2022-03-13,167
"111",2022-03-12,112
"112",2022-03-11,169
"113",2022-03-10,174
"114",2022-03-09,169
"115",2022-03-08,167
"116",2022-03-07,136
"117",2022-03-06,100
"118",2022-03-05,88
"119",2022-03-04,96
"120",2022-03-03,69
"121",2022-03-02,97
"122",2022-03-01,92
"123",2022-02-28,46
"124",2022-02-27,50
"125",2022-02-26,41
"126",2022-02-25,39
"127",2022-02-24,12
"128",2022-02-23,11
"129",2022-02-22,19
"130",2022-02-21,1
"131",2022-02-20,8
"132",2022-02-19,12
"133",2022-02-18,15
"134",2022-02-17,7
"135",2022-02-16,30
"136",2022-02-15,5
"137",2022-02-14,1
"138",2022-02-13,12
"139",2022-02-12,0
"140",2022-02-11,0
"141",2022-02-10,2
"142",2022-02-09,0
"143",2022-02-08,0
"144",2022-02-07,0
"145",2022-02-06,0
"146",2022-02-05,0
"147",2022-02-04,0
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,1
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,1
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,4
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
