"","date","new_cases"
"1",2022-06-30,964
"2",2022-06-29,1018
"3",2022-06-28,1071
"4",2022-06-27,1114
"5",2022-06-26,789
"6",2022-06-25,670
"7",2022-06-24,488
"8",2022-06-23,642
"9",2022-06-22,728
"10",2022-06-21,721
"11",2022-06-20,679
"12",2022-06-19,560
"13",2022-06-18,433
"14",2022-06-17,570
"15",2022-06-16,624
"16",2022-06-15,669
"17",2022-06-14,710
"18",2022-06-13,835
"19",2022-06-12,599
"20",2022-06-11,543
"21",2022-06-10,655
"22",2022-06-09,783
"23",2022-06-08,1019
"24",2022-06-07,883
"25",2022-06-06,780
"26",2022-06-05,597
"27",2022-06-04,589
"28",2022-06-03,786
"29",2022-06-02,795
"30",2022-06-01,1089
"31",2022-05-31,1086
"32",2022-05-30,1206
"33",2022-05-29,864
"34",2022-05-28,742
"35",2022-05-27,867
"36",2022-05-26,1041
"37",2022-05-25,1155
"38",2022-05-24,1072
"39",2022-05-23,1177
"40",2022-05-22,875
"41",2022-05-21,725
"42",2022-05-20,959
"43",2022-05-19,1105
"44",2022-05-18,1330
"45",2022-05-17,1328
"46",2022-05-16,1473
"47",2022-05-15,1043
"48",2022-05-14,824
"49",2022-05-13,974
"50",2022-05-12,1045
"51",2022-05-11,1326
"52",2022-05-10,1034
"53",2022-05-09,1133
"54",2022-05-08,827
"55",2022-05-07,775
"56",2022-05-06,864
"57",2022-05-05,971
"58",2022-05-04,1099
"59",2022-05-03,1051
"60",2022-05-02,1114
"61",2022-05-01,792
"62",2022-04-30,709
"63",2022-04-29,780
"64",2022-04-28,989
"65",2022-04-27,974
"66",2022-04-26,963
"67",2022-04-25,665
"68",2022-04-24,593
"69",2022-04-23,540
"70",2022-04-22,780
"71",2022-04-21,855
"72",2022-04-20,896
"73",2022-04-19,955
"74",2022-04-18,719
"75",2022-04-17,531
"76",2022-04-16,487
"77",2022-04-15,478
"78",2022-04-14,657
"79",2022-04-13,742
"80",2022-04-12,723
"81",2022-04-11,819
"82",2022-04-10,578
"83",2022-04-09,486
"84",2022-04-08,560
"85",2022-04-07,750
"86",2022-04-06,840
"87",2022-04-05,855
"88",2022-04-04,925
"89",2022-04-03,735
"90",2022-04-02,610
"91",2022-04-01,799
"92",2022-03-31,969
"93",2022-03-30,1057
"94",2022-03-29,1048
"95",2022-03-28,1136
"96",2022-03-27,889
"97",2022-03-26,787
"98",2022-03-25,1045
"99",2022-03-24,1098
"100",2022-03-23,1294
"101",2022-03-22,1547
"102",2022-03-21,1604
"103",2022-03-20,1178
"104",2022-03-19,1017
"105",2022-03-18,1264
"106",2022-03-17,1502
"107",2022-03-16,1650
"108",2022-03-15,1810
"109",2022-03-14,1987
"110",2022-03-13,1578
"111",2022-03-12,1516
"112",2022-03-11,1945
"113",2022-03-10,2242
"114",2022-03-09,2339
"115",2022-03-08,2603
"116",2022-03-07,2827
"117",2022-03-06,2262
"118",2022-03-05,2078
"119",2022-03-04,2647
"120",2022-03-03,3309
"121",2022-03-02,3363
"122",2022-03-01,3390
"123",2022-02-28,3255
"124",2022-02-27,2411
"125",2022-02-26,1989
"126",2022-02-25,4613
"127",2022-02-24,668
"128",2022-02-23,454
"129",2022-02-22,433
"130",2022-02-21,433
"131",2022-02-20,255
"132",2022-02-19,256
"133",2022-02-18,221
"134",2022-02-17,218
"135",2022-02-16,196
"136",2022-02-15,100
"137",2022-02-14,121
"138",2022-02-13,48
"139",2022-02-12,66
"140",2022-02-11,75
"141",2022-02-10,46
"142",2022-02-09,28
"143",2022-02-08,12
"144",2022-02-07,17
"145",2022-02-06,27
"146",2022-02-05,16
"147",2022-02-04,20
"148",2022-02-03,19
"149",2022-02-02,10
"150",2022-02-01,10
"151",2022-01-31,10
"152",2022-01-30,5
"153",2022-01-29,18
"154",2022-01-28,16
"155",2022-01-27,11
"156",2022-01-26,10
"157",2022-01-25,0
"158",2022-01-24,6
"159",2022-01-23,6
"160",2022-01-22,2
"161",2022-01-21,5
"162",2022-01-20,3
"163",2022-01-19,7
"164",2022-01-18,5
"165",2022-01-17,2
"166",2022-01-16,2
"167",2022-01-15,8
"168",2022-01-14,6
"169",2022-01-13,4
"170",2022-01-12,6
"171",2022-01-11,2
"172",2022-01-10,1
"173",2022-01-09,4
"174",2022-01-08,4
"175",2022-01-07,5
"176",2022-01-06,4
"177",2022-01-05,4
"178",2022-01-04,2
"179",2022-01-03,7
"180",2022-01-02,0
"181",2022-01-01,5
"182",2021-12-31,4
"183",2021-12-30,3
"184",2021-12-29,2
"185",2021-12-28,5
"186",2021-12-27,4
"187",2021-12-26,0
"188",2021-12-25,4
"189",2021-12-24,10
"190",2021-12-23,2
"191",2021-12-22,7
"192",2021-12-21,3
"193",2021-12-20,3
"194",2021-12-19,6
"195",2021-12-18,3
"196",2021-12-17,1
"197",2021-12-16,7
"198",2021-12-15,11
"199",2021-12-14,10
"200",2021-12-13,6
"201",2021-12-12,13
"202",2021-12-11,17
"203",2021-12-10,14
"204",2021-12-09,9
"205",2021-12-08,21
"206",2021-12-07,23
"207",2021-12-06,10
"208",2021-12-05,13
"209",2021-12-04,22
"210",2021-12-03,10
"211",2021-12-02,22
