"","date","new_cases"
"1",2022-06-30,46
"2",2022-06-29,83
"3",2022-06-28,63
"4",2022-06-27,55
"5",2022-06-26,36
"6",2022-06-25,31
"7",2022-06-24,38
"8",2022-06-23,53
"9",2022-06-22,49
"10",2022-06-21,50
"11",2022-06-20,46
"12",2022-06-19,30
"13",2022-06-18,20
"14",2022-06-17,31
"15",2022-06-16,31
"16",2022-06-15,44
"17",2022-06-14,40
"18",2022-06-13,55
"19",2022-06-12,54
"20",2022-06-11,48
"21",2022-06-10,57
"22",2022-06-09,57
"23",2022-06-08,73
"24",2022-06-07,82
"25",2022-06-06,72
"26",2022-06-05,58
"27",2022-06-04,43
"28",2022-06-03,67
"29",2022-06-02,76
"30",2022-06-01,86
"31",2022-05-31,70
"32",2022-05-30,105
"33",2022-05-29,83
"34",2022-05-28,68
"35",2022-05-27,72
"36",2022-05-26,62
"37",2022-05-25,97
"38",2022-05-24,88
"39",2022-05-23,79
"40",2022-05-22,64
"41",2022-05-21,36
"42",2022-05-20,67
"43",2022-05-19,84
"44",2022-05-18,104
"45",2022-05-17,112
"46",2022-05-16,83
"47",2022-05-15,52
"48",2022-05-14,49
"49",2022-05-13,69
"50",2022-05-12,81
"51",2022-05-11,84
"52",2022-05-10,62
"53",2022-05-09,97
"54",2022-05-08,62
"55",2022-05-07,51
"56",2022-05-06,51
"57",2022-05-05,66
"58",2022-05-04,76
"59",2022-05-03,86
"60",2022-05-02,80
"61",2022-05-01,64
"62",2022-04-30,75
"63",2022-04-29,85
"64",2022-04-28,105
"65",2022-04-27,117
"66",2022-04-26,110
"67",2022-04-25,72
"68",2022-04-24,70
"69",2022-04-23,81
"70",2022-04-22,94
"71",2022-04-21,121
"72",2022-04-20,110
"73",2022-04-19,144
"74",2022-04-18,88
"75",2022-04-17,63
"76",2022-04-16,67
"77",2022-04-15,57
"78",2022-04-14,80
"79",2022-04-13,103
"80",2022-04-12,94
"81",2022-04-11,110
"82",2022-04-10,68
"83",2022-04-09,64
"84",2022-04-08,72
"85",2022-04-07,83
"86",2022-04-06,89
"87",2022-04-05,81
"88",2022-04-04,126
"89",2022-04-03,76
"90",2022-04-02,57
"91",2022-04-01,71
"92",2022-03-31,56
"93",2022-03-30,77
"94",2022-03-29,55
"95",2022-03-28,79
"96",2022-03-27,32
"97",2022-03-26,36
"98",2022-03-25,51
"99",2022-03-24,58
"100",2022-03-23,58
"101",2022-03-22,54
"102",2022-03-21,50
"103",2022-03-20,39
"104",2022-03-19,23
"105",2022-03-18,34
"106",2022-03-17,47
"107",2022-03-16,60
"108",2022-03-15,30
"109",2022-03-14,45
"110",2022-03-13,32
"111",2022-03-12,18
"112",2022-03-11,31
"113",2022-03-10,22
"114",2022-03-09,27
"115",2022-03-08,20
"116",2022-03-07,30
"117",2022-03-06,13
"118",2022-03-05,18
"119",2022-03-04,17
"120",2022-03-03,15
"121",2022-03-02,16
"122",2022-03-01,16
"123",2022-02-28,17
"124",2022-02-27,3
"125",2022-02-26,8
"126",2022-02-25,8
"127",2022-02-24,8
"128",2022-02-23,3
"129",2022-02-22,3
"130",2022-02-21,2
"131",2022-02-20,0
"132",2022-02-19,0
"133",2022-02-18,1
"134",2022-02-17,0
"135",2022-02-16,0
"136",2022-02-15,0
"137",2022-02-14,0
"138",2022-02-13,0
"139",2022-02-12,0
"140",2022-02-11,0
"141",2022-02-10,0
"142",2022-02-09,0
"143",2022-02-08,0
"144",2022-02-07,0
"145",2022-02-06,0
"146",2022-02-05,0
"147",2022-02-04,0
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,1
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,1
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,0
"210",2021-12-03,0
"211",2021-12-02,0
