"","date","new_cases"
"1",2022-06-30,68
"2",2022-06-29,89
"3",2022-06-28,94
"4",2022-06-27,79
"5",2022-06-26,75
"6",2022-06-25,40
"7",2022-06-24,36
"8",2022-06-23,59
"9",2022-06-22,60
"10",2022-06-21,60
"11",2022-06-20,59
"12",2022-06-19,52
"13",2022-06-18,42
"14",2022-06-17,41
"15",2022-06-16,43
"16",2022-06-15,76
"17",2022-06-14,56
"18",2022-06-13,78
"19",2022-06-12,69
"20",2022-06-11,57
"21",2022-06-10,67
"22",2022-06-09,81
"23",2022-06-08,126
"24",2022-06-07,110
"25",2022-06-06,95
"26",2022-06-05,53
"27",2022-06-04,56
"28",2022-06-03,89
"29",2022-06-02,74
"30",2022-06-01,97
"31",2022-05-31,110
"32",2022-05-30,85
"33",2022-05-29,52
"34",2022-05-28,38
"35",2022-05-27,74
"36",2022-05-26,80
"37",2022-05-25,91
"38",2022-05-24,80
"39",2022-05-23,98
"40",2022-05-22,85
"41",2022-05-21,63
"42",2022-05-20,96
"43",2022-05-19,76
"44",2022-05-18,127
"45",2022-05-17,125
"46",2022-05-16,106
"47",2022-05-15,96
"48",2022-05-14,61
"49",2022-05-13,55
"50",2022-05-12,56
"51",2022-05-11,90
"52",2022-05-10,97
"53",2022-05-09,100
"54",2022-05-08,56
"55",2022-05-07,70
"56",2022-05-06,78
"57",2022-05-05,86
"58",2022-05-04,108
"59",2022-05-03,105
"60",2022-05-02,124
"61",2022-05-01,68
"62",2022-04-30,66
"63",2022-04-29,89
"64",2022-04-28,118
"65",2022-04-27,109
"66",2022-04-26,126
"67",2022-04-25,71
"68",2022-04-24,75
"69",2022-04-23,71
"70",2022-04-22,123
"71",2022-04-21,128
"72",2022-04-20,153
"73",2022-04-19,188
"74",2022-04-18,118
"75",2022-04-17,96
"76",2022-04-16,104
"77",2022-04-15,99
"78",2022-04-14,140
"79",2022-04-13,203
"80",2022-04-12,182
"81",2022-04-11,230
"82",2022-04-10,140
"83",2022-04-09,153
"84",2022-04-08,207
"85",2022-04-07,256
"86",2022-04-06,296
"87",2022-04-05,320
"88",2022-04-04,336
"89",2022-04-03,253
"90",2022-04-02,223
"91",2022-04-01,320
"92",2022-03-31,331
"93",2022-03-30,359
"94",2022-03-29,399
"95",2022-03-28,444
"96",2022-03-27,290
"97",2022-03-26,226
"98",2022-03-25,314
"99",2022-03-24,341
"100",2022-03-23,315
"101",2022-03-22,388
"102",2022-03-21,400
"103",2022-03-20,209
"104",2022-03-19,169
"105",2022-03-18,237
"106",2022-03-17,244
"107",2022-03-16,268
"108",2022-03-15,229
"109",2022-03-14,272
"110",2022-03-13,162
"111",2022-03-12,137
"112",2022-03-11,161
"113",2022-03-10,189
"114",2022-03-09,155
"115",2022-03-08,203
"116",2022-03-07,161
"117",2022-03-06,98
"118",2022-03-05,57
"119",2022-03-04,99
"120",2022-03-03,80
"121",2022-03-02,78
"122",2022-03-01,55
"123",2022-02-28,45
"124",2022-02-27,31
"125",2022-02-26,18
"126",2022-02-25,36
"127",2022-02-24,18
"128",2022-02-23,16
"129",2022-02-22,6
"130",2022-02-21,15
"131",2022-02-20,5
"132",2022-02-19,6
"133",2022-02-18,9
"134",2022-02-17,8
"135",2022-02-16,4
"136",2022-02-15,11
"137",2022-02-14,0
"138",2022-02-13,1
"139",2022-02-12,5
"140",2022-02-11,1
"141",2022-02-10,0
"142",2022-02-09,0
"143",2022-02-08,1
"144",2022-02-07,0
"145",2022-02-06,0
"146",2022-02-05,0
"147",2022-02-04,2
"148",2022-02-03,0
"149",2022-02-02,0
"150",2022-02-01,0
"151",2022-01-31,0
"152",2022-01-30,0
"153",2022-01-29,0
"154",2022-01-28,0
"155",2022-01-27,0
"156",2022-01-26,0
"157",2022-01-25,0
"158",2022-01-24,0
"159",2022-01-23,0
"160",2022-01-22,0
"161",2022-01-21,0
"162",2022-01-20,0
"163",2022-01-19,0
"164",2022-01-18,0
"165",2022-01-17,0
"166",2022-01-16,0
"167",2022-01-15,0
"168",2022-01-14,0
"169",2022-01-13,0
"170",2022-01-12,0
"171",2022-01-11,0
"172",2022-01-10,0
"173",2022-01-09,0
"174",2022-01-08,0
"175",2022-01-07,0
"176",2022-01-06,0
"177",2022-01-05,0
"178",2022-01-04,0
"179",2022-01-03,0
"180",2022-01-02,0
"181",2022-01-01,0
"182",2021-12-31,0
"183",2021-12-30,0
"184",2021-12-29,0
"185",2021-12-28,0
"186",2021-12-27,0
"187",2021-12-26,0
"188",2021-12-25,0
"189",2021-12-24,0
"190",2021-12-23,0
"191",2021-12-22,0
"192",2021-12-21,0
"193",2021-12-20,0
"194",2021-12-19,0
"195",2021-12-18,0
"196",2021-12-17,0
"197",2021-12-16,0
"198",2021-12-15,0
"199",2021-12-14,0
"200",2021-12-13,0
"201",2021-12-12,0
"202",2021-12-11,0
"203",2021-12-10,0
"204",2021-12-09,0
"205",2021-12-08,0
"206",2021-12-07,0
"207",2021-12-06,0
"208",2021-12-05,0
"209",2021-12-04,1
"210",2021-12-03,0
"211",2021-12-02,0
