"","date","new_cases"
"1",2021-06-02,88
"2",2021-06-03,51
"3",2021-06-04,6
"4",2021-06-05,37
"5",2021-06-06,3
"6",2021-06-07,3
"7",2021-06-08,51
"8",2021-06-09,4
"9",2021-06-10,3
"10",2021-06-11,4
"11",2021-06-12,39
"12",2021-06-13,0
"13",2021-06-14,4
"14",2021-06-15,28
"15",2021-06-16,3
"16",2021-06-17,2
"17",2021-06-18,32
"18",2021-06-19,20
"19",2021-06-20,8
"20",2021-06-21,2
"21",2021-06-22,36
"22",2021-06-23,6
"23",2021-06-24,78
"24",2021-06-25,45
"25",2021-06-26,5
"26",2021-06-27,6
"27",2021-06-28,2
"28",2021-06-29,70
"29",2021-06-30,3
"30",2021-07-01,64
"31",2021-07-02,4
"32",2021-07-03,28
"33",2021-07-04,3
"34",2021-07-05,1
"35",2021-07-06,34
"36",2021-07-07,15
"37",2021-07-08,19
"38",2021-07-09,3
"39",2021-07-10,18
"40",2021-07-11,0
"41",2021-07-12,3
"42",2021-07-13,14
"43",2021-07-14,16
"44",2021-07-15,9
"45",2021-07-16,2
"46",2021-07-17,14
"47",2021-07-18,2
"48",2021-07-19,1
"49",2021-07-20,25
"50",2021-07-21,1
"51",2021-07-22,17
"52",2021-07-23,3
"53",2021-07-24,18
"54",2021-07-25,1
"55",2021-07-26,0
"56",2021-07-27,30
"57",2021-07-28,2
"58",2021-07-29,37
"59",2021-07-30,10
"60",2021-07-31,43
"61",2021-08-01,4
"62",2021-08-02,6
"63",2021-08-03,4
"64",2021-08-04,75
"65",2021-08-05,11
"66",2021-08-06,37
"67",2021-08-07,21
"68",2021-08-08,1
"69",2021-08-09,2
"70",2021-08-10,28
"71",2021-08-11,26
"72",2021-08-12,11
"73",2021-08-13,37
"74",2021-08-14,36
"75",2021-08-15,0
"76",2021-08-16,2
"77",2021-08-17,20
"78",2021-08-18,22
"79",2021-08-19,46
"80",2021-08-20,5
"81",2021-08-21,55
"82",2021-08-22,10
"83",2021-08-23,13
"84",2021-08-24,83
"85",2021-08-25,26
"86",2021-08-26,30
"87",2021-08-27,217
"88",2021-08-28,96
"89",2021-08-29,49
"90",2021-08-30,44
"91",2021-08-31,72
"92",2021-09-01,99
"93",2021-09-02,50
"94",2021-09-03,85
"95",2021-09-04,72
"96",2021-09-05,30
"97",2021-09-06,33
"98",2021-09-07,52
"99",2021-09-08,70
"100",2021-09-09,60
"101",2021-09-10,45
"102",2021-09-11,48
"103",2021-09-12,22
"104",2021-09-13,17
"105",2021-09-14,21
"106",2021-09-15,28
"107",2021-09-16,21
"108",2021-09-17,25
"109",2021-09-18,25
"110",2021-09-19,13
"111",2021-09-20,7
"112",2021-09-21,17
"113",2021-09-22,21
"114",2021-09-23,23
"115",2021-09-24,28
"116",2021-09-25,5
"117",2021-09-26,4
"118",2021-09-27,10
"119",2021-09-28,23
"120",2021-09-29,22
"121",2021-09-30,14
"122",2021-10-01,19
"123",2021-10-02,5
"124",2021-10-03,9
"125",2021-10-04,7
"126",2021-10-05,4
"127",2021-10-06,6
"128",2021-10-07,8
"129",2021-10-08,6
"130",2021-10-09,23
"131",2021-10-10,10
"132",2021-10-11,0
"133",2021-10-12,8
"134",2021-10-13,11
"135",2021-10-14,9
"136",2021-10-15,9
"137",2021-10-16,12
"138",2021-10-17,8
"139",2021-10-18,0
"140",2021-10-19,18
"141",2021-10-20,25
"142",2021-10-21,24
"143",2021-10-22,18
"144",2021-10-23,21
"145",2021-10-24,15
"146",2021-10-25,5
"147",2021-10-26,36
"148",2021-10-27,39
"149",2021-10-28,40
"150",2021-10-29,40
"151",2021-10-30,32
"152",2021-10-31,23
"153",2021-11-01,4
"154",2021-11-02,36
"155",2021-11-03,39
"156",2021-11-04,25
"157",2021-11-05,35
"158",2021-11-06,36
"159",2021-11-07,39
"160",2021-11-08,6
"161",2021-11-09,34
"162",2021-11-10,73
"163",2021-11-11,57
"164",2021-11-12,61
"165",2021-11-13,59
"166",2021-11-14,34
"167",2021-11-15,5
"168",2021-11-16,50
"169",2021-11-17,106
"170",2021-11-18,61
"171",2021-11-19,67
"172",2021-11-20,92
"173",2021-11-21,48
"174",2021-11-22,6
"175",2021-11-23,71
"176",2021-11-24,79
"177",2021-11-25,138
"178",2021-11-26,111
"179",2021-11-27,117
"180",2021-11-28,73
"181",2021-11-29,9
"182",2021-11-30,155
"183",2021-12-01,211
"184",2021-12-02,82
"185",2021-12-03,280
"186",2021-12-04,216
"187",2021-12-05,110
"188",2021-12-06,29
"189",2021-12-07,289
"190",2021-12-08,255
"191",2021-12-09,229
"192",2021-12-10,277
"193",2021-12-11,317
"194",2021-12-12,216
"195",2021-12-13,118
"196",2021-12-14,299
"197",2021-12-15,451
"198",2021-12-16,321
"199",2021-12-17,341
"200",2021-12-18,305
"201",2021-12-19,207
"202",2021-12-20,272
"203",2021-12-21,271
"204",2021-12-22,427
"205",2021-12-23,367
"206",2021-12-24,273
"207",2021-12-25,158
"208",2021-12-26,124
"209",2021-12-27,138
"210",2021-12-28,228
"211",2021-12-29,484
"212",2021-12-30,347
"213",2021-12-31,390
