"","date","new_cases"
"1",2021-06-02,20
"2",2021-06-03,8
"3",2021-06-04,9
"4",2021-06-05,14
"5",2021-06-06,5
"6",2021-06-07,2
"7",2021-06-08,3
"8",2021-06-09,7
"9",2021-06-10,14
"10",2021-06-11,19
"11",2021-06-12,12
"12",2021-06-13,5
"13",2021-06-14,7
"14",2021-06-15,1
"15",2021-06-16,20
"16",2021-06-17,5
"17",2021-06-18,6
"18",2021-06-19,13
"19",2021-06-20,13
"20",2021-06-21,1
"21",2021-06-22,4
"22",2021-06-23,16
"23",2021-06-24,7
"24",2021-06-25,8
"25",2021-06-26,7
"26",2021-06-27,4
"27",2021-06-28,2
"28",2021-06-29,1
"29",2021-06-30,9
"30",2021-07-01,4
"31",2021-07-02,3
"32",2021-07-03,5
"33",2021-07-04,3
"34",2021-07-05,1
"35",2021-07-06,5
"36",2021-07-07,5
"37",2021-07-08,13
"38",2021-07-09,2
"39",2021-07-10,7
"40",2021-07-11,12
"41",2021-07-12,10
"42",2021-07-13,11
"43",2021-07-14,10
"44",2021-07-15,8
"45",2021-07-16,9
"46",2021-07-17,16
"47",2021-07-18,19
"48",2021-07-19,9
"49",2021-07-20,8
"50",2021-07-21,22
"51",2021-07-22,6
"52",2021-07-23,4
"53",2021-07-24,6
"54",2021-07-25,3
"55",2021-07-26,3
"56",2021-07-27,4
"57",2021-07-28,5
"58",2021-07-29,10
"59",2021-07-30,13
"60",2021-07-31,8
"61",2021-08-01,11
"62",2021-08-02,3
"63",2021-08-03,11
"64",2021-08-04,15
"65",2021-08-05,18
"66",2021-08-06,27
"67",2021-08-07,23
"68",2021-08-08,19
"69",2021-08-09,5
"70",2021-08-10,11
"71",2021-08-11,43
"72",2021-08-12,18
"73",2021-08-13,14
"74",2021-08-14,25
"75",2021-08-15,10
"76",2021-08-16,13
"77",2021-08-17,18
"78",2021-08-18,35
"79",2021-08-19,30
"80",2021-08-20,49
"81",2021-08-21,38
"82",2021-08-22,26
"83",2021-08-23,26
"84",2021-08-24,42
"85",2021-08-25,56
"86",2021-08-26,70
"87",2021-08-27,81
"88",2021-08-28,58
"89",2021-08-29,63
"90",2021-08-30,33
"91",2021-08-31,63
"92",2021-09-01,64
"93",2021-09-02,60
"94",2021-09-03,56
"95",2021-09-04,42
"96",2021-09-05,37
"97",2021-09-06,17
"98",2021-09-07,17
"99",2021-09-08,58
"100",2021-09-09,49
"101",2021-09-10,31
"102",2021-09-11,41
"103",2021-09-12,26
"104",2021-09-13,22
"105",2021-09-14,27
"106",2021-09-15,50
"107",2021-09-16,37
"108",2021-09-17,25
"109",2021-09-18,34
"110",2021-09-19,27
"111",2021-09-20,21
"112",2021-09-21,28
"113",2021-09-22,56
"114",2021-09-23,43
"115",2021-09-24,42
"116",2021-09-25,33
"117",2021-09-26,28
"118",2021-09-27,23
"119",2021-09-28,19
"120",2021-09-29,26
"121",2021-09-30,25
"122",2021-10-01,13
"123",2021-10-02,23
"124",2021-10-03,22
"125",2021-10-04,16
"126",2021-10-05,10
"127",2021-10-06,28
"128",2021-10-07,12
"129",2021-10-08,14
"130",2021-10-09,7
"131",2021-10-10,5
"132",2021-10-11,12
"133",2021-10-12,7
"134",2021-10-13,9
"135",2021-10-14,13
"136",2021-10-15,10
"137",2021-10-16,11
"138",2021-10-17,9
"139",2021-10-18,4
"140",2021-10-19,10
"141",2021-10-20,29
"142",2021-10-21,17
"143",2021-10-22,27
"144",2021-10-23,16
"145",2021-10-24,22
"146",2021-10-25,9
"147",2021-10-26,16
"148",2021-10-27,31
"149",2021-10-28,36
"150",2021-10-29,54
"151",2021-10-30,56
"152",2021-10-31,27
"153",2021-11-01,25
"154",2021-11-02,54
"155",2021-11-03,97
"156",2021-11-04,75
"157",2021-11-05,67
"158",2021-11-06,67
"159",2021-11-07,40
"160",2021-11-08,49
"161",2021-11-09,96
"162",2021-11-10,68
"163",2021-11-11,66
"164",2021-11-12,83
"165",2021-11-13,50
"166",2021-11-14,49
"167",2021-11-15,31
"168",2021-11-16,37
"169",2021-11-17,100
"170",2021-11-18,84
"171",2021-11-19,76
"172",2021-11-20,62
"173",2021-11-21,33
"174",2021-11-22,44
"175",2021-11-23,100
"176",2021-11-24,25
"177",2021-11-25,219
"178",2021-11-26,107
"179",2021-11-27,130
"180",2021-11-28,62
"181",2021-11-29,53
"182",2021-11-30,124
"183",2021-12-01,144
"184",2021-12-02,122
"185",2021-12-03,171
"186",2021-12-04,160
"187",2021-12-05,101
"188",2021-12-06,81
"189",2021-12-07,222
"190",2021-12-08,158
"191",2021-12-09,200
"192",2021-12-10,211
"193",2021-12-11,196
"194",2021-12-12,161
"195",2021-12-13,124
"196",2021-12-14,139
"197",2021-12-15,205
"198",2021-12-16,226
"199",2021-12-17,200
"200",2021-12-18,155
"201",2021-12-19,102
"202",2021-12-20,108
"203",2021-12-21,176
"204",2021-12-22,167
"205",2021-12-23,160
"206",2021-12-24,186
"207",2021-12-25,72
"208",2021-12-26,35
"209",2021-12-27,101
"210",2021-12-28,143
"211",2021-12-29,178
"212",2021-12-30,184
"213",2021-12-31,142
