"","date","new_cases"
"1",2021-06-02,5
"2",2021-06-03,3
"3",2021-06-04,4
"4",2021-06-05,2
"5",2021-06-06,4
"6",2021-06-07,3
"7",2021-06-08,1
"8",2021-06-09,3
"9",2021-06-10,0
"10",2021-06-11,4
"11",2021-06-12,3
"12",2021-06-13,0
"13",2021-06-14,0
"14",2021-06-15,0
"15",2021-06-16,0
"16",2021-06-17,4
"17",2021-06-18,6
"18",2021-06-19,2
"19",2021-06-20,3
"20",2021-06-21,0
"21",2021-06-22,0
"22",2021-06-23,4
"23",2021-06-24,3
"24",2021-06-25,6
"25",2021-06-26,2
"26",2021-06-27,1
"27",2021-06-28,0
"28",2021-06-29,4
"29",2021-06-30,7
"30",2021-07-01,6
"31",2021-07-02,0
"32",2021-07-03,3
"33",2021-07-04,1
"34",2021-07-05,0
"35",2021-07-06,1
"36",2021-07-07,4
"37",2021-07-08,0
"38",2021-07-09,1
"39",2021-07-10,0
"40",2021-07-11,2
"41",2021-07-12,1
"42",2021-07-13,0
"43",2021-07-14,1
"44",2021-07-15,5
"45",2021-07-16,5
"46",2021-07-17,3
"47",2021-07-18,0
"48",2021-07-19,2
"49",2021-07-20,0
"50",2021-07-21,5
"51",2021-07-22,6
"52",2021-07-23,11
"53",2021-07-24,19
"54",2021-07-25,2
"55",2021-07-26,12
"56",2021-07-27,18
"57",2021-07-28,16
"58",2021-07-29,42
"59",2021-07-30,89
"60",2021-07-31,39
"61",2021-08-01,24
"62",2021-08-02,9
"63",2021-08-03,28
"64",2021-08-04,27
"65",2021-08-05,32
"66",2021-08-06,25
"67",2021-08-07,18
"68",2021-08-08,14
"69",2021-08-09,12
"70",2021-08-10,15
"71",2021-08-11,26
"72",2021-08-12,29
"73",2021-08-13,18
"74",2021-08-14,27
"75",2021-08-15,30
"76",2021-08-16,25
"77",2021-08-17,13
"78",2021-08-18,29
"79",2021-08-19,23
"80",2021-08-20,26
"81",2021-08-21,20
"82",2021-08-22,22
"83",2021-08-23,16
"84",2021-08-24,34
"85",2021-08-25,27
"86",2021-08-26,47
"87",2021-08-27,56
"88",2021-08-28,41
"89",2021-08-29,41
"90",2021-08-30,29
"91",2021-08-31,41
"92",2021-09-01,63
"93",2021-09-02,57
"94",2021-09-03,45
"95",2021-09-04,62
"96",2021-09-05,34
"97",2021-09-06,33
"98",2021-09-07,34
"99",2021-09-08,61
"100",2021-09-09,63
"101",2021-09-10,43
"102",2021-09-11,42
"103",2021-09-12,16
"104",2021-09-13,21
"105",2021-09-14,36
"106",2021-09-15,22
"107",2021-09-16,18
"108",2021-09-17,23
"109",2021-09-18,17
"110",2021-09-19,16
"111",2021-09-20,11
"112",2021-09-21,18
"113",2021-09-22,32
"114",2021-09-23,21
"115",2021-09-24,22
"116",2021-09-25,5
"117",2021-09-26,9
"118",2021-09-27,6
"119",2021-09-28,0
"120",2021-09-29,7
"121",2021-09-30,18
"122",2021-10-01,10
"123",2021-10-02,22
"124",2021-10-03,4
"125",2021-10-04,6
"126",2021-10-05,25
"127",2021-10-06,26
"128",2021-10-07,27
"129",2021-10-08,21
"130",2021-10-09,17
"131",2021-10-10,6
"132",2021-10-11,7
"133",2021-10-12,16
"134",2021-10-13,20
"135",2021-10-14,11
"136",2021-10-15,16
"137",2021-10-16,13
"138",2021-10-17,6
"139",2021-10-18,5
"140",2021-10-19,9
"141",2021-10-20,40
"142",2021-10-21,36
"143",2021-10-22,36
"144",2021-10-23,18
"145",2021-10-24,11
"146",2021-10-25,0
"147",2021-10-26,23
"148",2021-10-27,38
"149",2021-10-28,32
"150",2021-10-29,37
"151",2021-10-30,35
"152",2021-10-31,23
"153",2021-11-01,11
"154",2021-11-02,28
"155",2021-11-03,62
"156",2021-11-04,43
"157",2021-11-05,50
"158",2021-11-06,46
"159",2021-11-07,27
"160",2021-11-08,20
"161",2021-11-09,43
"162",2021-11-10,72
"163",2021-11-11,64
"164",2021-11-12,55
"165",2021-11-13,65
"166",2021-11-14,45
"167",2021-11-15,22
"168",2021-11-16,81
"169",2021-11-17,45
"170",2021-11-18,78
"171",2021-11-19,88
"172",2021-11-20,85
"173",2021-11-21,29
"174",2021-11-22,26
"175",2021-11-23,73
"176",2021-11-24,51
"177",2021-11-25,182
"178",2021-11-26,93
"179",2021-11-27,81
"180",2021-11-28,24
"181",2021-11-29,46
"182",2021-11-30,58
"183",2021-12-01,139
"184",2021-12-02,82
"185",2021-12-03,85
"186",2021-12-04,78
"187",2021-12-05,70
"188",2021-12-06,33
"189",2021-12-07,85
"190",2021-12-08,138
"191",2021-12-09,120
"192",2021-12-10,89
"193",2021-12-11,93
"194",2021-12-12,52
"195",2021-12-13,60
"196",2021-12-14,80
"197",2021-12-15,93
"198",2021-12-16,70
"199",2021-12-17,92
"200",2021-12-18,79
"201",2021-12-19,70
"202",2021-12-20,19
"203",2021-12-21,35
"204",2021-12-22,137
"205",2021-12-23,60
"206",2021-12-24,86
"207",2021-12-25,40
"208",2021-12-26,32
"209",2021-12-27,29
"210",2021-12-28,114
"211",2021-12-29,119
"212",2021-12-30,97
"213",2021-12-31,87
