"","date","new_cases"
"1",2021-06-02,4
"2",2021-06-03,1
"3",2021-06-04,3
"4",2021-06-05,2
"5",2021-06-06,3
"6",2021-06-07,1
"7",2021-06-08,1
"8",2021-06-09,2
"9",2021-06-10,0
"10",2021-06-11,2
"11",2021-06-12,6
"12",2021-06-13,1
"13",2021-06-14,0
"14",2021-06-15,3
"15",2021-06-16,0
"16",2021-06-17,3
"17",2021-06-18,0
"18",2021-06-19,3
"19",2021-06-20,3
"20",2021-06-21,13
"21",2021-06-22,2
"22",2021-06-23,3
"23",2021-06-24,0
"24",2021-06-25,3
"25",2021-06-26,3
"26",2021-06-27,5
"27",2021-06-28,1
"28",2021-06-29,2
"29",2021-06-30,7
"30",2021-07-01,4
"31",2021-07-02,8
"32",2021-07-03,7
"33",2021-07-04,5
"34",2021-07-05,0
"35",2021-07-06,6
"36",2021-07-07,4
"37",2021-07-08,2
"38",2021-07-09,4
"39",2021-07-10,2
"40",2021-07-11,1
"41",2021-07-12,0
"42",2021-07-13,0
"43",2021-07-14,7
"44",2021-07-15,1
"45",2021-07-16,2
"46",2021-07-17,0
"47",2021-07-18,0
"48",2021-07-19,0
"49",2021-07-20,0
"50",2021-07-21,14
"51",2021-07-22,11
"52",2021-07-23,30
"53",2021-07-24,14
"54",2021-07-25,15
"55",2021-07-26,13
"56",2021-07-27,17
"57",2021-07-28,12
"58",2021-07-29,6
"59",2021-07-30,4
"60",2021-07-31,9
"61",2021-08-01,5
"62",2021-08-02,3
"63",2021-08-03,5
"64",2021-08-04,15
"65",2021-08-05,14
"66",2021-08-06,26
"67",2021-08-07,24
"68",2021-08-08,12
"69",2021-08-09,13
"70",2021-08-10,21
"71",2021-08-11,16
"72",2021-08-12,17
"73",2021-08-13,11
"74",2021-08-14,7
"75",2021-08-15,12
"76",2021-08-16,2
"77",2021-08-17,7
"78",2021-08-18,14
"79",2021-08-19,13
"80",2021-08-20,8
"81",2021-08-21,11
"82",2021-08-22,7
"83",2021-08-23,14
"84",2021-08-24,18
"85",2021-08-25,21
"86",2021-08-26,33
"87",2021-08-27,24
"88",2021-08-28,28
"89",2021-08-29,20
"90",2021-08-30,15
"91",2021-08-31,21
"92",2021-09-01,36
"93",2021-09-02,24
"94",2021-09-03,14
"95",2021-09-04,31
"96",2021-09-05,8
"97",2021-09-06,6
"98",2021-09-07,20
"99",2021-09-08,15
"100",2021-09-09,11
"101",2021-09-10,20
"102",2021-09-11,33
"103",2021-09-12,8
"104",2021-09-13,3
"105",2021-09-14,39
"106",2021-09-15,32
"107",2021-09-16,21
"108",2021-09-17,24
"109",2021-09-18,22
"110",2021-09-19,29
"111",2021-09-20,22
"112",2021-09-21,5
"113",2021-09-22,42
"114",2021-09-23,28
"115",2021-09-24,32
"116",2021-09-25,17
"117",2021-09-26,13
"118",2021-09-27,5
"119",2021-09-28,17
"120",2021-09-29,14
"121",2021-09-30,18
"122",2021-10-01,17
"123",2021-10-02,22
"124",2021-10-03,11
"125",2021-10-04,4
"126",2021-10-05,23
"127",2021-10-06,29
"128",2021-10-07,23
"129",2021-10-08,26
"130",2021-10-09,16
"131",2021-10-10,4
"132",2021-10-11,2
"133",2021-10-12,11
"134",2021-10-13,33
"135",2021-10-14,28
"136",2021-10-15,29
"137",2021-10-16,22
"138",2021-10-17,11
"139",2021-10-18,0
"140",2021-10-19,15
"141",2021-10-20,22
"142",2021-10-21,22
"143",2021-10-22,21
"144",2021-10-23,28
"145",2021-10-24,17
"146",2021-10-25,2
"147",2021-10-26,23
"148",2021-10-27,58
"149",2021-10-28,42
"150",2021-10-29,58
"151",2021-10-30,56
"152",2021-10-31,42
"153",2021-11-01,8
"154",2021-11-02,29
"155",2021-11-03,78
"156",2021-11-04,79
"157",2021-11-05,67
"158",2021-11-06,83
"159",2021-11-07,50
"160",2021-11-08,14
"161",2021-11-09,29
"162",2021-11-10,100
"163",2021-11-11,58
"164",2021-11-12,78
"165",2021-11-13,61
"166",2021-11-14,21
"167",2021-11-15,30
"168",2021-11-16,29
"169",2021-11-17,132
"170",2021-11-18,76
"171",2021-11-19,67
"172",2021-11-20,77
"173",2021-11-21,61
"174",2021-11-22,3
"175",2021-11-23,40
"176",2021-11-24,25
"177",2021-11-25,174
"178",2021-11-26,55
"179",2021-11-27,76
"180",2021-11-28,36
"181",2021-11-29,22
"182",2021-11-30,55
"183",2021-12-01,106
"184",2021-12-02,86
"185",2021-12-03,83
"186",2021-12-04,84
"187",2021-12-05,36
"188",2021-12-06,32
"189",2021-12-07,58
"190",2021-12-08,65
"191",2021-12-09,94
"192",2021-12-10,66
"193",2021-12-11,78
"194",2021-12-12,61
"195",2021-12-13,36
"196",2021-12-14,56
"197",2021-12-15,105
"198",2021-12-16,68
"199",2021-12-17,91
"200",2021-12-18,59
"201",2021-12-19,63
"202",2021-12-20,32
"203",2021-12-21,56
"204",2021-12-22,97
"205",2021-12-23,87
"206",2021-12-24,54
"207",2021-12-25,19
"208",2021-12-26,22
"209",2021-12-27,8
"210",2021-12-28,72
"211",2021-12-29,108
"212",2021-12-30,72
"213",2021-12-31,101
