"","date","new_cases"
"1",2021-06-02,146
"2",2021-06-03,130
"3",2021-06-04,95
"4",2021-06-05,89
"5",2021-06-06,47
"6",2021-06-07,53
"7",2021-06-08,68
"8",2021-06-09,64
"9",2021-06-10,62
"10",2021-06-11,51
"11",2021-06-12,19
"12",2021-06-13,20
"13",2021-06-14,13
"14",2021-06-15,29
"15",2021-06-16,41
"16",2021-06-17,38
"17",2021-06-18,38
"18",2021-06-19,43
"19",2021-06-20,31
"20",2021-06-21,30
"21",2021-06-22,45
"22",2021-06-23,45
"23",2021-06-24,32
"24",2021-06-25,22
"25",2021-06-26,21
"26",2021-06-27,13
"27",2021-06-28,11
"28",2021-06-29,25
"29",2021-06-30,31
"30",2021-07-01,25
"31",2021-07-02,23
"32",2021-07-03,21
"33",2021-07-04,10
"34",2021-07-05,15
"35",2021-07-06,18
"36",2021-07-07,39
"37",2021-07-08,39
"38",2021-07-09,45
"39",2021-07-10,29
"40",2021-07-11,24
"41",2021-07-12,17
"42",2021-07-13,30
"43",2021-07-14,31
"44",2021-07-15,34
"45",2021-07-16,27
"46",2021-07-17,52
"47",2021-07-18,20
"48",2021-07-19,23
"49",2021-07-20,29
"50",2021-07-21,43
"51",2021-07-22,23
"52",2021-07-23,30
"53",2021-07-24,38
"54",2021-07-25,14
"55",2021-07-26,27
"56",2021-07-27,41
"57",2021-07-28,36
"58",2021-07-29,45
"59",2021-07-30,44
"60",2021-07-31,48
"61",2021-08-01,52
"62",2021-08-02,48
"63",2021-08-03,70
"64",2021-08-04,93
"65",2021-08-05,71
"66",2021-08-06,91
"67",2021-08-07,78
"68",2021-08-08,47
"69",2021-08-09,72
"70",2021-08-10,95
"71",2021-08-11,122
"72",2021-08-12,121
"73",2021-08-13,148
"74",2021-08-14,104
"75",2021-08-15,88
"76",2021-08-16,53
"77",2021-08-17,113
"78",2021-08-18,166
"79",2021-08-19,140
"80",2021-08-20,151
"81",2021-08-21,182
"82",2021-08-22,130
"83",2021-08-23,111
"84",2021-08-24,251
"85",2021-08-25,296
"86",2021-08-26,362
"87",2021-08-27,318
"88",2021-08-28,383
"89",2021-08-29,324
"90",2021-08-30,276
"91",2021-08-31,367
"92",2021-09-01,659
"93",2021-09-02,561
"94",2021-09-03,438
"95",2021-09-04,510
"96",2021-09-05,338
"97",2021-09-06,309
"98",2021-09-07,437
"99",2021-09-08,524
"100",2021-09-09,483
"101",2021-09-10,490
"102",2021-09-11,410
"103",2021-09-12,272
"104",2021-09-13,199
"105",2021-09-14,402
"106",2021-09-15,335
"107",2021-09-16,304
"108",2021-09-17,288
"109",2021-09-18,209
"110",2021-09-19,165
"111",2021-09-20,169
"112",2021-09-21,189
"113",2021-09-22,290
"114",2021-09-23,252
"115",2021-09-24,188
"116",2021-09-25,209
"117",2021-09-26,173
"118",2021-09-27,118
"119",2021-09-28,251
"120",2021-09-29,244
"121",2021-09-30,162
"122",2021-10-01,206
"123",2021-10-02,147
"124",2021-10-03,100
"125",2021-10-04,117
"126",2021-10-05,145
"127",2021-10-06,151
"128",2021-10-07,149
"129",2021-10-08,143
"130",2021-10-09,142
"131",2021-10-10,68
"132",2021-10-11,77
"133",2021-10-12,177
"134",2021-10-13,148
"135",2021-10-14,104
"136",2021-10-15,86
"137",2021-10-16,93
"138",2021-10-17,53
"139",2021-10-18,54
"140",2021-10-19,116
"141",2021-10-20,129
"142",2021-10-21,151
"143",2021-10-22,170
"144",2021-10-23,147
"145",2021-10-24,111
"146",2021-10-25,121
"147",2021-10-26,285
"148",2021-10-27,218
"149",2021-10-28,262
"150",2021-10-29,203
"151",2021-10-30,195
"152",2021-10-31,162
"153",2021-11-01,140
"154",2021-11-02,282
"155",2021-11-03,298
"156",2021-11-04,352
"157",2021-11-05,221
"158",2021-11-06,282
"159",2021-11-07,170
"160",2021-11-08,216
"161",2021-11-09,291
"162",2021-11-10,383
"163",2021-11-11,328
"164",2021-11-12,405
"165",2021-11-13,332
"166",2021-11-14,239
"167",2021-11-15,302
"168",2021-11-16,374
"169",2021-11-17,429
"170",2021-11-18,467
"171",2021-11-19,537
"172",2021-11-20,482
"173",2021-11-21,231
"174",2021-11-22,330
"175",2021-11-23,615
"176",2021-11-24,256
"177",2021-11-25,966
"178",2021-11-26,662
"179",2021-11-27,625
"180",2021-11-28,339
"181",2021-11-29,454
"182",2021-11-30,822
"183",2021-12-01,711
"184",2021-12-02,1039
"185",2021-12-03,731
"186",2021-12-04,965
"187",2021-12-05,906
"188",2021-12-06,682
"189",2021-12-07,843
"190",2021-12-08,1103
"191",2021-12-09,1134
"192",2021-12-10,1191
"193",2021-12-11,978
"194",2021-12-12,842
"195",2021-12-13,966
"196",2021-12-14,1185
"197",2021-12-15,1099
"198",2021-12-16,1138
"199",2021-12-17,809
"200",2021-12-18,1136
"201",2021-12-19,614
"202",2021-12-20,569
"203",2021-12-21,1070
"204",2021-12-22,1060
"205",2021-12-23,944
"206",2021-12-24,1151
"207",2021-12-25,462
"208",2021-12-26,667
"209",2021-12-27,647
"210",2021-12-28,881
"211",2021-12-29,1044
"212",2021-12-30,1053
"213",2021-12-31,909
